,fullname,uni_name,file,is_a_main_job
14,Rafał Waldemar Albiński,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
27,Aleksandra Izabela Arciszewska-Leszczuk,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
56,Róża Alicja Banaśkiewicz-Bazińska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
68,Anna Aleksandra Banik,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
75,Maria Romualda Baran,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
96,Wiesław Jerzy Baryła,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
115,Dorota Balbina Bednarek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
116,Hanna Krystyna Bednarek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
118,Sylwia Bedyńska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
138,Wojciech Zygmunt Białaszek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
145,Olga Aleksandra Białobrzeska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
156,Maksymilian Adam Bielecki,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
189,Monika Joanna Boberska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
194,Konrad Maksymilian Bocian,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
199,Agnieszka Maria Bojanowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
210,Edyta Ewa Bonk,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
229,Paweł Boski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
235,Anna Braniecka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
246,Elwira Brygoła,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
249,Aneta Brzezicka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
256,Jacek Marcin Buczny,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
271,Ewa Butowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
272,Katarzyna Byrka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
276,Katarzyna Cantarero,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
304,Agnieszka Chrzczonowicz-Stępień,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
307,Agata Chudzicka-Czupała,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
328,Roman Sławomir Cieślak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
335,Aleksandra Katarzyna Cisłak-Wójcik,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
346,Maria Cyniak-Cieciura,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
347,Marzena Aneta Cypryańska-Nezlek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
376,Agnieszka Czerw,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
409,Agata Dębowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
431,Dariusz Antoni Doliński,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
433,Zofia Dołęga,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
440,Aneta Marta Dowgiert,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
446,Szymon Emilia Draheim,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
