,Article_ID,Unnamed: 0.1,Unnamed: 0,name,orcid,doi,title,date,journal,filename,correct_doi,length,contains_doi,path
11,10-1002_acp-3687,133,133,Łukasz Piotr Okruszek,https://orcid.org/0000-0002-7136-2864,https://doi.org/10.1002/acp.3687,Do you believe what you have been told? Morality and scientific literacy as predictors of pseudoscience susceptibility,2020-09,Applied Cognitive Psychology,Łukasz_Piotr_Okruszek_8,False,35.0,False,D:\data\ranking\pdfs\v1\10-1002_acp-3687.pdf
73,10-1002_j-1681-4835-2013-tb00402-x,169,169,Jolanta Kowal,https://orcid.org/0000-0002-6241-9603,https://doi.org/10.1002/j.1681-4835.2013.tb00402.x,Information and communication technology management for global competitiveness and economic growth in emerging economies,2017-12-05,Electronic Journal of Information Systems in Developing Countries,Jolanta_Kowal_10,False,12.0,False,D:\data\ranking\pdfs\v1\10-1002_j-1681-4835-2013-tb00402-x.pdf
100,10-1002_pon-4619,559,559,Aleksandra Karolina Kroemeke,https://orcid.org/0000-0001-8707-742X,https://doi.org/10.1002/pon.4619,Psychophysical well-being profiles in patients before hematopoietic stem cell transplantation,2018,Psycho-Oncology,Aleksandra_Karolina_Kroemeke_12,False,20.0,False,D:\data\ranking\pdfs\v1\10-1002_pon-4619.pdf
207,10-1007_s10943-020-01107-3#citeas,97,97,Dariusz Krok,https://orcid.org/0000-0002-1034-0944,https://doi.org/10.1007/s10943-020-01107-3#citeas,Disclosure to God as a Mediator Between Private Prayer and Psychological Well‑Being in a Christian Sample,2021-03-27,Journal of Religion and Health,Dariusz_Krok_6,False,13.0,True,D:\data\ranking\pdfs\v1\10-1007_s10943-020-01107-3#citeas.pdf
454,10-1016_j-brs-2017-01-437,492,492,Michał Wierzchoń,https://orcid.org/0000-0002-7347-2696,https://doi.org/10.1016/j.brs.2017.01.437,The neural basis of visual sensitivity investigated with anterior prefrontal TMS,2017-03,Brain Stimulation,Michał_Wierzchoń_25,False,1.0,False,D:\data\ranking\pdfs\v1\10-1016_j-brs-2017-01-437.pdf
576,10-1016_j-foodqual-2020-104111,230,230,Marzena Aneta Cypryańska-Nezlek,https://orcid.org/0000-0001-9234-5628,https://doi.org/10.1016/j.foodqual.2020.104111,Approach and avoidance motivation and interest in new foods: Introducing a measure of the motivation to eat new foods,2021,Food Quality and Preference,Marzena_Aneta_Cypryańska-Nezlek_1,False,8.0,True,D:\data\ranking\pdfs\v1\10-1016_j-foodqual-2020-104111.pdf
587,10-1016_j-ijpsycho-2017-04-006-,328,328,Tomasz Sebastian Oleksy,https://orcid.org/0000-0002-3499-9874,https://doi.org/10.1016/j.ijpsycho.2017.04.006.,Patterns of brain and cardiovascular activation while solving rule-discovery and rule-application numeric tasks,2017,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,Tomasz_Sebastian_Oleksy_14,False,10.0,True,D:\data\ranking\pdfs\v1\10-1016_j-ijpsycho-2017-04-006-.pdf
671,10-1016_j-jpeds-2017-12-082,123,123,Ewa Maria Haman,https://orcid.org/0000-0003-1615-711X,https://doi.org/10.1016/j.jpeds.2017.12.082,English language acquisition is delayed in bilingual homes,2018-03,The Journal of Pediatrics,Ewa_Maria_Haman_10,False,4.0,True,D:\data\ranking\pdfs\v1\10-1016_j-jpeds-2017-12-082.pdf
689,10-1016_j-jsxm-2017-04-404,449,449,Katarzyna Anna Grunt-Mejer,https://orcid.org/0000-0001-5679-5322,https://doi.org/10.1016/j.jsxm.2017.04.404,"Polish Sexual Education for Teenagers: The Gendered Discourse of Moral, Psychological and Health Risk",2017-05,The Journal of Sexual Medicine,Katarzyna_Anna_Grunt-Mejer_6,False,1.0,True,D:\data\ranking\pdfs\v1\10-1016_j-jsxm-2017-04-404.pdf
697,10-1016_j-mehy-2020-110435,296,296,Joanna Eulalia Dudek,https://orcid.org/0000-0002-7114-8884,https://doi.org/10.1016/j.mehy.2020.110435,Ketogenic diet as a potential intervention for lipedema,2021-01,Medical Hypotheses,Joanna_Eulalia_Dudek_2,False,7.0,True,D:\data\ranking\pdfs\v1\10-1016_j-mehy-2020-110435.pdf
