,Article_ID,Unnamed: 0.1,Unnamed: 0,name,orcid,doi,title,date,journal,filename,correct_doi,length,contains_doi,path
2414,-113599848568649103,516,516,Tamara Zofia Walczak-Kozłowska,https://orcid.org/0000-0002-9781-7281,empty,"Addicted parents - vulnerable children. Distortions in parentinfant relation and possibilities of help,Uzależnieni rodzice - narażone dziecko. zakłócenia w funkcjonowaniu uzależnionych matek w relacji z niemowlȩtami oraz możliwość skutecznej pomocy",2017,Psychoterapia,Tamara_Zofia_Walczak-Kozłowska_13,False,18.0,False,D:\data\ranking\pdfs\v1-1\-113599848568649103.pdf
2418,-1258612573845166559,97,97,Hanna Liberska,https://orcid.org/0000-0003-4323-2090,empty,Kształtowanie tożsamości i przyjmowanie roli sprawcy lub ofiary przez dorastających,2018,Czasopismo Psychologiczne,Hanna_Liberska_7,False,8.0,True,D:\data\ranking\pdfs\v1-1\-1258612573845166559.pdf
2421,-1360237252111120997,286,286,Natasza Joanna Kosakowska-Berezecka,https://orcid.org/0000-0003-3503-3921,empty,Równość płci = Wspólna Sprawa. Działania na rzecz równości płci  jako element skutecznego zarządzania różnorodnością  i źródło pozytywnych zmian strukturalnych  w uczelniach wyższych na przykładzie Uniwersytetu Gdańskiego,2020,Miscellanea Anthropologica et Sociologica,Natasza_Joanna_Kosakowska-Berezecka_3,False,14.0,False,D:\data\ranking\pdfs\v1-1\-1360237252111120997.pdf
2422,-1397040165799017254,302,302,Ryszard Wojciech Poprawa,https://orcid.org/0000-0002-3711-8710,empty,Kwestionariusz Oczekiwanych Efektów Używania Alkoholu. Zmodyfikowana polska adaptacja.,2018,Polish Journal of Applied Psychology,Ryszard_Wojciech_Poprawa_9,False,21.0,False,D:\data\ranking\pdfs\v1-1\-1397040165799017254.pdf
2424,-1476848454421201643,267,267,Jacek Neckar,https://orcid.org/0000-0002-6821-1651,empty,"Evolutionary explanations of the mechanisms of criminal behaviour: The implications for forensic psychology,Ewolucyjne wyjaśnienia mechanizmów zachowañ przestȩpczych i konsekwe ncje ich przyjȩcia dla psychologii sadowej",2018,Z Zagadnien Nauk Sadowych,Jacek_Neckar_2,False,16.0,False,D:\data\ranking\pdfs\v1-1\-1476848454421201643.pdf
2430,-186050149413266886,189,189,Barbara Zmaczyńska-Witek,https://orcid.org/0000-0001-5472-2576,empty,The mediating effect of self-efficacy on the relationship between health locus of control and life satisfaction: A moderator role of movement disability,2020-04,Disability and Health Journal,Barbara_Zmaczyńska-Witek_10,False,9.0,True,D:\data\ranking\pdfs\v1-1\-186050149413266886.pdf
2432,-1870254345735417507,14,14,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,empty,Psychometric validation of the Adolescence Deconversion Scale,2019,Przegląd Psychologiczny,Rafał_Piotr_Bartczuk_15,False,17.0,False,D:\data\ranking\pdfs\v1-1\-1870254345735417507.pdf
2434,-1895792013075375619,85,85,Mieczysław Plopa,https://orcid.org/0000-0002-5278-149X,empty,O WRODZONEJ POTRZEBIE DÓSWIADCZANIA PODMIOTOWÓSCI I MIŁÓSCI: PERSPEKTYWA TEORII PRZYWIĄZANIA,unrecovered,,Mieczysław_Plopa_9,False,18.0,False,D:\data\ranking\pdfs\v1-1\-1895792013075375619.pdf
2435,-1909173874681794198,157,157,Wojciech Pisula,https://orcid.org/0000-0001-5777-0549,empty,Domestication and the role of social play on the development of socio-cognitive skills in rats.,2019,International Journal of Comparative Psychology,Wojciech_Pisula_9,False,16.0,True,D:\data\ranking\pdfs\v1-1\-1909173874681794198.pdf
2436,-191849543541144370,161,161,Marek Kowalczyk,https://orcid.org/0000-0002-5735-4585,empty,"Mind wandering, activity, and current concerns among adults of different ages. A study using the Task-Unrelated Thoughts Questionnaire",2019,Przegląd Psychologiczny/Review of Psychology,Marek_Kowalczyk_2,False,15.0,False,D:\data\ranking\pdfs\v1-1\-191849543541144370.pdf
2437,-2041503697554610986,158,158,Jarosław Klebaniuk,https://orcid.org/0000-0002-4098-2171,empty,Recenzja książki Paula Blooma „Przeciw empatii. Argumenty za racjonalnym współczuciem”,2020,Forum Oświatowe,Jarosław_Klebaniuk_1,False,6.0,True,D:\data\ranking\pdfs\v1-1\-2041503697554610986.pdf
2439,-2049930766119667397,2,2,Ryszarda Ewa Bernacka,https://orcid.org/0000-0002-5919-3076,empty,Kontekst komunikacyjny postaw rodzicielskich w percepcji  nonkonformistów  i konformistów.,2019,FIDES ET RATIO,Ryszarda_Ewa_Bernacka_3,False,20.0,False,D:\data\ranking\pdfs\v1-1\-2049930766119667397.pdf
2442,-225247042813267088,593,596,Piotr Paweł Tomaszewski,https://orcid.org/0000-0002-4083-067X,empty,Kompetencje dzieci głuchych w posługiwaniu się językiem migowym – metody oceny i jej kliniczne znaczenie,2018,Edukacja,Piotr_Paweł_Tomaszewski_5,False,13.0,True,D:\data\ranking\pdfs\v1-1\-225247042813267088.pdf
2443,-2277293659172567257,772,772,Agnieszka Ewa Popiel,https://orcid.org/0000-0001-9990-4971 ,empty,Cechy Pięcioczynnikowego Modelu Osobowości (PMO) a objawy PTSD: wyniki badań prospektywnych i poprzecznych,2018,Przegląd Psychologiczny,Agnieszka_Ewa_Popiel_3,False,15.0,True,D:\data\ranking\pdfs\v1-1\-2277293659172567257.pdf
2444,-23629630471581930,75,75,Tatiana Senko,https://orcid.org/0000-0002-1240-2571,empty,Психологический анализ половых различий негативных поведенческих проявлений у подростков (Analiza psychologiczna różnic płuciowych zachowań niegatywnych u nastolatków).,2017-06-19,"Nauczyciel i Szkoła, nr 2 (62)",Tatiana_Senko_8,False,14.0,False,D:\data\ranking\pdfs\v1-1\-23629630471581930.pdf
2445,-2387783120357722078,207,207,Konrad Seweryn Jankowski,https://orcid.org/0000-0003-0613-9532,empty,"Standardy leczenia zaburzeń rytmu okołodobowego snu i czuwania opracowane przez Polskie Towarzystwo Badań nad Snem i Sekcję Psychiatrii Biologicznej Polskiego Towarzystwa Psychiatrycznego. Czę́sć I. Fizjologia, metody oceny i oddziaływania terapeutyczne",2017,Psychiatria Polska,Konrad_Seweryn_Jankowski_26,False,23.0,True,D:\data\ranking\pdfs\v1-1\-2387783120357722078.pdf
2446,-2455583205286523121,50,50,Ryszard Kościelak,https://orcid.org/0000-0003-0977-2288,empty,Subjective health resources in women suffering from simple obesity,2017-03-17,Polish Journal of Social Sciences,Ryszard_Kościelak_2,False,17.0,False,D:\data\ranking\pdfs\v1-1\-2455583205286523121.pdf
