,uni_name
SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,193
Uniwersytet_Jagielloński_w_Krakowie,125
Uniwersytet_Warszawski,92
Katolicki_Uniwersytet_Lubelski_Jana_Pawła_II_w_Lublinie,71
Uniwersytet_Gdański,67
Akademia_Pedagogiki_Specjalnej_Marii_Grzegorzewskiej_w_Warszawie,60
Uniwersytet_Śląski_w_Katowicach,53
Uniwersytet_Pedagogiczny_Komisji_Edukacji_Narodowej_w_Krakowie,52
Uniwersytet_Adama_Mickiewicza_w_Poznaniu,51
Uniwersytet_Kardynała_Stefana_Wyszyńskiego_w_Warszawie,45
Uniwersytet_Wrocławski,44
Akademia_Ignatianum_w_Krakowie,37
Uniwersytet_Marii_Curie-Skłodowskiej_w_Lublinie,35
Uniwersytet_Kazimierza_Wielkiego_w_Bydgoszczy,35
Uniwersytet_Łódzki,35
Uniwersytet_Szczeciński,35
Krakowska_Akademia_Andrzeja_Frycza_Modrzewskiego_w_Krakowie,29
Instytut_Psychologii_Polskiej_Akademii_Nauk,28
Uniwersytet_Jana_Kochanowskiego_w_Kielcach,27
