Original Title,Closest 1,Closest 2,Closest 3
 psychological journal   ,Archaeological Journal,GEOLOGICAL JOURNAL,HERPETOLOGICAL JOURNAL
 ieee th international conference on industrial informatics indin,IEEE Transactions on Industrial Informatics,INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS
acta scientifica academiae ostroviensis sectio a nauki humanistyczne społeczne i techniczne nr ,Acta Orientalia Academiae Scientiarum Hungaricae,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,Acta Universitatis Lodziensis. Kształcenie Polonistyczne Cudzoziemców
aids care,AIDS,Breast Care,Nanoscale
aims medical science,AIMS Medical Science,AIMS Materials Science,Medical Science
aims neuroscience,AIMS Neuroscience,BMC NEUROSCIENCE,AIMS Geosciences
aims medical science   pp ,AIMS Medical Science,Medical Science Pulse,AIMS Materials Science
aion akademicki informator osób niepełnosprawnych,LIBRARY & INFORMATION SCIENCE RESEARCH,Biomedical Informatics Insights,Geo-Spatial Information Science
australian journal of psychology,AUSTRALIAN JOURNAL OF PSYCHOLOGY,AUSTRALIAN JOURNAL OF ZOOLOGY,AMERICAN JOURNAL OF PSYCHOLOGY
accident analyses and  prevention,ACCIDENT ANALYSIS AND PREVENTION,AIDS EDUCATION AND PREVENTION,Wound Management & Prevention
accident analysis  prevention volume  june  pages ,ACCIDENT ANALYSIS AND PREVENTION,Crime Prevention & Community Safety,JPAD-Journal of Prevention of Alzheimers Disease
acta biooptica et informatica medica inżynieria biomedyczna,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOCHIMICA ET BIOPHYSICA SINICA
acta biochimica polonica,ACTA BIOCHIMICA POLONICA,Acta Politica Polonica,ACTA GEOLOGICA POLONICA
acta ethologica,ACTA ETHOLOGICA,Acta Theologica,ACTA ZOOLOGICA
acta neuropsychiatrica,ACTA NEUROPSYCHIATRICA,Acta Neuropsychologica,ACTA NEUROCHIRURGICA
acta neuropsychologica,Acta Neuropsychologica,ACTA NEUROPATHOLOGICA,ACTA NEUROPSYCHIATRICA
acta physica polonica b,ACTA PHYSICA POLONICA B,ACTA PHYSICA POLONICA A,Acta Politica Polonica
acta psychologica,ACTA PSYCHOLOGICA,ACTA SOCIOLOGICA,Acta Physiologica
acta de investigación psicológica,Cuadernos de Investigacion Filologica,CUADERNOS DE INVESTIGACIÓN HISTÓRICA,Revista de Investigacion Linguistica
action research,Action Research,VISION RESEARCH,Autism Research
adaptive human behavior and physiology,Adaptive Human Behavior and Physiology,Cognitive and Behavioral Neurology,MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY
addiction,ADDICTION,Aviation,Friction
addictive behaviors reports,ADDICTIVE BEHAVIORS,Epilepsy & Behavior Reports,Palliative Medicine Reports
adolescents,Elements,Processes,PLACENTA
advances in clinical and experimental medicine,Advances in Clinical and Experimental Medicine,CLINICAL AND EXPERIMENTAL MEDICINE,European Journal of Clinical and Experimental Medicine
