Original Title,Closest 1,Closest 2,Closest 3,doi,Article_ID
 psychological journal   ,Archaeological Journal,GEOLOGICAL JOURNAL,HERPETOLOGICAL JOURNAL,empty,-9.10E+18
 ieee th international conference on industrial informatics indin,IEEE Transactions on Industrial Informatics,INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,empty,-9.16E+18
acta scientifica academiae ostroviensis sectio a nauki humanistyczne społeczne i techniczne nr ,Acta Orientalia Academiae Scientiarum Hungaricae,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,Acta Universitatis Lodziensis. Kształcenie Polonistyczne Cudzoziemców,empty,-2.97E+18
aids care,AIDS,Breast Care,Nanoscale,https://doi.org/10.1080/09540121.2019.1699641,10-1080_09540121-2019-1699641
aims medical science,AIMS Medical Science,AIMS Materials Science,Medical Science,https://doi.org/10.3934/medsci.2019.1.13,10-3934_medsci-2019-1-13
aims neuroscience,AIMS Neuroscience,BMC NEUROSCIENCE,AIMS Geosciences,empty,-7.41E+18
aims medical science   pp ,AIMS Medical Science,Medical Science Pulse,AIMS Materials Science,empty,-5.85E+18
aion akademicki informator osób niepełnosprawnych,LIBRARY & INFORMATION SCIENCE RESEARCH,Biomedical Informatics Insights,Geo-Spatial Information Science,empty,-8.98E+18
australian journal of psychology,AUSTRALIAN JOURNAL OF PSYCHOLOGY,AUSTRALIAN JOURNAL OF ZOOLOGY,AMERICAN JOURNAL OF PSYCHOLOGY,https://doi.org/10.1080/00049530.2021.1944315,10-1080_00049530-2021-1944315
accident analyses and  prevention,ACCIDENT ANALYSIS AND PREVENTION,AIDS EDUCATION AND PREVENTION,Wound Management & Prevention,https://doi.org/10.1016/j.aap.2018.03.007,10-1016_j-aap-2018-03-007
accident analysis  prevention volume  june  pages ,ACCIDENT ANALYSIS AND PREVENTION,Crime Prevention & Community Safety,JPAD-Journal of Prevention of Alzheimers Disease,empty,-4.99E+18
acta biooptica et informatica medica inżynieria biomedyczna,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,empty,-4.71E+18
acta biochimica polonica,ACTA BIOCHIMICA POLONICA,Acta Politica Polonica,ACTA GEOLOGICA POLONICA,https://doi.org/10.18388/abp.2016_1436,10-18388_abp-2016_1436
acta ethologica,ACTA ETHOLOGICA,Acta Theologica,ACTA ZOOLOGICA,https://doi.org/10.1007/s10211-020-00348-5,10-1007_s10211-020-00348-5
acta neuropsychiatrica,ACTA NEUROPSYCHIATRICA,Acta Neuropsychologica,ACTA NEUROCHIRURGICA,https://doi.org/10.1017/neu.2017.4,10-1017_neu-2017-4
acta neuropsychologica,Acta Neuropsychologica,ACTA NEUROPATHOLOGICA,ACTA NEUROPSYCHIATRICA,https://doi.org/10.5604/01.3001.0014.8895,10-5604_01-3001-0014-8895
acta physica polonica b,ACTA PHYSICA POLONICA B,ACTA PHYSICA POLONICA A,Acta Politica Polonica,https://doi.org/10.5506/aphyspolb.49.2011,10-5506_aphyspolb-49-2011
acta psychologica,ACTA PSYCHOLOGICA,ACTA SOCIOLOGICA,Acta Physiologica,empty,4.80E+18
acta de investigación psicológica,Cuadernos de Investigacion Filologica,CUADERNOS DE INVESTIGACIÓN HISTÓRICA,Revista de Investigacion Linguistica,https://doi.org/10.22201/fpsi.20074719e.2019.3.316,10-22201_fpsi-20074719e-2019-3-316
action research,Action Research,VISION RESEARCH,Autism Research,https://doi.org/10.1177/1476750317730652,10-1177_1476750317730652
adaptive human behavior and physiology,Adaptive Human Behavior and Physiology,Cognitive and Behavioral Neurology,MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY,https://doi.org/10.1007/s40750-020-00152-2,10-1007_s40750-020-00152-2
addiction,ADDICTION,Aviation,Friction,https://doi.org/10.1111/add.15272,10-1111_add-15272
addictive behaviors reports,ADDICTIVE BEHAVIORS,Epilepsy & Behavior Reports,Palliative Medicine Reports,https://doi.org/10.1016/j.abrep.2020.100269,10-1016_j-abrep-2020-100269
adolescents,Elements,Processes,PLACENTA,https://doi.org/10.3390/adolescents1020008,10-3390_adolescents1020008
advances in clinical and experimental medicine,Advances in Clinical and Experimental Medicine,CLINICAL AND EXPERIMENTAL MEDICINE,European Journal of Clinical and Experimental Medicine,https://doi.org/10.17219/acem/111818,10-17219_acem_111818
advances in dermatology and allergology,Advances in Pharmacology and Pharmacy,ADVANCES IN ANATOMIC PATHOLOGY,PEDIATRIC HEMATOLOGY AND ONCOLOGY,https://doi.org/10.5114/ada.2021.108435,10-5114_ada-2021-108435
advances in interventional cardiology,SEMINARS IN INTERVENTIONAL RADIOLOGY,JOURNAL OF INTERVENTIONAL CARDIOLOGY,REC-Interventional Cardiology,https://doi.org/10.5114/aic.2019.81438,10-5114_aic-2019-81438
advances in life course research,Advances in Life Course Research,Advances in Climate Change Research,Advances in Energy Research,https://doi.org/10.1016/j.alcr.2020.100329,10-1016_j-alcr-2020-100329
advances in mental health and intellectual disabilities,Advances in Mental Health and Intellectual Disabilities,Journal of Mental Health Research in Intellectual Disabilities,JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,https://doi.org/10.1108/amhid-02-2021-0010,10-1108_amhid-02-2021-0010
advances in psychiatry and neurology,Seminars in Pediatric Neurology,Advances in Human Biology,ADVANCES IN POLYMER TECHNOLOGY,https://doi.org/10.5114/ppn.2019.86254,10-5114_ppn-2019-86254
advances in clinical and experimental medicine  official organ wroclaw medical university,Advances in Clinical and Experimental Medicine,Clinical and Experimental Emergency Medicine,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,https://doi.org/10.17219/acem/111818,10-17219_acem_111818
ageing and society,AGEING & SOCIETY,Policy and Society,THEORY AND SOCIETY,https://doi.org/10.1017/s0144686x21001689,10-1017_s0144686x21001689
aggression and violent behavior,AGGRESSION AND VIOLENT BEHAVIOR,AGGRESSIVE BEHAVIOR,EVOLUTION AND HUMAN BEHAVIOR,https://doi.org/10.1016/j.avb.2018.02.001,10-1016_j-avb-2018-02-001
aggressive behavior,AGGRESSIVE BEHAVIOR,ADAPTIVE BEHAVIOR,ADDICTIVE BEHAVIORS,https://doi.org/10.1002/ab.21737,10-1002_ab-21737
aging,Aging-US,Imaging,SPIN,https://doi.org/10.18632/aging.102243,10-18632_aging-102243
aging  mental health,AGING & MENTAL HEALTH,JMIR Mental Health,Global Mental Health,https://doi.org/10.1080/13607863.2017.1348474,10-1080_13607863-2017-1348474
aging neuropsychology and cognition,AGING NEUROPSYCHOLOGY AND COGNITION,Applied Neuropsychology-Adult,Language and Cognition,https://doi.org/10.1080/13825585.2019.1675581,10-1080_13825585-2019-1675581
agricultural and food science,AGRICULTURAL AND FOOD SCIENCE,JOURNAL OF FOOD SCIENCE,Nutrition & Food Science,https://doi.org/10.23986/afsci.60516,10-23986_afsci-60516
alcohol and alcoholism,ALCOHOL AND ALCOHOLISM,Nations and Nationalism,Algebra and Logic,https://doi.org/10.1093/alcalc/agx010,10-1093_alcalc_agx010
alcoholism and drug addiction,ALCOHOL AND ALCOHOLISM,JOURNAL OF DRUG EDUCATION,Ethics and Education,https://doi.org/10.5114/ain.2020.98882,10-5114_ain-2020-98882
alkoholizm i narkomania,ARCHAEOLOGY IN OCEANIA,Akademia Zarządzania,ARS COMBINATORIA,https://doi.org/10.5114/ain.2017.68443,10-5114_ain-2017-68443
alkoholizm i narkomaniaalchoholism and drug addition,Alkoholizm i Narkomania-Alchoholism and Drug Addition,Rehabilitation Research Policy and Education,TROPICAL ANIMAL HEALTH AND PRODUCTION,https://doi.org/10.5114/ain.2020.99870,10-5114_ain-2020-99870
allergy,ALLERGY,ENERGY,Ayer,https://doi.org/10.1111/all.13704,10-1111_all-13704
american journal of clinical nutrition,AMERICAN JOURNAL OF CLINICAL NUTRITION,EUROPEAN JOURNAL OF CLINICAL NUTRITION,South African Journal of Clinical Nutrition,https://doi.org/10.1093/ajcn/nqz164,10-1093_ajcn_nqz164
american journal of community psychology,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,JOURNAL OF COMMUNITY PSYCHOLOGY,AMERICAN JOURNAL OF PSYCHOLOGY,https://doi.org/10.1002/ajcp.12470,10-1002_ajcp-12470
american journal of health behavior,AMERICAN JOURNAL OF HEALTH BEHAVIOR,American Journal of Health Education,AMERICAN JOURNAL OF HEALTH PROMOTION,https://doi.org/10.5993/ajhb.45.4.2,10-5993_ajhb-45-4-2
