,fullname,uni_name
5,Dorota Ackermann-Szulgit,Wyższa_Szkoła_Bankowa_w_Toruniu
12,Adam Grzegorz Adamski,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
13,Anna Katarzyna Akbaş,Akademia_Wychowania_Fizycznego_Jerzego_Kukuczki_w_Katowicach
16,Maria Aleksandrowicz,Akademia_Pomorska_w_Słupsku
19,Beata Andrzejewska,Wyższa_Szkoła_Bankowa_w_Toruniu
28,Małgorzata Artymiak,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
37,Katarzyna Awruk,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
40,Ewa Bajer,Górnośląska_Wyższa_Szkoła_Handlowa_Wojciecha_Korfantego_w_Katowicach
49,Bibianna Beata Bałaj,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
74,Paulina Maria Baran,Wojskowy_Instytut_Medycyny_Lotniczej
83,Mateusz Julian Barłóg,Wyższa_Szkoła_Europejska_Ks._Józefa_Tischnera_w_Krakowie
86,Natalia Bartosz,KGHM_CUPRUM_Centrum_Badawczo-Rozwojowe
93,Jakub Bartoszewski,Akademia_Nauk_Stosowanych_w_Koninie
97,Monika Baryła-Matejczuk,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
99,Joanna Basiaga-Pasternak,Akademia_Wychowania_Fizycznego_Bronisława_Czecha_w_Krakowie
102,Beata Aleksandra Basińska,Politechnika_Gdańska
113,Daria Becker-Pestka,Wyższa_Szkoła_Bankowa__z_siedzibą_w_Gdańsku
125,Magdalena Bendryn,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
127,Ewa Bensz-Smagała,Górnośląska_Wyższa_Szkoła_Handlowa_Wojciecha_Korfantego_w_Katowicach
140,Marta Białecka,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
146,Anita Białuńska,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
162,Marcin Biernacki,Wojskowy_Instytut_Medycyny_Lotniczej
166,Anna Dorota Bilon-Piórko,Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu
172,JAN BLECHARZ,Akademia_Wychowania_Fizycznego_Bronisława_Czecha_w_Krakowie
181,Wojciech BŁAŻEK,Akademia_Marynarki_Wojennej_Bohaterów_Westerplatte
182,Małgorzata Błądek-Kolatorska,Wyższa_Szkoła_Menedżerska_w_Warszawie
185,Katarzyna Anna Błońska,Uniwersytet_Opolski
