,fullname,uni_name,is_a_main_job
2,Agnieszka Marianna Abramiuk,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,Nie dotyczy
17,Ewa Agnieszka Ambroziak,Państwowa Uczelnia im. Stefana Batorego,Nie
21,Beatricze Kinga Andrzejewska,Wyższa Szkoła Informatyki Stosowanej i Zarządzania w Warszawie,Nie dotyczy
25,Katarzyna Archanowicz-Kudelska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie dotyczy
26,Katarzyna Archanowicz-Kudelska,Szkoła Główna Handlowa w Warszawie,Nie
36,Paweł Augustynowicz,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Nie
46,Robert Balas,Instytut Psychologii Polskiej Akademii Nauk,Nie
47,Robert Balas,,
50,Marlena Banasik,Wyższa Szkoła Finansów i Prawa w Bielsku-Białej,Nie dotyczy
51,Marlena Banasik,Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie,Nie dotyczy
52,Marlena Banasik,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie
95,Łukasz Barwiński,Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie,Nie
123,Ewa Beldzik,Uniwersytet Jagielloński w Krakowie,Nie
149,Ilona Bidzan -Bluma,Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku,Nie
150,Ilona Bidzan -Bluma,Uniwersytet Gdański,Nie dotyczy
157,Jan Bielecki,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,Nie
158,Jan Bielecki,,
163,Mikołaj Biesaga,Uniwersytet Warszawski,Nie
169,Katarzyna Weronika Binder-Olibrowska,Uniwersytet Medyczny w Łodzi,Nie
170,Katarzyna Weronika Binder-Olibrowska,Uniwersytet Medyczny w Łodzi,Nie dotyczy
192,Anna Bochyńska,Uczelnia Łazarskiego w Warszawie,Nie dotyczy
193,Anna Bochyńska,Instytut Psychiatrii i Neurologii,Nie
196,Marta Bodecka-Zych,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,Nie dotyczy
222,Aleksandra Borkowska,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach,Nie
223,Aleksandra Borkowska,,
224,Anna Maria Boros,Uniwersytet Warszawski,Nie
237,Szymon Bręński,Uniwersytet im. Adama Mickiewicza w Poznaniu,Nie
251,Anna Izabela Brzezińska,Uniwersytet im. Adama Mickiewicza w Poznaniu,Nie
252,Anna Izabela Brzezińska,,
253,Jerzy Marian Brzeziński,Uniwersytet im. Adama Mickiewicza w Poznaniu,Nie
254,Jerzy Marian Brzeziński,,
263,Anna Bukowska-Posadzy,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nie
310,Monika Martyna Chwalczuk,Instytut Psychologii Polskiej Akademii Nauk,Nie
324,Lidia Cierpiałkowska,Uniwersytet Zielonogórski,Nie
325,Lidia Cierpiałkowska,Uniwersytet im. Adama Mickiewicza w Poznaniu,Nie
351,Sławomir Mateusz Czachowski,Uniwersytet Mikołaja Kopernika w Toruniu,Nie
352,Sławomir Mateusz Czachowski,,
358,LIDIA CZARKOWSKA,Akademia Leona Koźmińskiego w Warszawie,Nie
404,Karolina Dejko-Wańczyk,Uniwersytet Jagielloński w Krakowie,Nie
423,Paweł Dobrowolski,Instytut Psychologii Polskiej Akademii Nauk,Nie
456,Katarzyna Drzewek,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,Nie
478,Ewa Dziedzic-Szeszuła,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nie
481,Ewelina Elert-Dobkowska,Instytut Psychiatrii i Neurologii,Nie
482,Ewelina Elert-Dobkowska,Uczelnia Łazarskiego w Warszawie,Nie dotyczy
497,Sylwia Fijałkowska,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,Nie
503,MARIA FLAKUS,Instytut Filozofii i Socjologii Polskiej Akademii Nauk,Nie
504,MARIA FLAKUS,Wyższa Szkoła Bankowa w Poznaniu,Nie dotyczy
505,MARIA FLAKUS,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie dotyczy
506,MARIA FLAKUS,Uniwersytet Śląski w Katowicach,Nie
616,Agnieszka Anna Grabara,Akademia Techniczno-Humanistyczna w Bielsku-Białej,Nie
619,Anna Maria Grabowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie
620,Anna Maria Grabowska,,
624,Krzysztof Jędrzej Grala,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,Nie dotyczy
626,Bartosz Grobelny,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nie
627,Bartosz Grobelny,,
660,Magdalena Gugała-Iwaniuk,Instytut Psychiatrii i Neurologii,Nie
676,Piotr Haładziński,Uniwersytet im. Adama Mickiewicza w Poznaniu,Nie
686,Karolina Hansen,Uniwersytet Warszawski,Nie
687,Karolina Hansen,,
700,Kamil Maksymilian Henne,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie
720,Justyna Holka-Pokorska,Instytut Psychiatrii i Neurologii,Nie
723,Kaja Hołubowska,Uniwersytet Jagielloński w Krakowie,Nie
726,Hanna Hromova,Uniwersytet Warszawski,Nie
733,Edyta Weronika Idczak-Paceś,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,Nie dotyczy
795,Katarzyna Jawna-Zboińska,Uniwersytet Warszawski,Nie
796,Romuald Jaworski,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,Nie
797,Romuald Jaworski,,
819,Adrian Michał Kabat,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,Nie dotyczy
822,Radosław Patrycjusz Kaczan,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie
828,Izabela Kaczmarek,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nie
853,Milena Kansy,Uniwersytet Jagielloński w Krakowie,Nie
870,Jerzy Karyłowski,Instytut Psychologii Polskiej Akademii Nauk,Nie
871,Jerzy Karyłowski,,
873,Krzysztof Kasparek,Uniwersytet Jagielloński w Krakowie,Nie
876,AGATA KASZUBA,Państwowa Uczelnia Zawodowa im. Ignacego Mościckiego w Ciechanowie,Nie
877,AGATA KASZUBA,,
916,Anna Kluzik,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nie
950,Tadeusz Kononowicz,Instytut Psychologii Polskiej Akademii Nauk,Nie
974,Tomasz Korulczyk,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Nie
975,Krzysztof Korzeniowski,Instytut Psychologii Polskiej Akademii Nauk,Nie
976,Krzysztof Korzeniowski,,
998,Katarzyna Kotowska,Karpacka Państwowa Uczelnia w Krośnie,Nie
1013,Joachim Kowalski,Akademia Ekonomiczno-Humanistyczna w Warszawie,Nie dotyczy
1014,Joachim Kowalski,Instytut Psychologii Polskiej Akademii Nauk,Nie
1015,Joachim Kowalski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie dotyczy
1020,Aneta Monika Kozioł,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Nie
1026,Anna Kozubińska,Państwowa Wyższa Szkoła Zawodowa w Nowym Sączu,Nie
1027,Anna Kozubińska,,
1082,Klaudiusz Krzysztof Kudła,Uniwersytet Jagielloński w Krakowie,Nie
1084,Daria Kukuła,Uniwersytet Mikołaja Kopernika w Toruniu,Nie dotyczy
