,name,orcid,link,title,date,journal,id
0,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1007/s00406-020-01227-7,Mindreading and metacognition patterns in patients with borderline personality disorder: experimental study,2021,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,Ewelina_Cichoń_1
1,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.2147/dmso.s322850,PAID-PL—The Polish Version of the Problem Areas in Diabetes Scale: Perfect Reliability and a One-Factor Structure,2021-11,"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy",Ewelina_Cichoń_2
2,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.3389/fpsyt.2021.713386,Cognition and Frailty in Patients With Heart Failure: A Systematic Review of the Association Between Frailty and Cognitive Impairment,2021-07-02,Frontiers in Psychiatry,Ewelina_Cichoń_3
3,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.2147/prbm.s286245,Measurement of Unwanted Thought Suppression Strategies with the Thought Control Questionnaire in the General Polish Population: A Confirmatory Factor Analysis and Validation,2021-02,Psychology Research and Behavior Management,Ewelina_Cichoń_4
4,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1080/13548506.2020.1861314,"COVID-19 pandemic fear, life satisfaction and mental health at the initial stage of the pandemic in the largest cities in Poland",2021-01-02,"Psychology, Health & Medicine",Ewelina_Cichoń_5
5,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1177/1474515120944518,Acceptance of the disease and sexual functions of patients with heart failure,2020-11-03,European Journal of Cardiovascular Nursing,Ewelina_Cichoń_6
6,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1371/journal.pone.0240209,People with diabetes need a lower cut-off than others for depression screening with PHQ-9,2020-10-23,PLOS ONE,Ewelina_Cichoń_7
7,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.3389/fpsyt.2020.00725,Monetary Incentives Increase Metacognitive Confidence in Source Memory Performance in Patients With Schizophrenia,2020-07-29,Frontiers in Psychiatry,Ewelina_Cichoń_8
8,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1016/j.pcd.2020.05.015,Cut-off points for Polish-language versions of depression screening tools among patients with Type 2 diabetes,2020-06,Primary Care Diabetes,Ewelina_Cichoń_9
9,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1016/j.erap.2020.100521,Education biases perception of social robots,2020-04,European Review of Applied Psychology,Ewelina_Cichoń_10
10,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.12740/pp/93493,POLISH VERSION OF WHITE BEAR SUPPRESSION INVENTORY (WBSI) BY WEGNER AND ZANAKOS: FACTOR ANALYSIS AND RELIABILITY.,2020-02-29,Psychiatria Polska,Ewelina_Cichoń_11
11,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1016/j.diabres.2019.107970,Validation of the Polish version of WHO-5 as a screening instrument for depression in adults with diabetes,2020-01,Diabetes Research and Clinical Practice,Ewelina_Cichoń_12
12,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.1007/s12144-018-0011-8,Experience-based knowledge increases confidence in discriminating our memories,2018-09-26,Current Psychology,Ewelina_Cichoń_13
13,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.18290/rpsych.2017.20.4-2en,Metacognition increases the severity of depression through trait anxiety in a nonclinical population,2017,Roczniki Psychologiczne,Ewelina_Cichoń_14
14,Ewelina Cichoń,https://orcid.org/0000-0001-5728-3003,https://doi.org/10.18290/rpsych.2017.20.4-2pl,Metapoznanie nasila depresję poprzez cechę lęku: badania w populacji osób zdrowych psychicznie,2017,Roczniki Psychologiczne,Ewelina_Cichoń_15
15,Andrzej Kiejna,https://orcid.org/0000-0002-3708-3853,https://doi.org/10.2147/dmso.s322850,PAID-PL—The Polish Version of the Problem Areas in Diabetes Scale: Perfect Reliability and a One-Factor Structure,2021-11,"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy",Andrzej_Kiejna_1
16,Andrzej Kiejna,https://orcid.org/0000-0002-3708-3853,https://doi.org/10.12740/pp/133286,A letter to the editor. Three-vote on the National Mental Health Programme,2021-10-31,Psychiatria Polska,Andrzej_Kiejna_2
17,Andrzej Kiejna,https://orcid.org/0000-0002-3708-3853,https://doi.org/10.17219/acem/111818,Psychometric validation of Corah’s Dental Anxiety Scale in the Polish population,2020-01-17,Advances in Clinical and Experimental Medicine,Andrzej_Kiejna_3
18,Andrzej Kiejna,https://orcid.org/0000-0002-3708-3853,https://doi.org/10.17219/dmp/105253,Negative synergy of mental disorders and oral diseases versus general health,2019-05-10,Dental and Medical Problems,Andrzej_Kiejna_4
19,Alina Matlakiewicz,https://orcid.org/0000-0001-5627-384X,empty,Aroma Marketing in Business – How Fragrance Affects Customers and Employees,2020-04-02,,Alina_Matlakiewicz_1
20,Alina Matlakiewicz,https://orcid.org/0000-0001-5627-384X,https://doi.org/10.19197/tbr.v17i4.316,Positive psychology in organisation management - theoretical approach,2018-12-18,Torun Business Review,Alina_Matlakiewicz_2
21,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.1515/chem-2020-0146,"The combined use of GC, PDSC and FT-IR techniques to characterize fat extracted from commercial complete dry pet food for adult cats",2020,Open Chemistry,Tomasz_Niemiec_1
22,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.3390/ani10122260,The Effect of ag nanoparticles and multimicrobial preparation as factors stabilizing the microbiological homeostasis of feed tables for cornu aspersum (müller) snails on snail growth and quality parameters of carcasses and shells,2020,Animals,Tomasz_Niemiec_2
23,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.1515/chem-2020-0022,The effect of silica-calcite sedimentary rock contained in the chicken broiler diet on the overall quality of chicken muscles,2020,Open Chemistry,Tomasz_Niemiec_3
24,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.1016/j.foodchem.2019.05.121,Chemical changes that occur in Jerusalem artichoke silage,2019,Food Chemistry,Tomasz_Niemiec_4
25,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.3390/ijms20184526,Effect of Juice and Extracts from <i>Saposhnikovia divaricata</i> Root on the Colon Cancer Cells Caco-2,2019-09,International Journal of Molecular Sciences,Tomasz_Niemiec_5
26,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.1155/2019/5417962,The Synthesis Followed by Spectral and Calorimetric Evaluation of Stability of Human Milk Fat Substitutes Obtained from Thistle Milk and Lard,2019-05-02,International Journal of Analytical Chemistry,Tomasz_Niemiec_6
27,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.3390/ijms19041064,In vitro influence of extracts from snail Helix aspersa Müller on the colon cancer cell line Caco-2,2018,International Journal of Molecular Sciences,Tomasz_Niemiec_7
28,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.5194/aab-61-245-2018,"The effect of the addition of wet brewers grain to the diet of lambs on body weight gain, slaughter valueand meat quality",2018,Archives Animal Breeding,Tomasz_Niemiec_8
29,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.23986/afsci.60516,"Nutritive value and meat quality of domestic cattle (bos taurus), zubron (bos taurus × bison bonasus) and European bison (bison bonasus) meat",2017,Agricultural and Food Science,Tomasz_Niemiec_9
30,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.5740/jaoacint.17-0165,The method of coating Fe<inf>3</inf>O<inf>4</inf> with carbon nanoparticles to modify biological properties of oxide measured in vitro,2017,Journal of AOAC International,Tomasz_Niemiec_10
31,Tomasz Niemiec,https://orcid.org/0000-0001-5838-042X,https://doi.org/10.7717/peerj.10760,Effect of Elaeagnus umbellata (Thunb.) fruit extract on H2O2-induced oxidative and inflammatory responses in normal fibroblast cells,unrecovered,,Tomasz_Niemiec_11
32,Beata Rajba,https://orcid.org/0000-0002-3945-1568,https://doi.org/10.1016/j.pcd.2020.05.015,Cut-off points for Polish-language versions of depression screening tools among patients with Type 2 diabetes.,2020-06-19,Primary care diabetes,Beata_Rajba_1
33,Beata Rajba,https://orcid.org/0000-0002-3945-1568,https://doi.org/10.12740/pp/102438,The Staff Attitude to Coercion Scale (SACS) - Polish adaptation.,2020-02-29,Psychiatria polska,Beata_Rajba_2
34,Beata Rajba,https://orcid.org/0000-0002-3945-1568,https://doi.org/10.17219/acem/111818,Psychometric validation of Corah's Dental Anxiety Scale in the Polish population.,2020-01-01,Advances in clinical and experimental medicine : official organ Wroclaw Medical University,Beata_Rajba_3
35,Beata Rajba,https://orcid.org/0000-0002-3945-1568,https://doi.org/10.1016/j.diabres.2019.107970,Validation of the Polish version of WHO-5 as a screening instrument for depression in adults with diabetes.,2019-12-02,Diabetes research and clinical practice,Beata_Rajba_4
36,Beata Rajba,https://orcid.org/0000-0002-3945-1568,empty,L’image de la femme et de l’homme dans Les lettres de Mistriss Fanny Butlerd de Marie Jeanne de Mezières Riccoboni,2019-10-01,Roczniki Humanistyczne,Beata_Rajba_5
