name,orcid,link,title,date,journal,id
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.17951/j.2020.33.2.221-237,Zasoby osobiste a elastyczność w radzeniu sobie ze stresem u osób chorych kardiologicznie,2020-06-29,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia",Małgorzata_Basińska_1
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.13075/mp.5893.00928,"Two types of flexibility: in coping and cognitive, and their relationship with stress among firefighters",2020-06-19,Medycyna Pracy,Małgorzata_Basińska_2
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.13075/ijomeh.1896.01567,"Cognitive flexibility and flexibility in coping in nurses – the moderating role of age, seniority and the sense of stress",2020-06-16,International Journal of Occupational Medicine and Environmental Health,Małgorzata_Basińska_3
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.4467/20843879pr.19.021.11727,Kwestionariusz Elastyczności w Radzeniu Sobie ze Stresem dla Adolescentów (KERS-14A),2019,Psychologia Rozwojowa,Małgorzata_Basińska_4
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.1093/ecco-jcc/jjy222.771,P647 A pilot study: The importance of cognitive flexibility and flexibility in coping with stress for the quality of life in inflammatory bowel disease patients during biological therapy,2019,Journal of Crohn's and Colitis,Małgorzata_Basińska_5
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.5114/ppn.2019.86254,Reflective-ruminative tendencies and coping flexibility in patients with non-specific inflammatory bowel diseases,2019,Advances in Psychiatry and Neurology,Małgorzata_Basińska_6
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.5114/hpr.2019.85952,Resiliency as a predictor of flexibility in coping with stress of cardiac patients,2019,Health Psychology Report,Małgorzata_Basińska_7
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.5114/ppn.2019.84354,Temperamental determinants of coping flexibility in adolescents,2019,Postępy Psychiatrii i Neurologii,Małgorzata_Basińska_8
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.5114/pg.2018.81081,The importance of cognitive flexibility and flexibility in coping with stress for the quality of life in inflammatory bowel disease patients during biological therapy. A preliminary report,2019,Gastroenterology Review,Małgorzata_Basińska_9
Małgorzata Basińska,https://orcid.org/0000-0002-6763-8012,https://doi.org/10.13075/mp.5893.00823,Wybrane cechy osobowości funkcjonariuszy państwowej straży pożarnej jako predyktory elastyczności w radzeniu sobie ze stresem,2019,Medycyna Pracy,Małgorzata_Basińska_10
