name,orcid,link,title,date,journal,id
ADRIANNA WERONIKA BOBER,https://orcid.org/0000-0003-2242-2311,https://doi.org/10.3390/ijerph19010230,Impact of Shyness on Self-Esteem: The Mediating Effect of Self-Presentation,2021-12-26,International Journal of Environmental Research and Public Health,ADRIANNA_WERONIKA_BOBER_1
ADRIANNA WERONIKA BOBER,https://orcid.org/0000-0003-2242-2311,https://doi.org/10.3390/jcm10184199,Higher-Order Language Dysfunctions in Individuals with Alcohol Use Disorder,2021-09-16,Journal of Clinical Medicine,ADRIANNA_WERONIKA_BOBER_2
ADRIANNA WERONIKA BOBER,https://orcid.org/0000-0003-2242-2311,https://doi.org/10.3390/jcm10143158,"Relationship of Corpus Callosum Integrity with Working Memory, Planning, and Speed of Processing in Patients with First-Episode and Chronic Schizophrenia",2021-07,Journal of Clinical Medicine,ADRIANNA_WERONIKA_BOBER_3
MAGDALENA MIROSŁAWA CHĘĆ,https://orcid.org/0000-0001-8666-4905,https://doi.org/10.12740/app/109628,Contemporary views on shyness – a literature review,2019-09-07,Archives of Psychiatry and Psychotherapy,MAGDALENA_MIROSŁAWA_CHĘĆ_1
MAGDALENA MIROSŁAWA CHĘĆ,https://orcid.org/0000-0001-8666-4905,https://doi.org/10.1080/00220671.2016.1157783,Academic motivation in children with dyslexia,2017,Journal of Educational Research,MAGDALENA_MIROSŁAWA_CHĘĆ_2
ADAM PAWEŁ FALEWICZ,https://orcid.org/0000-0002-0412-7602,https://doi.org/10.34766/fetr.v48i4.989,Typology of people in middle and late adulthood based on the profile of coping with everyday life events,2021-12-30,Kwartalnik Naukowy Fides et Ratio,ADAM_PAWEŁ_FALEWICZ_1
ADAM PAWEŁ FALEWICZ,https://orcid.org/0000-0002-0412-7602,https://doi.org/10.3390/rel12121049,Validation of the Polish Version of the Brief Measure of Perceived Divine Engagement and Disengagement in Response to Prayer (PDED),2021-11,Religions,ADAM_PAWEŁ_FALEWICZ_2
KAROLINA KALISZEWSKA,https://orcid.org/0000-0002-3925-8397,https://doi.org/10.14746/ikps.2017.17.05,Proces adaptacji rodziców do roli rodzicielskiej dziecka z zespołem Downa jako strategia radzenia sobie z sytuacją stresową,2018-09-09,Interdyscyplinarne Konteksty Pedagogiki Specjalnej,KAROLINA_KALISZEWSKA_1
KAROL MARCIN KARASIEWICZ,https://orcid.org/0000-0002-5890-6118,https://doi.org/10.3390/jcm10184199,Higher-Order Language Dysfunctions in Individuals with Alcohol Use Disorder,2021-09-16,Journal of Clinical Medicine,KAROL_MARCIN_KARASIEWICZ_1
KAROL MARCIN KARASIEWICZ,https://orcid.org/0000-0002-5890-6118,https://doi.org/10.1007/s11332-020-00722-7,Spotlight on the link between imagery and empathy in sport,2021-03-03,Sport Sciences for Health,KAROL_MARCIN_KARASIEWICZ_2
