name,orcid,link,title,date,journal
Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,O zjawisku samotności wśród młodzieży z chorobami skórno-nerwowymi – rozważania teoretyczno-empiryczne,2020,Zeszyty Naukowe Państwowej Wyższej Szkoły Zawodowej im. Witelona w Legnicy
Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,https://doi.org/10.34697/2451-0858-pis-2020-1-004,Poczucie satysfakcji i sensu życia u matek dzieci z dystrofią mieśniową Duchenne'a- rozważania teoretyczno empiryczne.,2020,Państwo i Społeczeństwo
Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,Adolescents perception of parenting styles as a correlate of their styles of coping with stress,2019,Zeszyty Naukowe Państwowej Wyższej Szkoły Zawodowej im. Witelona w Legnicy
Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,Młodzież gimnazjalna w obliczu niepełnosprawności członka rodziny-doniesienie z badań nad samotnością rodzeństwa dzieci z mózgowym porażeniem dziecięcym.,2019,Zeszyty Naukowe Państwowej Wyższej Szkoły Zawodowej im. Witelona w Legnicy
Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,O potrzebie poszukiwania korelatów satysfakcji z życia matek z dziećmi z dystrofią mięśniową Duchenne'a - rozważania teoretyczno-empiryczne.,2019,Zeszyty Naukowe PWSZ im.Witelona w Legnicy
Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,Paradoks problemu samotności na przykładzie chorych ze sclerosis multiplex (SM),2018,Czasopismo Psychologiczne
Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,https://doi.org/10.20883/pielpol.2017.52,Ocena jakości życia rodzin/opiekunów osób chorych na stwardnienie rozsiane dokonana w świetle przeprowadzonych badań,2017,Pielęgniarstwo Polskie
Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,empty,Samotność czynnikiem ryzyka zachowań agresywnych wśród wychowanków placówek opiekuńczo-wychowawczych,2017,Zeszyty Naukowe Państwowej Wyższej Szkoły Zawodowej im. Witelona w Legnicy
Anna Czerniak,https://orcid.org/0000-0003-1020-7307,empty,Serving two masters – What kind of resistance to influence allows maintaining a positive image?,2018-12-28,Social Psychological Bulletin
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.21307/ane-2021-017,The neural substrates of diminished humor comprehension in schizophrenia and its relationship with psychopathology,2021-05,Acta Neurobiologiae Experimentalis
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.12740/pp/131533,The relationships of need for closure dimensions with psychotic-like experiences and jumping to conclusions. A study of a large cross-population sample,2021-04-30,Psychiatria Polska
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.12740/pp/onlinefirst/116579,"Sheltered employment in schizophrenia is related to disorganization symptoms, processing speed and metaphor comprehension",2020-10-31,Psychiatria Polska
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.12740/pp/onlinefirst/115554,Premorbid social relationships and the course of schizophrenia in a 20-year follow-up study,2020-06-30,Psychiatria Polska
