name,orcid,link,title,date,journal
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1111/aphw.12248,Relationship status and mental and physical health among Polish and American young adults: The role of relationship satisfaction and satisfaction with relationship status,2021-02-17,Applied Psychology: Health and Well-Being
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1080/00223891.2019.1674317,Development of the Polish-Language Riverside Life Satisfaction Scale and Its Further Validation,2020,Journal of Personality Assessment
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1177/2167696820966110,The Lonely Collegiate: An Examination of the Reasons for Loneliness Among Emerging Adults in College in the Western United States and West-Central Poland,2020,Emerging Adulthood
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1007/s12144-017-9585-9,Development and Validation of a Polish-Language Version of the Satisfaction with Relationship Status Scale (ReSta),2019,Current Psychology
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1007/s12144-017-9666-9,Incremental Validity of the Satisfaction with Relationship Status Scale in Predicting Young Adults’ Well-Being. What Does It Tell Us?,2019,Current Psychology
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.5114/cipp.2019.92561,Marital and love attitudes as predictors of polish young adults' relationship status,2019,Current Issues in Personality Psychology
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1007/s12144-019-00192-2,The Polish adaptation and further validation of the Fear of Being Single Scale (FBSS),2019,Current Psychology
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1016/j.paid.2017.12.011,Direct and indirect effects of relationship status through unmet need to belong and fear of being single on young adults' romantic loneliness,2018,Personality and Individual Differences
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1016/j.paid.2017.01.056,Direct and indirect effects of relationship status through satisfaction with relationship status and fear of being single on Polish young adults' well-being,2017,Personality and Individual Differences
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1521/jscp.2017.36.4.265,Going beyond relationship status: A cross-sectional and longitudinal investigation of the role of satisfaction with relationship status in predicting polish young adults mental health,2017,Journal of Social and Clinical Psychology
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1371/journal.pone.0173768,Mental health and adjustment to juvenile idiopathic arthritis: Level of agreement between parent and adolescent reports according to Strengths and Difficulties Questionnaire and Adolescent Outcomes Questionnaire,2017,PLoS ONE
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1111/1756-185x.12738,The Pediatric Outcomes Data Collection Instrument for a Polish sample with juvenile idiopathic arthritis: psychometric properties of proxy version,2017,International Journal of Rheumatic Diseases
Katarzyna Adamczyk,https://orcid.org/0000-0002-7612-8380,https://doi.org/10.1007/s12144-016-9478-3,Voluntary and Involuntary Singlehood and Young Adults’ Mental Health: an Investigation of Mediating Role of Romantic Loneliness,2017,Current Psychology
Karolina Magdalena Appelt,https://orcid.org/0000-0003-3106-8959,https://doi.org/10.4467/20843879pr.20.010.12265,Aktywność twórcza a korzystanie z urządzeń ekranowych przez dzieci w wieku przedszkolnym,2020,Psychologia Rozwojowa
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,https://doi.org/10.14746/cis.2021.51.1,Blisko czy na dystans? Psychologiczne aspekty relacji międzyludzkich,2021-03-15,Człowiek i Społeczeństwo
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Dostępność rodziców w dzieciństwie a przywiązanie do partnera w związku intymnym,2021-03-15,Człowiek i Społeczeństwo
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Experiences of adults as parents with cancer: a systematic review and thematic synthesis of qualitative studies,2021-01-11,Journal of Psychosocial Oncology
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Poziom agresywności przyszłych psychologów w kontekście percypowanych postaw ich rodziców,2020,"E-mentor, 83(1), 5-13. DOI: 10.15219/em83.1449"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,https://doi.org/10.14746/cis.2020.50.10,Komunikacja interpersonalna kobiet z zaburzeniem osobowości typu borderline w związkach kohabitacyjnych,2020-12-15,Człowiek i Społeczeństwo
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Affiliative behaviors in intimate relationships. A questionnaire proposal,2019,"Przegląd Psychologiczny, 62(4), 641-655"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Inteligencja i kreatywność adolescentów w kontekście postaw wychowawczych ich rodziców,2019,"Psychologia Wychowawcza, 15, 63-78. DOI - 10.5604/01.3001.0013.2962"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,"Kwestionariusze do badania psychicznych atrybutów dorosłości – podstawy teoretyczne, konstrukcja narzędzi i ich psychometryczna weryfikacja",2019,"Polskie Forum Psychologiczne, 24(3), 271–291. DOI: 10.14656/PFP20190301"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Levinsonowskie Marzenie w odniesieniu do ojcostwa. Badanie mężczyzn w fazie nowicjatu,2019,"Psychologia Rozwojowa, 23(4), 71-90. DOI - 10.4467/20843879PR.18.023.9952"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,"Wychowanie i rodzicielstwo, styl wychowania i styl rodzicielski. Analiza terminologiczna",2019,"Psychologia Wychowawcza,16, 60-72. DOI: 10.5604/01.3001.0013.6361"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Doświadczenie nastoletniego macierzyństwa a wybrane aspekty funkcjonowania dorosłych kobiet,2018,"Polskie Forum Psychologiczne, 23(1), 102-121. DOI:10.4467/20843879PR.17.007.7039"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,"Funkcjonowanie dzieci, młodzieży i dorosłych w rodzinach rozłącznych przestrzennie na skutek migracji ekonomicznych",2018,"Człowiek i Społeczeństwo, 51, 109-126"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Parental generativity. The concept and measurement,2018,"Polish Psychological Bulletin, 49(3), 344–354. DOI - 10.24425/119501"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Płeć metrykalna i psychologiczna a podział obowiązków domowych i satysfakcja seksualna w związkach konsensualnych,2018,"Rocznik Lubuski, 44(1), 325-344.  http://www.roczniklubuski.uz.zgora.pl/wydania/tom_44/Rocznik_Lubuski_44_1.pdf"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Badanie przywiązania u dzieci za pomocą Attachment Story Completion Task ,2017,"Czasopismo Psychologiczne, 23(1), 137-146"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Doświadczanie rodzicielstwa i doświadczenia rodzicielskie. Propozycja konceptualizacji,2017,"Psychologia Rozwojowa, 22(2),15-31"
Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Family relations in the period of parental initiation,2017,"Przegląd Psychologiczny, 60(4), 513-530"
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1007/s10902-020-00218-8,Gratitude Texting Touches the Heart: Challenge/Threat Cardiovascular Responses to Gratitude Expression Predict Self-initiation of Gratitude Interventions in Daily Life,2021,Journal of Happiness Studies
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1007/s12144-019-00315-9,Would you be happier if you moved more? Physical activity focusing illusion,2021,Current Psychology
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1038/s41598-021-97670-0,Blunted cardiovascular reactivity may serve as an index of psychological task disengagement in the motivated performance situations,2021-12,Scientific Reports
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1371/journal.pone.0256483,"I am afraid, so I buy it! The effects of anxiety on consumer assimilation and differentiation needs amongst individuals primed with independent and interdependent self-construal",2021-09-01,PLOS ONE
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1371/journal.pone.0256430,"How seasons, weather, and part of day influence baseline affective valence in laboratory research participants?",2021-08-19,PLoS ONE
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1111/psyp.13879,Distress and retaliatory aggression in response to witnessing intergroup exclusion are greater on higher levels of collective narcissism,2021-06-15,Psychophysiology
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1007/s10902-021-00389-y,"Positive Emotions Boost Enthusiastic Responsiveness to Capitalization Attempts. Dissecting Self-Report, Physiology, and Behavior",2021-04-13,Journal of Happiness Studies
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1038/s41598-021-86841-8,Head movement differs for positive and negative emotions in video recordings of sitting individuals.,2021-04-01,Scientific reports
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1016/j.entcom.2020.100397,"What makes male gamers angry, sad, amused, and enthusiastic while playing violent video games?",2021-03,Entertainment Computing
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1080/17439760.2021.1885054,Give and take: The role of reciprocity in capitalization,2021-02-10,The Journal of Positive Psychology
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1016/j.psychsport.2019.101584,Social challenge and threat predict performance and cardiovascular responses during competitive video gaming,2020,Psychology of Sport and Exercise
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1037/emo0000903,The role of emotions in esports performance.,2020-10-29,Emotion
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1111/psyp.13318,Effects of emotions on heart rate asymmetry,2019-04,
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1016/j.ijpsycho.2019.01.008,High-approach and low-approach positive affect influence physiological responses to threat and anger,2019-04,
