Unnamed: 0,name,orcid,link,title,date,journal,id
0,Katarzyna Awruk,https://orcid.org/0000-0003-3068-6309,https://doi.org/10.1016/j.jbusres.2017.11.041,Questionnaire of entrepreneurial success - Report on the initial stage of method construction,2017,Journal of Business Research,Katarzyna_Awruk_1
1,Jarosław Bogaczewicz,https://orcid.org/0000-0002-6728-8198,https://doi.org/10.2147/tacg.s323735,Osteopontin Gene Polymorphisms rs1126616 C>T and rs1126772 A>G are Associated with Atopic Dermatitis in Polish Population,2021-10,The Application of Clinical Genetics,Jarosław_Bogaczewicz_1
2,Jarosław Bogaczewicz,https://orcid.org/0000-0002-6728-8198,https://doi.org/10.5114/aoms/128102,Interplay between IL-17 family members and angiogenic cytokines in subjects with systemic sclerosis.,2021-03-21,Archives of Medical Science,Jarosław_Bogaczewicz_2
3,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3389/fpsyg.2017.00395,Auditory-motor rhythms and speech processing in French and German listeners,2017,Frontiers in Psychology,Simone_Dalla_Bella_1
4,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3758/s13428-016-0773-6,BAASTA: Battery for the Assessment of Auditory Sensorimotor and Timing Abilities,2017,Behavior Research Methods,Simone_Dalla_Bella_2
5,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.gaitpost.2016.09.020,Biologically-variable rhythmic auditory cues are superior to isochronous cues in fostering natural gait variability in Parkinson's disease,2017,Gait and Posture,Simone_Dalla_Bella_3
6,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1038/s41598-017-11295-w,Children and adults with Attention-Deficit/Hyperactivity Disorder cannot move to the beat,2017,Scientific Reports,Simone_Dalla_Bella_4
7,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1007/s00221-017-5080-7,Music and speech distractors disrupt sensorimotor synchronization: effects of musical training,2017,Experimental Brain Research,Simone_Dalla_Bella_5
8,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.3389/fnhum.2017.00273,Music games: Potential application and considerations for rhythmic training,2017,Frontiers in Human Neuroscience,Simone_Dalla_Bella_6
9,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1007/s00221-016-4776-4,To bridge or not to bridge the multisensory time gap: bimanual coordination to sound and touch with temporal lags,2017,Experimental Brain Research,Simone_Dalla_Bella_7
10,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.bandc.2017.02.002,Walking to a multisensory beat,2017,Brain and Cognition,Simone_Dalla_Bella_8
11,Simone Dalla Bella,https://orcid.org/0000-0001-9813-7408,https://doi.org/10.1016/j.neuropsychologia.2016.11.022,“Lost in time” but still moving to the beat,2017,Neuropsychologia,Simone_Dalla_Bella_9
12,Witold Dobrołowicz,https://orcid.org/0000-0001-8620-0369,https://doi.org/10.17951/j.2020.33.2.9-24,Typy umysłów,2020,"Annales Universitatis Mariae Curie-Skłodowska. Sectio J, Paedagogia-Psychologia",Witold_Dobrołowicz_1
18,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.5709/acp-0340-1,Cognitive Aptitudes and Processing of L2 Grammar: Exploring the Role of Rule Inferencing Skills and Working Memory,2021-12,Advances in Cognitive Psychology,Małgorzata_Anna_Foryś-Nogala_1
19,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1016/j.cognition.2020.104477,False friends or real friends? False cognates show advantage in word form learning,2021-01,Cognition,Małgorzata_Anna_Foryś-Nogala_2
20,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.1080/14790718.2020.1811710,"Cross-linguistic influences, language proficiency and metalinguistic knowledge in L3 Italian subject placement",2020-09-25,International Journal of Multilingualism,Małgorzata_Anna_Foryś-Nogala_3
