name,orcid,link,title,date,journal,id
Rafał Aleksandrowicz,http://orcid.org/0000-0003-4895-5415,https://doi.org/10.14632/nis.2019.69.35,Global and Polisensoric Strengthening of Primary School Students in Initial Classes,2019-11-07,Nauczyciel i Szkoła,Rafał_Aleksandrowicz_3
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1177/0084672421994199,Three decades of the Polish psychology of religion (1989–2020),2021-07-05,Archive for the Psychology of Religion,Adam_Anczyk_1
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.4467/25444972smpp.20.017.12333,Polscy migranci i norweska służba zdrowia: badanie pilotażowe,2020,Studia Migracyjne – Przegląd Polonijny,Adam_Anczyk_2
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1177/0084672420926259,Which psychology(ies) serves us best? Research perspectives on the psycho-cultural interface in the psychology of religion(s),2020-11-07,Archive for the Psychology of Religion,Adam_Anczyk_3
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1080/0048721x.2019.1681078,Psychology of religion(s) and religious studies: into the future,2020-01-02,Religion,Adam_Anczyk_4
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1080/10508619.2019.1687197,The Replication Crisis and Qualitative Research in the Psychology of Religion,2019-10-02,The International Journal for the Psychology of Religion,Adam_Anczyk_5
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.5604/01.3001.0013.2969,Wielokulturowość nowym wyzwaniem etycznym w pracy polskich psychologów szkolnych i akademickich,2019-06-30,Psychologia wychowawcza,Adam_Anczyk_6
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.5604/01.3001.0013.2968,Wielokulturowość w pracy psychologa: etyka i praktyka w kontekście diagnozy klinicznej i pracy terapeutycznej,2019-06-30,Psychologia wychowawcza,Adam_Anczyk_7
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.4467/20843860pk.18.015.9193,Konceptualizacje snu i marzeń sennych w kulturach indygenicznych : perspektywa psycho-kulturowa,2018,Przegląd kulturoznawczy,Adam_Anczyk_8
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1080/01416200.2016.1209457,Religious discrimination discourse in the mono-cultural school: the case of Poland,2018,British Journal of Religious Education,Adam_Anczyk_9
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1558/pome.33300,Women of power: The image of the witch and feminist movements in Poland,2017,Pomegranate,Adam_Anczyk_12
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.35765/rfi.2021.2702.15,Inhibition of Return (IOR): Is it Consciousness of an Object without Attention or Attention without an Object and Consciousness?,2021-12-30,Rocznik Filozoficzny Ignatianum,Jacek_Bielas_1
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1177/0033294119900348,Beta Neurofeedback Training Improves Attentional Control in the Elderly,2021-02-14,Psychological Reports,Jacek_Bielas_2
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1111/ejn.14773,Preparation of saccade sequences and eye programming affect endogenous covert attention,2020-09-22,European Journal of Neuroscience,Jacek_Bielas_3
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1177/0959354319834672,Is the premotor theory of attention essentially about pre-reflective intentionality?,2019-12-21,Theory & Psychology,Jacek_Bielas_4
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1007/s00221-019-05537-8,The gap effect reduces both manual and saccadic inhibition of return (IOR),2019-07,Experimental Brain Research,Jacek_Bielas_5
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1016/j.neulet.2017.11.035,Is saccade preparation required for inhibition of return (IOR)?,2018-02,Neuroscience Letters,Jacek_Bielas_6
Stefan Frydrychowicz,https://orcid.org/0000-0001-8318-6880,https://doi.org/10.14746/cis.2020.50.2,Komunikacja interpersonalna w interakcjach społecznych,2020-12-15,Człowiek i Społeczeństwo,Stefan_Frydrychowicz_1
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.4467/25444972smpp.20.017.12333,Polscy migranci i norweska służba zdrowia: badanie pilotażowe,2020,Studia Migracyjne – Przegląd Polonijny,Halina_Grzymała-Moszczyńska_1
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.1177/0084672420926259,Which psychology(ies) serves us best? Research perspectives on the psycho-cultural interface in the psychology of religion(s),2020-11-07,Archive for the Psychology of Religion,Halina_Grzymała-Moszczyńska_2
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.1080/0048721x.2019.1681078,Psychology of religion(s) and religious studies: into the future,2020-01-02,Religion,Halina_Grzymała-Moszczyńska_3
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.1080/10508619.2019.1687197,The Replication Crisis and Qualitative Research in the Psychology of Religion,2019-10-02,The International Journal for the Psychology of Religion,Halina_Grzymała-Moszczyńska_4
Kamil Jezierski,https://orcid.org/0000-0001-6935-4710,https://doi.org/10.4467/20843879pr.20.015.12270,"Recenzja książki: R. J. Sternberg & J. Glück (Eds.) (2019), The Cambridge handbook of wisdom. Cambridge University Press",2020,Psychologia Rozwojowa,Kamil_Jezierski_1
Kamil Jezierski,https://orcid.org/0000-0001-6935-4710,https://doi.org/10.4467/20843879pr.20.027.13435,Specyfika rozwojowa struktury pamięci dzieciństwa w biegu dorosłego życia – wyniki badań narracyjnych,2020,Psychologia Rozwojowa,Kamil_Jezierski_2
