Unnamed: 0,name,orcid,link,title,date,journal,id
0,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.neuroimage.2020.117613,Brain plasticity dynamics during tactile Braille learning in sighted subjects: Multi-contrast MRI approach,2021,NeuroImage,Łukasz_Bola_7
1,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1007/s11682-020-00346-y,Early deafness leads to re-shaping of functional connectivity beyond the auditory cortex,2021,Brain Imaging and Behavior,Łukasz_Bola_8
2,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.neuroimage.2020.117544,Functional reorganization of the reading network in the course of foreign language acquisition,2021,NeuroImage,Łukasz_Bola_9
3,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.cortex.2020.10.025,The role of the superior parietal lobule in lexical processing of sign language: Insights from fMRI and TMS,2021,Cortex,Łukasz_Bola_10
4,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1523/jneurosci.2242-20.2021,Temporal Dynamics of Brain White Matter Plasticity in Sighted Subjects during Tactile Braille Learning: A Longitudinal Diffusion Tensor Imaging Study.,2021-07,The Journal of neuroscience : the official journal of the Society for Neuroscience,Łukasz_Bola_11
5,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1002/hbm.25229,Multimodal imaging of brain reorganization in hearing late learners of sign language.,2020-10,Human brain mapping,Łukasz_Bola_12
6,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.cub.2020.05.071,"Decoding Natural Sounds in Early ""Visual"" Cortex of Congenitally Blind Individuals.",2020-06,Current biology : CB,Łukasz_Bola_13
0,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.neuroimage.2019.116084,Functional hierarchy for tactile processing in the visual cortex of sighted adults,2019-11,NeuroImage,Łukasz_Bola_1
8,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.3389/fnhum.2018.00393,Letter and Speech Sound Association in Emerging Readers With Familial Risk of Dyslexia,2018-10-02,Frontiers in Human Neuroscience,Łukasz_Bola_2
9,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.3389/fpsyg.2017.00514,Universal Visual Features Might Be Necessary for Fluent Reading. A Longitudinal Study of Visual Reading in Braille and Cyrillic Alphabets.,2017,Frontiers in Psychology,Łukasz_Bola_3
10,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1038/s41598-017-17738-8,Structural reorganization of the early visual cortex following Braille training in sighted adults.,2017-12,Scientific reports,Łukasz_Bola_4
11,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1073/pnas.1710492114,"Whether the hearing brain hears it or the deaf brain sees it, it's just the same.",2017-07,Proceedings of the National Academy of Sciences of the United States of America,Łukasz_Bola_5
12,Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1073/pnas.1609000114,Task-specific reorganization of the auditory cortex in deaf humans.,2017-01,Proceedings of the National Academy of Sciences of the United States of America,Łukasz_Bola_6
13,Anna Magdalena Chrzanowska,https://orcid.org/0000-0002-2412-4169,https://doi.org/10.1038/s41598-021-89289-y,"Response to novelty induced by change in size and complexity of familiar objects in Lister-Hooded rats, a follow-up of 2019 study",2021-12,Scientific Reports,Anna_Magdalena_Chrzanowska_1
14,Anna Magdalena Chrzanowska,https://orcid.org/0000-0002-2412-4169,https://doi.org/10.3390/ani11041068,Can the Hole–Board Test Predict a Rat’s Exploratory Behavior in a Free-Exploration Test?,2021-04,Animals,Anna_Magdalena_Chrzanowska_2
15,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.1080/09515089.2019.1647410,The problem of mind and mental acts in the perspective of psychology in the Lvov-Warsaw School,2019-09-26,Philosophical Psychology,Amadeusz_Dawid_Citlak_1
16,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.1177/0084672421990754,Psychology of religion in the theories and research of the Lvov-Warsaw School (basic achievements and developments),2019-09-25,Archive for the Psychology of Religion,Amadeusz_Dawid_Citlak_2
17,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.1037/hop0000029,Lvov-Warsaw School – the forgotten tradition of historical psychology,2019-08,History of Psychology,Amadeusz_Dawid_Citlak_3
18,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.1007/s10943-021-01241-6,The Psychology of the Pursuit for a Sense of Power and Structural Patterns of Biblical Social Relations,2019-07-15,Journal of Religion and Health,Amadeusz_Dawid_Citlak_4
19,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.18290/rpsych20232-1,Group Conflicts in Light of the Cratism Theory (Psycholinguistic Analysis),2019-07-08,Annals of Psychology / Roczniki Psychologiczne,Amadeusz_Dawid_Citlak_5
20,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.7366/1896180020163904,O empirycznym wykorzystaniu teorii kratyzmu W. Witwickiego,2019-07-05,Psychologia Społeczna,Amadeusz_Dawid_Citlak_6
21,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.19195/2300-7249.40.4.1,Psychologiczne i językowe uprzedmiotowienie obcych (stereotypizacja i dehumanizacja wrogów),2018-03,Studia nad Autorytaryzmem i Totalitaryzmem,Amadeusz_Dawid_Citlak_7
23,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.19195/2300-7249.41.4.6,Psychologiczne uwarunkowania aktów dehumanizacji,2018-01-28,Studia nad Autorytaryzmem i Totalitaryzmem,Amadeusz_Dawid_Citlak_9
24,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.31743/biban.10655,Beyond Depth Psychology – Biblical Discourse in the Light of Social Scientific Criticism,2018-01-03,The Biblical Annals,Amadeusz_Dawid_Citlak_10
25,Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.4467/20844077sr.19.018.11377,"Linguistic Image of the Jews in Early Christian Narrative as a Function of Inter Group Conflict  (Theoretical Background - 52/2, Text Analysis - 52/3)",2018-01-02,Studia Religiologica,Amadeusz_Dawid_Citlak_11
26,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.1016/j.paid.2020.110241,"BIS-dependent cognitive strategies mediate the relationship between BIS and positive, negative affect",2021,Personality and Individual Differences,Ewa_Domaradzka-Woropińska_1
27,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.1027/1614-0001/a000279,Structure of Affect in Types of Anxiety and Depression,2019,Journal of Individual Differences,Ewa_Domaradzka-Woropińska_2
28,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.24425/ppb.2019.126012,Types of anxiety and depression: toward overlapping and distinctive features in affective and attentional functioning,2019,Polish Psychological Bulletin,Ewa_Domaradzka-Woropińska_3
29,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.1016/j.psyneuen.2019.05.027,"Chronotype, social jetlag and sleep loss in relation to sex steroids",2019-05,Psychoneuroendocrinology,Ewa_Domaradzka-Woropińska_4
30,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.3389/fpsyg.2018.00856,Cognitive emotion regulation strategies in anxiety and depression understood as types of personality,2018,Frontiers in Psychology,Ewa_Domaradzka-Woropińska_5
32,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.3389/fpsyg.2017.02376,Types of anxiety and depression: Theoretical assumptions and development of the anxiety and depression questionnaire,2018,Frontiers in Psychology,Ewa_Domaradzka-Woropińska_7
33,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.1002/per.2174,Open Peer Commentary and Author's Response,2018-09,European Journal of Personality,Ewa_Domaradzka-Woropińska_8
34,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.24425/119495,Performance anxiety: the need for an integrative approach,2018-07-15,Polish Psychological Bulletin,Ewa_Domaradzka-Woropińska_9
35,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.3389/fpsyg.2017.01365,Deadly attraction - attentional bias toward preferred cigarette brand in smokers,2017,Frontiers in Psychology,Ewa_Domaradzka-Woropińska_10
36,Ewa Domaradzka-Woropińska,https://orcid.org/0000-0003-4654-9851,https://doi.org/10.1002/per.2128,Open Peer Commentary and Authors' Response,2017-09,European Journal of Personality,Ewa_Domaradzka-Woropińska_11
