Unnamed: 0,name,orcid,link,title,date,journal,id
1,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,https://doi.org/10.34697/2451-0858-pis-2020-1-004,Poczucie satysfakcji i sensu życia u matek dzieci z dystrofią mieśniową Duchenne'a- rozważania teoretyczno empiryczne.,2020,Państwo i Społeczeństwo,Maria_Borczykowska-Rzepka_2
6,Maria Borczykowska-Rzepka,https://orcid.org/0000-0002-8915-0042,https://doi.org/10.20883/pielpol.2017.52,Ocena jakości życia rodzin/opiekunów osób chorych na stwardnienie rozsiane dokonana w świetle przeprowadzonych badań,2017,Pielęgniarstwo Polskie,Maria_Borczykowska-Rzepka_7
9,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.21307/ane-2021-017,The neural substrates of diminished humor comprehension in schizophrenia and its relationship with psychopathology,2021-05,Acta Neurobiologiae Experimentalis,Artur_Daren_1
10,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.12740/pp/131533,The relationships of need for closure dimensions with psychotic-like experiences and jumping to conclusions. A study of a large cross-population sample,2021-04-30,Psychiatria Polska,Artur_Daren_2
11,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.12740/pp/onlinefirst/116579,"Sheltered employment in schizophrenia is related to disorganization symptoms, processing speed and metaphor comprehension",2020-10-31,Psychiatria Polska,Artur_Daren_3
12,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.12740/pp/onlinefirst/115554,Premorbid social relationships and the course of schizophrenia in a 20-year follow-up study,2020-06-30,Psychiatria Polska,Artur_Daren_4
13,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.comppsych.2019.152149,Humor perception in schizophrenia appears to be related to disorganization syndrome,2020-01,Comprehensive Psychiatry,Artur_Daren_5
14,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.5114/ppn.2018.81364,"Associations of insight and treatment adherence with employment status of people with schizophrenia,Wgląd i współpraca w leczeniu a zatrudnienie osób chorujących na schizofrenię",2019,Postepy Psychiatrii i Neurologii,Artur_Daren_6
15,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.schres.2019.05.008,Dynamics of impaired humour processing in schizophrenia – An EEG effective connectivity study,2019,Schizophrenia Research,Artur_Daren_7
16,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1111/eip.12829,"Mediating role of cognitive biases, resilience and depressive symptoms in the relationship between childhood trauma and psychotic-like experiences in young adults",2019,Early Intervention in Psychiatry,Artur_Daren_8
17,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.jad.2019.05.008,Resilience and cognitive biases mediate the relationship between early exposure to traumatic life events and depressive symptoms in young adults,2019,Journal of Affective Disorders,Artur_Daren_9
18,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.schres.2018.01.004,Diminished activation of the right Inferior Parietal Lobule as a neural substrate of impaired cartoon-jokes comprehension in schizophrenia outpatients,2018,Schizophrenia Research,Artur_Daren_10
20,Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.nicl.2017.06.005,Neural circuit of verbal humor comprehension in schizophrenia - an fMRI study,2017,NeuroImage: Clinical,Artur_Daren_12
21,Agnieszka Fusińska-Korpik,https://orcid.org/0000-0003-3520-1315,https://doi.org/10.12740/pt/128972,Aspekty terapeutyczne oddziału zamkniętego,2020,Psychoterapia,Agnieszka_Fusińska-Korpik_1
22,Agnieszka Fusińska-Korpik,https://orcid.org/0000-0003-3520-1315,https://doi.org/10.1007/s12144-020-00797-y,The revised Edward Zigler-Yale Personality Questionnaire for persons with intellectual disability: A new four-factor structure in confirmatory factor analysis,2020,Current Psychology,Agnieszka_Fusińska-Korpik_2
24,Dorota Jasiecka,https://orcid.org/0000-0002-8017-032X,https://doi.org/10.34938/z92d-kd44,Psychosomatic Risk from Perspective of Attachment Trauma and Body Self Disorders,2019,Sztuka Leczenia,Dorota_Jasiecka_1
25,Dorota Jasiecka,https://orcid.org/0000-0002-8017-032X,https://doi.org/10.1469/cppi24.2.405,Kształtowanie się wspólnoty polskiej społeczności - imperatyw moralny czy uświadomiona konieczność dziejowa?,2018,Czasopismo Psychologiczne,Dorota_Jasiecka_2
31,Wanda Osikowska,https://orcid.org/0000-0001-7697-4408,https://doi.org/10.14691/cppj.23.2.367,Osobowościowe i demograficzne uwarunkowania relacji pomiędzy pracą i rodziną u pracowników samorządu ,2017,Czasopismo Psychologiczne -Pychological Journal,Wanda_Osikowska_1
32,Tadeusz Marian Ostrowski,https://orcid.org/0000-0001-5961-3758,https://doi.org/10.1177/0033294120978164,"Time in the Mental Health Context: Neurotic Symptomatology, Defense Mechanisms and the Perception of Time Perspective Among Patients Diagnosed With Neurotic and Personality Disorders – A Clinical Study",2020,Psychological Reports,Tadeusz_Marian_Ostrowski_1
33,Tadeusz Marian Ostrowski,https://orcid.org/0000-0001-5961-3758,https://doi.org/10.12740/app/80756,"The intensity of anxiety, neurotic symptoms and perceived control among patients with neurotic and personality disorders",2018,Archives of Psychiatry and Psychotherapy,Tadeusz_Marian_Ostrowski_2
34,Tadeusz Marian Ostrowski,https://orcid.org/0000-0001-5961-3758,https://doi.org/10.15804/kie.2017.03.10,Dobra praktyka w zarządzaniu szkołą wyższą : system ewaluacji jakości kształcenia na przykładzie uniwersytetów brytyjskich,2017,Kultura i Edukacja,Tadeusz_Marian_Ostrowski_3
