Unnamed: 0,name,orcid,link,title,date,journal,id
0,Krystyna Elżbieta Adamska,https://orcid.org/0000-0002-3605-3919,https://doi.org/10.5114/cipp.2017.68335,Adaptation of the four forms of employee silence scale in a Polish sample,2017,Current Issues in Personality Psychology,Krystyna_Elżbieta_Adamska_1
1,Krystyna Elżbieta Adamska,https://orcid.org/0000-0002-3605-3919,https://doi.org/10.7366/1896180020174307,Skala emocjonalnego nastawienia wobec organizacji (SENO) - konstrukcja i właściwości psychometryczne narzędzia,2017,Psychologia Społeczna,Krystyna_Elżbieta_Adamska_2
2,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.1016/j.psyneuen.2021.105294,(Re-)activity in the caregiving situation: Genetic diversity within Oxytocin–Vasopressin Pathway is associated with salivary oxytocin and vasopressin concentrations in response to contact with a crying infant-simulator,2021-09,Psychoneuroendocrinology,Paulina_Anikiej_-_Wiczenbach_1
3,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.3390/ijerph18094815,Empathy and Hormonal Changes as Predictors of Sensitive Responsiveness towards Infant Crying: A Study Protocol,2021-04-30,International Journal of Environmental Research and Public Health,Paulina_Anikiej_-_Wiczenbach_2
6,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.3390/ijerph17218050,Do physical activity and personality matter for hair cortisol concentration and self-reported stress in pregnancy? A pilot cross-sectional study,2020,International Journal of Environmental Research and Public Health,Paulina_Anikiej_-_Wiczenbach_5
8,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.1002/mgg3.1356,Untypically mild phenotype of a patient suffering from Sanfilippo syndrome B with the c.638C>T/c.889C>T (p.Pro213Leu/p.Arg297Ter) mutations in the NAGLU gene,2020-09,Molecular Genetics & Genomic Medicine,Paulina_Anikiej_-_Wiczenbach_7
9,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.1080/03004430.2020.1753719,Parental negative emotionality and emotional reactions to child’s crying: the mediating role of child’s temperament,2020-05-13,Early Child Development and Care,Paulina_Anikiej_-_Wiczenbach_8
12,Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.5604/01.3001.0011.8321,Cognitive functioning and autonomy of patients with Duchenne muscular dystrophy,2018,Acta Neuropsychologica,Paulina_Anikiej_-_Wiczenbach_11
15,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s12144-021-01554-5,A solution for factorial validity testing of three-item scales: an example of tau-equivalent strict measurement invariance of three-item loneliness scale,2021,Current Psychology,Paweł_Andrzej_Atroszko_1
16,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1016/j.paid.2021.111299,Attitudes to AI among high school students: understanding distrust towards humans will not help us understand distrust towards AI,2021,Personality and Individual Differences,Paweł_Andrzej_Atroszko_2
17,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s10943-021-01350-2,Is there a general factor of spiritual intelligence? Factorial validity of the Polish adaptation of Spiritual Intelligence Self-Report Inventory,2021,Journal of Religion and Health,Paweł_Andrzej_Atroszko_3
18,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s12144-021-01712-9,Measurement of shopping addiction and its relationship with personality traits and well-being among Polish undergraduate students,2021,Current Psychology,Paweł_Andrzej_Atroszko_4
19,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1016/j.addbeh.2021.106941,"Profiles of potential behavioral addictions' severity and their associations with gender, personality, and well-being: A person-centered approach",2021,Addictive Behaviors,Paweł_Andrzej_Atroszko_5
20,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s11469-019-00193-z,Shopping addiction is driven by personal focus rather than social focus values but to the exclusion of achievement and self-direction,2021,International Journal of Mental Health and Addiction,Paweł_Andrzej_Atroszko_6
21,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.3390/ijerph18168590,"Subpopulations of addictive behaviors in different sample types and their relationships with gender, personality, and well-being: latent profile vs. latent class analysis",2021,International Journal of Environmental Research and Public Health,Paweł_Andrzej_Atroszko_7
22,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.5114/hpr.2020.98734,The majority of professionally active women diagnosed with eating disorders may be at risk of work addiction: an overlooked comorbidity,2021,Health Psychology Report,Paweł_Andrzej_Atroszko_8
23,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.5114/cipp.2021.107070,"The role of metacognition, type of feedback, and kind of incentives for motivation to learn",2021,Current Issues in Personality Psychology,Paweł_Andrzej_Atroszko_9
24,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s11469-021-00707-8,Work Addiction and Work Engagement: a Network Approach to Cross-Cultural Data,2021-12-03,International Journal of Mental Health and Addiction,Paweł_Andrzej_Atroszko_10
25,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.2478/cpp-2020-0017,"Integrating national and international research, and exploring country-specific factors contributing to work addiction; Commentary to ""Workaholism - psychological and social determinants of work addiction"" ",2020,Current Problems of Psychiatry,Paweł_Andrzej_Atroszko_11
26,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s12144-020-00625-3,Is it meaningful to distinguish between Facebook addiction and social networking sites addiction? Psychometric analysis of Facebook addiction and social networking sites addiction scales,2020,Current Psychology,Paweł_Andrzej_Atroszko_12
27,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.26881/ae.2020.17.01,"Presja edukacyjna a rozwój uzależnienia od uczenia się, uzależnienia od pracy oraz innych zaburzeń psychicznych",2020,Ars Educandi,Paweł_Andrzej_Atroszko_13
28,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.5114/cipp.2020.95149,"Scores of short and free scale for Big Five explain perceived stress at different stages of life: validity, reliability and measurement invariance of the Polish adaptation of Mini-IPIP ",2020,Current Issues in Personality Psychology,Paweł_Andrzej_Atroszko_14
29,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1177/1029864918822138,"Study addiction among musicians: measurement, and relationship with personality, social anxiety, performance, and psychosocial functioning ",2020,Musicae Scientiae,Paweł_Andrzej_Atroszko_15
30,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.24818/ea/2020/s14/1265,The costs of work-addicted managers in organizations: towards integrating clinical and organizational frameworks,2020,Amfiteatru Economic,Paweł_Andrzej_Atroszko_16
31,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.17951/lrp.2020.39.2.223-242,Umiejętności leksykalno-semantyczne uczniów klas czwartych wykorzystywane w komunikacji za pomocą pisma,2020,Lubelski Rocznik Pedagogiczny,Paweł_Andrzej_Atroszko_17
32,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.5114/hpr.2020.95746,Validity and reliability of the Polish adaptation of the Health-Related Hardiness Scale - the first confirmatory factor analysis results for a commonly used scale,2020,Health Psychology Report,Paweł_Andrzej_Atroszko_18
33,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.5114/hpr.2019.91428,Validity and reliability of the Polish version of the short hopelessness scale,2020,Health Psychology Report,Paweł_Andrzej_Atroszko_19
34,Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.3390/ijerph17020660,"Work addiction, obsessive-compulsive personality disorder, burn-out, and global burden of disease: implications from the ICD-11",2020,International Journal of Environmental Research and Public Health,Paweł_Andrzej_Atroszko_20
