Unnamed: 0,name,orcid,link,title,date,journal,id
0,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.34766/fetr.v47i3.847,Embodied narratives: communication value of tattoos,2021,Fides et Ratio,Karolina_Zofia_Czernecka_1
1,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.1007/s12144-021-01769-6,Is the impact of high reward sensitivity and poor cognitive control on adolescent risk-taking more visible in rewarding conditions?,2021-05-03,Current Psychology,Karolina_Zofia_Czernecka_2
2,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.24425/ppb.2019.126016,Behave yourself! NAS-50 as a reliable tool for assessment of adolescent self-control,2019,Polish Psychological Bulletin,Karolina_Zofia_Czernecka_3
3,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.24425/124344,Art training and personality traits as predictors of aesthetic experience of different art styles,2018,Polish Psychological Bulletin,Karolina_Zofia_Czernecka_4
5,Karolina Zofia Czernecka,https://orcid.org/0000-0002-2971-9591,https://doi.org/10.5114/cipp.2018.72268,Many face(t)s of young people's risk-taking: individual and situational determinants,2017,Current Issues in Personality Psychology,Karolina_Zofia_Czernecka_6
8,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.34766/fetr.v48i4.921,Meaning in life and its significance in emerging adulthood - literature review and preliminary study results,2021-12-30,Quarterly Journal Fides et Ratio,Natalia_Czyżowska_1
9,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.3390/ijerph18062890,Posttraumatic Growth and Spirituality in Mothers of Children with Pediatric Cancer,2021-12-03,International Journal of Environmental Research and Public Health,Natalia_Czyżowska_2
10,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.3390/ijerph18189714,Does Reflection on Everyday Events Enhance Meaning in Life and Well-Being among Emerging Adults? Self-Efficacy as Mediator between Meaning in Life and Well-Being,2021-09-15,International Journal of Environmental Research and Public Health,Natalia_Czyżowska_3
12,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.1080/13617672.2020.1746878,Young adults in relationships and singles: religiosity and the structure of values,2020-10-01,Journal of Beliefs & Values,Natalia_Czyżowska_5
13,Natalia Czyżowska,https://orcid.org/0000-0003-2597-5608,https://doi.org/10.5114/hpr.2020.93768,Intimate relationship and its significance for eudaimonic well-being in young adults ,2020-03-17,Health Psychology Report,Natalia_Czyżowska_6
