Unnamed: 0,name,orcid,link,title,date,journal,id
0,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.3390/ijerph18116003,Psychometric Properties of the Polish Version of the Parental Feelings Inventory,2021-06-03,International Journal of Environmental Research and Public Health,Eleonora_Maria_Bielawska-Batorowicz_1
1,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.1080/02646838.2019.1665172,A longitudinal study of parental attachment: pre- and postnatal study with couples,2020-10-19,Journal of Reproductive and Infant Psychology,Eleonora_Maria_Bielawska-Batorowicz_2
2,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.3390/ijerph17082675,The Effect of Maternal Depression on Infant Attachment: A Systematic Review,2020-04-14,International Journal of Environmental Research and Public Health,Eleonora_Maria_Bielawska-Batorowicz_3
3,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.1080/02646838.2018.1543943,Negative cognitive styles as risk factors for the occurrence of PMS and PMDD,2019-05-27,Journal of Reproductive and Infant Psychology,Eleonora_Maria_Bielawska-Batorowicz_4
4,Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.5114/hpr.2017.62522,Quality of the relationship and menopausal symptoms of menopausal women,2017,Health Psychology Report,Eleonora_Maria_Bielawska-Batorowicz_5
5,Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/jcm10245892,Initial Study on COMT and DRD2 Gene Polymorphisms as Well as the Influence of Temperament and Character Trait on the Severity of Alcohol Craving in Alcohol-Dependent Patients,2021-12,Journal of Clinical Medicine,Jan_Chodkiewicz_1
6,Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/ijerph18073423,Mental Health during the Second Wave of the COVID-19 Pandemic—Polish Studies,2021-03,International Journal of Environmental Research and Public Health,Jan_Chodkiewicz_2
7,Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/ijerph17197015,Mental Health and the SARS-COV-2 Epidemic—Polish Research Study,2020-09,International Journal of Environmental Research and Public Health,Jan_Chodkiewicz_3
8,Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/ijerph17134677,Alcohol Consumption Reported during the COVID-19 Pandemic: The Initial Stage,2020-06,International Journal of Environmental Research and Public Health,Jan_Chodkiewicz_4
9,Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,https://doi.org/10.3390/ijerph18168517,"Associations of Maternal-Infant Bonding with Maternal Mental Health, Infant’s Characteristics and Socio-Demographical Variables in the Early Postpartum Period: A Cross-Sectional Study",2021-08-12,International Journal of Environmental Research and Public Health,Mariusz_Cieślak_1
10,Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,https://doi.org/10.3390/ijerph18115542,Mental Health and the Symptoms of PTSD in People with Depression and Anxiety Disorders during the COVID-19 Pandemic,2021-05-22,International Journal of Environmental Research and Public Health,Mariusz_Cieślak_2
32,Karolina Aleksandra Jarecka,https://orcid.org/0000-0002-6577-4360,https://doi.org/10.3390/ijerph17082675,The Effect of Maternal Depression on Infant Attachment: A Systematic Review,2020-04,International Journal of Environmental Research and Public Health,Karolina_Aleksandra_Jarecka_2
35,Adrianna Kaczuba,https://orcid.org/0000-0002-8605-7889,https://doi.org/10.5604/01.3001.0014.9043,Razem czy osobno? Emigracja zarobkowa a wczesne nieadaptacyjne schematy młodych dorosłych,2021,PSYCHOLOGIA WYCHOWAWCZA,Adrianna_Kaczuba_1
37,Adrianna Kaczuba,https://orcid.org/0000-0002-8605-7889,https://doi.org/10.5604/01.3001.0014.2659,Miłość na szkolnym korytarzu – charakterystyka romantycznych związków adolescentów z perspektywy nauczycieli i uczniów,2020-06-30,Psychologia Wychowawcza,Adrianna_Kaczuba_3
39,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.4467/20843879pr.20.018.13155,Empathy as a Mediator Between Parental Attitudes and Adolescents’ Aggressive Behaviour,2020,Psychologia Rozwojowa,Magdalena_Ewa_Kobylarczyk-Kaczmarek_1
40,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.5114/ppn.2020.96699,Positive effects of trauma among people living with human immunodeficiency virus – the role of rumination and coping strategies,2020,Postępy Psychiatrii i Neurologii,Magdalena_Ewa_Kobylarczyk-Kaczmarek_2
41,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.12775/pbe.2020.007,"Stress and Coping Strategies Among Participants of Stress Management Interventions at the Science, Technology and Art Festival",2020-06-30,Przegląd Badań Edukacyjnych,Magdalena_Ewa_Kobylarczyk-Kaczmarek_3
42,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.1080/07347332.2019.1600628,The role of rumination in posttraumatic growth in people struggling with cancer,2019-05-14,,Magdalena_Ewa_Kobylarczyk-Kaczmarek_4
44,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.5114/cipp.2017.68341,Assessing resiliency and personal growth in a  group of adolescents experiencing negative life events: The mediating role of  emotional intelligence. ,2017,Current Issues in Personality Psychology,Magdalena_Ewa_Kobylarczyk-Kaczmarek_6
45,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.7366/1896180020174106,Rola zasobów osobistych i społecznych w  kształtowaniu poczucia jakości życia u nastolatków – wychowanków domów dziecka. ,2017,Psychologia społeczna,Magdalena_Ewa_Kobylarczyk-Kaczmarek_7
46,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.1177/0030222817724699,The Experience of Trauma Resulting From the  Loss of a Child and Posttraumatic Growth—The Mediating Role of Coping Strategies ,2017,Journal of Omega Death and Dying,Magdalena_Ewa_Kobylarczyk-Kaczmarek_8
47,Magdalena Ewa Kobylarczyk-Kaczmarek,https://orcid.org/0000-0002-7069-316X,https://doi.org/10.1080/15325024.2016.1159115,The Mediating Role of Resiliency in the Relationship Between Temperament and Posttraumatic Growth,2017,Journal of Loss and Trauma,Magdalena_Ewa_Kobylarczyk-Kaczmarek_9
48,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.1007/s12144-020-01004-8,“Psychometric properties and factor structure of the attitudes to fertility and childbearing scale (AFCS) in a sample of polish women”,2021-07-01,Current Psychology,Karolina_Kossakowska_1
49,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.1007/s10389-020-01301-3,Health behavior among Polish institutionalized older adults: the effect of resiliency mediated by satisfaction with life,2021-06-05,Journal of Public Health,Karolina_Kossakowska_2
52,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.3390/ijerph17082675,The Effect of Maternal Depression on Infant Attachment: A Systematic Review,2020,International Journal of Environmental Research and Public Health,Karolina_Kossakowska_5
53,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.21164/pomjlifesci.538,"Aktywność fizyczna ciężarnych widziana oczami studentów fizjoterapii. Rola wiedzy, przekonań i doświadczeń własnych przyszłych fizjoterapeutów = Physical activity of pregnant women in the eyes of physiotherapy students. The role of knowledge, beliefs and personal experiences among future physiotherapists",2019,Pomeranian Journal of Life Sciences,Karolina_Kossakowska_6
54,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.4415/ann_19_02_02,An international study of middle school students’ preferences about digital interactive education activities for promoting psychological well-being and mental health,2019,ANNALI DELL ISTITUTO SUPERIORE DI SANITA,Karolina_Kossakowska_7
59,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.5114/fmpcr.2018.76455,Factors of subjective assessment of the effectiveness of physiotherapy: a study on patients with degenerative disease of the spine,2018,Family Medicine &amp; Primary Care Review,Karolina_Kossakowska_12
61,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.5114/polp.2018.76246,Objawy depresji poporodowej a poczucie skuteczności w karmieniu piersią,2018,Pediatria Polska - Polish Journal of Paediatrics,Karolina_Kossakowska_14
65,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.18778/1427-969x.22.05,Stres a objawy depresji i sposoby radzenia sobie u kobiet z niepłodnością i kobiet w ciąży wysokiego ryzyka,2018,Acta Universitatis Lodzensis Folia  Psychologica,Karolina_Kossakowska_18
67,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.12775/pbe.2018.021,The Subjective Mental Well-Being of School-Age Children – Educational and Prophylactic Challenges,2018-11-29,Przegląd Badań Edukacyjnych,Karolina_Kossakowska_20
69,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.18778/1427-969x.21.06,Charakterystyka i ocena właściwości psychometrycznych polskiej adaptacji Skali Poczucia Kompetencji Rodzicielskich (Parenting Sense of Competence Scale - PSOC-PL) w wersji dla matek,2017,Acta Universitatis Lodzensis Folia  Psychologica,Karolina_Kossakowska_22
72,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,https://doi.org/10.18778/1427-969x.21.02,Polki wobec płodności i posiadania dzieci - doniesienie wstępne,2017,Acta Universitatis Lodzensis Folia  Psychologica,Karolina_Kossakowska_25
75,Marta Justyna Kucharska-Hauk,https://orcid.org/0000-0002-5004-7275,https://doi.org/10.5114/hpr.2020.97295,"Selected predictors of maternal-fetal attachment in pregnancies with congenital disorders, other complications, and in healthy pregnancies",2020,Health Psychology Report,Marta_Justyna_Kucharska-Hauk_1
76,Marta Justyna Kucharska-Hauk,https://orcid.org/0000-0002-5004-7275,https://doi.org/10.5604/01.3001.0014.2641,"Właściwości indywidualne matki a więź z dzieckiem w ciążach zdrowych, z wadami wrodzonymi i innymi zagrożeniami",2020,PSYCHOLOGIA WYCHOWAWCZA,Marta_Justyna_Kucharska-Hauk_2
77,Marta Justyna Kucharska-Hauk,https://orcid.org/0000-0002-5004-7275,https://doi.org/10.4467/25439561.np.19.038.12281,Doświadczanie ciąży z wadą wrodzoną a więź matki z dzieckiem prenatalnym,2019,Niepełnosprawność. Dyskursy pedagogiki specjalnej,Marta_Justyna_Kucharska-Hauk_3
78,Marta Justyna Kucharska-Hauk,https://orcid.org/0000-0002-5004-7275,https://doi.org/10.14656/pfp20180109,Zależność i wsparcie od partnera a więź matki z dzieckiem w okresie prenatalnym,2018,Polskie Forum Psychologiczne,Marta_Justyna_Kucharska-Hauk_4
79,Agnieszka Marta Lipińska-Grobelny,https://orcid.org/0000-0003-2770-1723,https://doi.org/10.34766/fetr.v48i4.949,Self-esteem and perfectionism versus procrastination,2021-12-30,Kwartalnik Naukowy Fides et Ratio,Agnieszka_Marta_Lipińska-Grobelny_1
80,Agnieszka Marta Lipińska-Grobelny,https://orcid.org/0000-0003-2770-1723,https://doi.org/10.13075/ijomeh.1896.01623,Organizational climate and counterproductive work behaviors – the moderating role of gender,2021-08-05,International Journal of Occupational Medicine and Environmental Health,Agnieszka_Marta_Lipińska-Grobelny_2
81,Agnieszka Marta Lipińska-Grobelny,https://orcid.org/0000-0003-2770-1723,https://doi.org/10.15219/em90.1517,Self-efficacy and psychological well-being of teachers,2021-07,e-mentor,Agnieszka_Marta_Lipińska-Grobelny_3
84,Agnieszka Marta Lipińska-Grobelny,https://orcid.org/0000-0003-2770-1723,https://doi.org/10.14691/cppj.24.3.499,Atrakcyjność miejsca pracy a zadowolenie z pracy,2018,Czasopismo Psychologiczne Psychological Journal (CPPJ),Agnieszka_Marta_Lipińska-Grobelny_6
88,Agnieszka Marta Lipińska-Grobelny,https://orcid.org/0000-0003-2770-1723,https://doi.org/10.14656%2Fpfp20180406,Psychologiczny kontekst wielopracy - analiza różnic płciowych. ,2018,Polskie Forum Psychologiczne,Agnieszka_Marta_Lipińska-Grobelny_10
89,Agnieszka Marta Lipińska-Grobelny,https://orcid.org/0000-0003-2770-1723,https://doi.org/10.14691/cppj.24.1.47,Wpływ czasu pracy i jego kontroli na relacje między życiem osobistym i zawodowym.,2018,Czasopismo Psychologiczne Psychological Journal (CPPJ),Agnieszka_Marta_Lipińska-Grobelny_11
99,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.5114/hpr.2020.97914,Predictors of illness acceptance in women with endometriosis,2021,Health Psychology Report,Dorota_Małgorzata_Merecz-Kot_1
100,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.13075/mp.5893.01088,Aggravating factors in teachers' work and fatigue,2021-06-17,Medycyna Pracy,Dorota_Małgorzata_Merecz-Kot_2
101,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.1109/access.2020.3035540,Stress Reduction Using Bilateral Stimulation in Virtual Reality,2020,IEEE Access,Dorota_Małgorzata_Merecz-Kot_3
102,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.12740/pp/113555,"Shame, guilt, time perspective, time of imprisonment and PTSD symptoms in sentenced motor vehicle accidents perpetrators – a preliminary report",2020-12-31,Psychiatria Polska,Dorota_Małgorzata_Merecz-Kot_4
103,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.13075/ijomeh.1896.01494,Work-related Internet use as a threat to work-life balance – a comparison between the emerging on-line professions and traditional office work,2020-01-17,International Journal of Occupational Medicine and Environmental Health,Dorota_Małgorzata_Merecz-Kot_5
104,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.4187/respcare.05692,Maternal Stress During Pregnancy and Allergic Diseases in Children During the First Year of Life,2018,Respiratory care,Dorota_Małgorzata_Merecz-Kot_6
105,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.13075/mp.5893.00737,Endometriosis – The challenge for occupational life of diagnosed women: A review of quantitative studies,2018-11-02,Medycyna Pracy,Dorota_Małgorzata_Merecz-Kot_7
106,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.13075/mp.5893.00648,Late effects of mass acute phosphine poisoning – Case report,2018-05-22,Medycyna Pracy,Dorota_Małgorzata_Merecz-Kot_8
107,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.1111/jpc.13422,Maternal stress during pregnancy and neurodevelopmental outcomes of children during the first 2 years of life,2017,Journal of Paediatrics and Child Health,Dorota_Małgorzata_Merecz-Kot_9
108,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.3390/ijerph14070796,Environmental Tobacco Smoke Exposure during Pregnancy and Child Neurodevelopment,2017-07,International Journal of Environmental Research and Public Health,Dorota_Małgorzata_Merecz-Kot_10
109,Dorota Małgorzata Merecz-Kot,https://orcid.org/0000-0002-8294-4309,https://doi.org/10.18778/0208-600x.61.01,The comparison of Polish and Norwegian policy and research on work-life balance – current state of knowledge and future perspectives. Narrative review,2017-06-30,Acta Universitatis Lodziensis. Folia Sociologica,Dorota_Małgorzata_Merecz-Kot_11
