name,orcid,link,date
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/138995,2021-09-03
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1080/17522439.2021.1945664,2021-07-05
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/115554,2020-06-30
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1093/schbul/sbaa030.377,2020-05-18
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1111/eip.12829,2019-05
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.jad.2019.05.008,2019-05
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/91915,2019-02
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.psychres.2019.01.044,2019-01
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/79835,2018-10
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1080/07420528.2018.1463236,2018-05
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.jad.2018.02.017,2018-02
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,Profiles of empathic sensitivity in students of the last year of medicine.,2018-01
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,"Attitudes of croatian and polish elementary school teachers towards inclusive education of children with disabilities,Stavovi hrvatskih i poljskih učitelja primarnog obrazovanja prema inkluzivnom obrazovanju djece s teškoćAMA",2017
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.24869/psyd.2017.322,2017-09
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,Warning behaviours and risk factors preceding acts of individual terrorism,2019
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,https://doi.org/10.5604/01.3001.0014.1249,2019
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,"Formulation in forensic psychiatry: Problems, challenges and the usefulness of psycho-criminological concepts,Konceptualizacja przypadku w psychiatrii sądowej – Problemy, wyzwania, użyteczność koncepcji psychokryminologicznych",2018
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,https://doi.org/10.12740/pp/73973,2017
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,"Protective factors: Theoretical assumptions, measurement tools and diagnostic efficacy of the construct in risk assessment of violence in youth,Czynniki ochronne - Założenia teoretyczne, narzȩdzia pomiarowe i użyteczność diagnostyczna konstruktu w ocenie ryzyka przemocy u młodzieży",2017
Róża Alicja Banaśkiewicz-Bazińska,https://orcid.org/0000-0001-8354-5521,https://doi.org/10.3389/fpsyg.2020.506085,2021
Róża Alicja Banaśkiewicz-Bazińska,https://orcid.org/0000-0001-8354-5521,https://doi.org/10.1016/j.paid.2020.110060,2020
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1080/08870446.2020.1784419,2021
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1111/aphw.12225,2021
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1093/abm/kaab004,2021-11-18
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1016/j.socscimed.2021.114336,2021-10
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1016/j.bbi.2020.04.013,2020
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,DOES A FORMATION OF PHYSICAL ACTIVITY PLANS DECREASE THE TIME SPENT ON SEDENTARY BEHAVIOR? PRELIMINARY FINDINGS,2020
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,"MY PLANS HELP YOU PLAN YOUR PHYSICAL ACTIVITY: ASSOCIATION BETWEEN INDIVIDUAL, DYADIC AND COLLABORATIVE PLANS IN ADULT DYADS",2020
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.3389/fpsyg.2020.00161,2020
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,POSITIVE AND NEGATIVE SOCIAL CONTROL AND PHYSICAL ACTIVITY IN PATIENT-PARTNER DYADS,2020
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,RECIPROCAL ASSOCIATIONS BETWEEN PHYSICAL ACTIVITY AND DEPRESSION. LONGITUDINAL RESEARCH IN PATIENT-PARTNER DYADS,2020
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,RECIPROCAL RELATIONSHIPS BETWEEN SELF-EFFICACY AND SOCIAL SUPPORT EXPLAIN PHYSICAL ACTIVITY IN ADULTS - A LONGITUDINAL STUDY,2020
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.3390/nu12072149,2020-07
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1186/s12889-019-6715-3,2019-12
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1037/rep0000281,2019-05-30
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1037/rep0000199,2018
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1007/s12160-016-9821-9,2017
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1080/17437199.2017.1327325,2017
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1186/s12955-017-0645-5,2017
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.5114/cipp.2015.52085,unrecovered
Wiesław Jerzy Baryła,http://orcid.org/0000-0001-9929-1992,https://doi.org/10.1111/desc.13038,2021-03
Wiesław Jerzy Baryła,http://orcid.org/0000-0001-9929-1992,https://doi.org/10.1111/spc3.12572,2020-12-24
Wiesław Jerzy Baryła,http://orcid.org/0000-0001-9929-1992,https://doi.org/10.1016/j.paid.2019.02.025,2019-07
Wiesław Jerzy Baryła,http://orcid.org/0000-0001-9929-1992,https://doi.org/10.1016/j.jesp.2018.06.007,2018-11
Dorota Balbina Bednarek,https://orcid.org/0000-0003-4777-2588,https://doi.org/10.36145/doc2020.19,2020
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.3389/fpsyg.2021.553964,2021
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.31648/pp.7838,2021-12-21
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.3389/fpsyg.2020.01241,2020
