name,orcid,link,date,is_a_link,id,automatic_pdf_download
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/138995,2021-09-03,1,Aleksandra_Izabela_Arciszewska-Leszczuk_1,0
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1080/17522439.2021.1945664,2021-07-05,1,Aleksandra_Izabela_Arciszewska-Leszczuk_2,1
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/115554,2020-06-30,1,Aleksandra_Izabela_Arciszewska-Leszczuk_3,0
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1093/schbul/sbaa030.377,2020-05-18,1,Aleksandra_Izabela_Arciszewska-Leszczuk_4,1
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1111/eip.12829,2019-05,1,Aleksandra_Izabela_Arciszewska-Leszczuk_5,1
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.jad.2019.05.008,2019-05,1,Aleksandra_Izabela_Arciszewska-Leszczuk_6,1
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/91915,2019-02,1,Aleksandra_Izabela_Arciszewska-Leszczuk_7,0
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.psychres.2019.01.044,2019-01,1,Aleksandra_Izabela_Arciszewska-Leszczuk_8,1
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/79835,2018-10,1,Aleksandra_Izabela_Arciszewska-Leszczuk_9,0
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1080/07420528.2018.1463236,2018-05,1,Aleksandra_Izabela_Arciszewska-Leszczuk_10,1
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.jad.2018.02.017,2018-02,1,Aleksandra_Izabela_Arciszewska-Leszczuk_11,1
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.24869/psyd.2017.322,2017-09,1,Aleksandra_Izabela_Arciszewska-Leszczuk_14,0
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,https://doi.org/10.5604/01.3001.0014.1249,2019,1,Marlena_Banasik_2,0
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,https://doi.org/10.12740/pp/73973,2017,1,Marlena_Banasik_4,0
Róża Alicja Banaśkiewicz-Bazińska,https://orcid.org/0000-0001-8354-5521,https://doi.org/10.3389/fpsyg.2020.506085,2021,1,Róża_Alicja_Banaśkiewicz-Bazińska_1,0
Róża Alicja Banaśkiewicz-Bazińska,https://orcid.org/0000-0001-8354-5521,https://doi.org/10.1016/j.paid.2020.110060,2020,1,Róża_Alicja_Banaśkiewicz-Bazińska_2,1
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1080/08870446.2020.1784419,2021,1,Anna_Aleksandra_Banik_1,1
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1111/aphw.12225,2021,1,Anna_Aleksandra_Banik_2,1
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1093/abm/kaab004,2021-11-18,1,Anna_Aleksandra_Banik_3,1
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1016/j.socscimed.2021.114336,2021-10,1,Anna_Aleksandra_Banik_4,0
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1016/j.bbi.2020.04.013,2020,1,Anna_Aleksandra_Banik_5,1
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.3389/fpsyg.2020.00161,2020,1,Anna_Aleksandra_Banik_8,1
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.3390/nu12072149,2020-07,1,Anna_Aleksandra_Banik_12,1
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1186/s12889-019-6715-3,2019-12,1,Anna_Aleksandra_Banik_13,1
