name,orcid,link,date,is_a_link,id
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,Profiles of empathic sensitivity in students of the last year of medicine.,2018-01,0,Aleksandra_Izabela_Arciszewska-Leszczuk_12
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,"Attitudes of croatian and polish elementary school teachers towards inclusive education of children with disabilities,Stavovi hrvatskih i poljskih učitelja primarnog obrazovanja prema inkluzivnom obrazovanju djece s teškoćAMA",2017,0,Aleksandra_Izabela_Arciszewska-Leszczuk_13
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,Warning behaviours and risk factors preceding acts of individual terrorism,2019,0,Marlena_Banasik_1
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,"Formulation in forensic psychiatry: Problems, challenges and the usefulness of psycho-criminological concepts,Konceptualizacja przypadku w psychiatrii sądowej – Problemy, wyzwania, użyteczność koncepcji psychokryminologicznych",2018,0,Marlena_Banasik_3
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,"Protective factors: Theoretical assumptions, measurement tools and diagnostic efficacy of the construct in risk assessment of violence in youth,Czynniki ochronne - Założenia teoretyczne, narzȩdzia pomiarowe i użyteczność diagnostyczna konstruktu w ocenie ryzyka przemocy u młodzieży",2017,0,Marlena_Banasik_5
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,DOES A FORMATION OF PHYSICAL ACTIVITY PLANS DECREASE THE TIME SPENT ON SEDENTARY BEHAVIOR? PRELIMINARY FINDINGS,2020,0,Anna_Aleksandra_Banik_6
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,"MY PLANS HELP YOU PLAN YOUR PHYSICAL ACTIVITY: ASSOCIATION BETWEEN INDIVIDUAL, DYADIC AND COLLABORATIVE PLANS IN ADULT DYADS",2020,0,Anna_Aleksandra_Banik_7
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,POSITIVE AND NEGATIVE SOCIAL CONTROL AND PHYSICAL ACTIVITY IN PATIENT-PARTNER DYADS,2020,0,Anna_Aleksandra_Banik_9
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,RECIPROCAL ASSOCIATIONS BETWEEN PHYSICAL ACTIVITY AND DEPRESSION. LONGITUDINAL RESEARCH IN PATIENT-PARTNER DYADS,2020,0,Anna_Aleksandra_Banik_10
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,RECIPROCAL RELATIONSHIPS BETWEEN SELF-EFFICACY AND SOCIAL SUPPORT EXPLAIN PHYSICAL ACTIVITY IN ADULTS - A LONGITUDINAL STUDY,2020,0,Anna_Aleksandra_Banik_11
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,RELATIONSHIP OF EMOTIONAL DISTRESS AND PHYSICAL CONCERNS WITH FATIGUE SEVERITY IN SARCOIDOSIS,2018,0,Maksymilian_Adam_Bielecki_13
Elwira Brygoła,https://orcid.org/0000-0002-6326-7760,Personality traits and subjective well-being with regard to problem of infertility: The mediating role of implicit self-theories and life-engagement,2018-04-07,0,Elwira_Brygoła_2
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Lenticular nucleus volume predicts performance in real-time strategy game: cross-sectional and training approach using voxel-based morphometry,2020,0,Aneta_Brzezicka_8
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Three times NO: no relationship between frontal alpha asymmetry and depressive disorders in a multiverse analysis of three studies.,2020,0,Aneta_Brzezicka_9
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Wpływ marihuany na aktywnósć elektryczną mózgu,2020,0,Aneta_Brzezicka_11
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Wpływ mikrobiomu jelitowego na mózg i psychikę,2020,0,Aneta_Brzezicka_12
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Osobowość i pracoholizm,2021,0,Jacek_Marcin_Buczny_2
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,"Samokontrola, uzależnienie od jedzenia i nadwaga",2021,0,Jacek_Marcin_Buczny_3
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Wykluczenie społeczne i hazard: Mechanizmy psychologiczne,2020-02,0,Jacek_Marcin_Buczny_6
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Kwestionariusz Uzależnienia od Pracy (WCS): analiza trafności i rzetelności,2019,0,Jacek_Marcin_Buczny_7
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,The Work Craving Scale (WCS): A Validity and Reliability Analysis,2019,0,Jacek_Marcin_Buczny_8
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Work Craving Scale (WCS): Validity and Reliability Analysis,2019,0,Jacek_Marcin_Buczny_9
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Zwiększanie samokontroli w terapii uzależnienia od hazardu,2019,0,Jacek_Marcin_Buczny_10
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,Dbałość o pracownika jako istotny element społecznej odpowiedzialności biznesu. Wybrane obszary działania,2018,0,Agata_Chudzicka-Czupała_11
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,"Kto bywa cyniczny w pracy? Zaangażowanie w pracę, przywiązanie do organizacji i etyka pracy a cynizm organizacyjny",2017,0,Agata_Chudzicka-Czupała_18
Maria Cyniak-Cieciura,https://orcid.org/0000-0002-6293-8729,Five-Factor Personality (FFP) traits and PTSD symptoms: results of prospective and cross-sectional studies,2018,0,Maria_Cyniak-Cieciura_2
Karolina Dukała,https://orcid.org/0000-0001-9564-3102,Lie detection - of what?,unrecovered,0,Karolina_Dukała_5
Maciej Andrzej Dymkowski,https://orcid.org/0000-0001-9611-3891,O źródłach Holokaustu w świetle badań nad destrukcyjnym posłuszeństwem,2017,0,Maciej_Andrzej_Dymkowski_3
Andrzej Falkowski,https://orcid.org/0000-0001-5919-1110,Meaningful Versus Meaningless Sounds and Words: A False Memories Perspective,2021-04-12,0,Andrzej_Falkowski_4
Andrzej Falkowski,https://orcid.org/0000-0001-5919-1110,Kształtowanie wizerunku komunikacji miejskiej. Znaczenie poznawczych teorii podobieństwa w budowaniu wartości marki ,2017,0,Andrzej_Falkowski_12
Andrzej Falkowski,https://orcid.org/0000-0001-5919-1110,Siła cech negatywnych w kształtowaniu się podobieństwa: implikacje dla budowania wizerunku marki miasta,2017,0,Andrzej_Falkowski_13
Małgorzata Gamian-Wilk,https://orcid.org/0000-0002-6095-5269,Różnice pomiędzy oceną zachowania dziecka wychowującego się w placówce opiekuńczo-wychowawczej jako instytucji pieczy zastępczej a dziecka wychowywanego w rodzinie. ,2018,0,Małgorzata_Gamian-Wilk_9
Małgorzata Gamian-Wilk,https://orcid.org/0000-0002-6095-5269,Bullying as a social influence arena: Review of social influence tactics occurring in bullying process.,2017,0,Małgorzata_Gamian-Wilk_12
Małgorzata Gamian-Wilk,https://orcid.org/0000-0002-6095-5269,Kształtowanie się uległości we wczesnym dzieciństwie: rola bezpiecznego stylu przywiązania,2017,0,Małgorzata_Gamian-Wilk_14
Małgorzata Gamian-Wilk,https://orcid.org/0000-0002-6095-5269,O wybranych skutkach wykluczenia społecznego. ,2017,0,Małgorzata_Gamian-Wilk_15
Małgorzata Gamian-Wilk,https://orcid.org/0000-0002-6095-5269,Workplace bullying as an arena of social influence: a review of tactics in the bullying process,2017,0,Małgorzata_Gamian-Wilk_19
Józef Gierowski,https://orcid.org/0000-0002-7497-1876,The Role of Early Maladaptive Schemas in Shaping the Boundaries of Sex Offenders,2019,0,Józef_Gierowski_5
Józef Gierowski,https://orcid.org/0000-0002-7497-1876,AFTER YEARS OF TRAUMA- PSYCHOLOGICAL CONSEQUENCES OF POLITICAL REPRESSION IN POLAND IN THE YEARS 1944-1956,2018,0,Józef_Gierowski_6
Józef Gierowski,https://orcid.org/0000-0002-7497-1876,Profiles of empathic sensitivity in students of the last year of medicine,2018,0,Józef_Gierowski_10
Józef Gierowski,https://orcid.org/0000-0002-7497-1876,Professor Adam Szymusik (1931–2000) – The Creator Of Modern Forensic Psychiatry in Poland,2017,0,Józef_Gierowski_13
Agnieszka Monika Golec,https://orcid.org/0000-0002-7631-9486,Collective narcissism in the 2016 Presidential election,2018,0,Agnieszka_Monika_Golec_11
