fullname,orcid,doi,date
Rafał Waldemar Albiński,https://www.webofscience.com/wos/author/record/4018911,10.1159/000485796,2018
Maria Romualda Baran,https://www.webofscience.com/wos/author/record/19217783,,
Hanna Krystyna Bednarek,https://www.webofscience.com/wos/author/record/4801862,10.1080/20445911.2021.1916508,2021
Hanna Krystyna Bednarek,https://www.webofscience.com/wos/author/record/4801863,10.1016/j.dib.2021.107033,2021
Hanna Krystyna Bednarek,https://www.webofscience.com/wos/author/record/4801864,10.1016/j.paid.2020.110555,2021
Hanna Krystyna Bednarek,https://www.webofscience.com/wos/author/record/4801865,10.1027/1618-3169/a000506,2021
Hanna Krystyna Bednarek,https://www.webofscience.com/wos/author/record/4801866,10.3389/fnagi.2020.00194,2020
Hanna Krystyna Bednarek,https://www.webofscience.com/wos/author/record/4801867,10.13075/ijomeh.1896.01430,2019
Hanna Krystyna Bednarek,https://www.webofscience.com/wos/author/record/4801868,10.3389/fpsyg.2018.02557,2018
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408412,10.1002/ijop.12751,2021
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408413,10.1371/journal.pone.0255491,2021
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408414,10.1007/s12144-019-00198-w,2021
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408415,10.1007/s10902-021-00396-z,2021
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408416,10.1007/s12144-021-01499-9,2021
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408417,10.1007/s12144-018-0043-0,2021
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408418,10.3389/fpsyg.2020.02035,2020
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408419,10.3389/fpsyg.2019.01887,2019
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408420,10.1080/17405629.2018.1438257,2019
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408421,10.1002/ijop.12414,2018
Agnieszka Maria Bojanowska,https://www.webofscience.com/wos/author/record/2408422,10.1007/s10902-016-9777-2,2017
Paweł Boski,https://www.webofscience.com/wos/author/record/19599001,10.1038/s41467-021-22955-x,2021
Paweł Boski,https://www.webofscience.com/wos/author/record/19599002,10.1038/s41467-021-21602-9,2021
Paweł Boski,https://www.webofscience.com/wos/author/record/19599003,10.1007/s10826-018-1283-1,2019
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314575,10.1371/journal.pone.0251257,2021
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314576,10.1186/s12955-021-01752-6,2021
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314577,10.1080/10615806.2021.1887481,2021
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314578,10.1080/20008198.2021.1990527,2021
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314579,10.1080/17437199.2020.1844037,2020
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314580,10.1007/s10902-019-00102-0,2020
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314581,10.1111/aphw.12198,2020
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314582,10.3390/rel11030132,2020
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314583,10.1007/s11136-019-02288-5,2020
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314584,10.2147/PRBM.S244397,2020
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314585,10.12740/PP/OnlineFirst/93492,2020
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314586,10.2147/PRBM.S262432,2020
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314587,10.1007/s11482-018-9640-1,2019
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314588,10.1080/16066359.2019.1642332,2019
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314589,10.3389/fpsyg.2019.01664,2019
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314590,10.1007/s12529-018-9741-0,2019
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314591,10.1007/s10902-017-9925-3,2019
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314592,10.13075/mp.5893.00750,2019
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314593,10.1016/j.jpsychores.2018.09.006,2018
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314594,10.1016/j.jpsychores.2018.03.006,2018
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314595,10.1186/s12955-018-0929-4,2018
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314596,10.1007/s10865-017-9874-7,2018
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314597,10.1080/16066359.2018.1429595,2018
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314598,10.12740/PP/OnlineFirst/76541,2018
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314599,10.1016/j.psychres.2017.08.089,2017
Ewa Melania Gruszczyńska,https://www.webofscience.com/wos/author/record/8314600,10.1007/s11136-017-1612-7,2017
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998664,10.3390/su132212562,2021
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998665,10.1027/2151-2604/a000451,2021
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998666,10.1080/01973533.2020.1837134,2020
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998667,10.1080/00224545.2020.1758017,2020
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998668,10.5114/hpr.2020.97159,2020
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998669,10.1177/1938965518797075,2019
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998670,10.1080/00224545.2018.1505708,2019
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998671,10.1002/ijop.12469,2019
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998672,10.3389/fpsyg.2018.01519,2018
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998673,10.1016/j.paid.2017.08.032,2018
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998674,10.1016/j.foodqual.2017.06.004,2017
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998675,10.1177/1948550617693060,2017
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998676,10.3389/fpsyg.2017.01632,2017
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998677,10.1016/j.erap.2017.02.003,2017
Tomasz Adam Grzyb,https://www.webofscience.com/wos/author/record/14998678,10.5334/pb.397,2017
Maciej Andrzej Januszek,https://www.webofscience.com/wos/author/record/23434074,10.1007/s12144-019-0145-3,2021
Maciej Andrzej Januszek,https://www.webofscience.com/wos/author/record/23434075,10.1007/s10896-019-00036-4,2019
Dorota Eugenia Kalka,https://www.webofscience.com/wos/author/record/15472085,10.1080/17405629.2018.1552585,2020
Dorota Eugenia Kalka,https://www.webofscience.com/wos/author/record/15472086,10.1007/s11195-017-9516-6,2018
Dorota Eugenia Kalka,https://www.webofscience.com/wos/author/record/15472087,10.1080/1034912X.2017.1411582,2018
Dorota Eugenia Kalka,https://www.webofscience.com/wos/author/record/15472088,10.12740/PP/OnlineFirst/85192,2018
Olga Katarzyna Kamińska,https://www.webofscience.com/wos/author/record/9932741,10.3758/s13415-020-00778-5,2020
Olga Katarzyna Kamińska,https://www.webofscience.com/wos/author/record/9932742,10.1080/02699931.2017.1386622,2018
Olga Katarzyna Kamińska,https://www.webofscience.com/wos/author/record/9932743,10.1080/02699931.2016.1170669,2017
