,0
0,https://doi.org/10.1007/s12144-021-01374-7
1,https://doi.org/10.1080/10720537.2021.2010625
2,https://doi.org/10.1080/10720537.2021.2010625
3,https://doi.org/10.1007/s10943-017-0388-y
4,https://doi.org/10.18290/rpsych.2017.20.1-4pl
5,https://doi.org/10.1007/s12144-020-01249-3
6,https://doi.org/10.1515/ppb-2018-00xx
7,https://doi.org/10.5114/cipp.2017.68335
8,https://doi.org/10.14656/pfp20170108
9,https://doi.org/10.14656/pfp20170407
10,https://doi.org/10.1177/00332941211048736
11,https://doi.org/10.1177/13634593211046850
12,https://doi.org/10.1007/s12144-021-02367-2
13,https://doi.org/10.1111/ajpy.12198
14,https://doi.org/10.1080/00224499.2018.1471444
15,https://doi.org/10.21697/sp.2019.19.1.01
16,https://doi.org/10.1016/j.paid.2018.01.004
17,https://doi.org/10.1016/j.paid.2018.03.044
18,https://doi.org/10.1027/1614-0001/a000267
19,https://doi.org/10.1016/j.paid.2018.05.024
20,https://doi.org/10.1016/j.paid.2018.06.020
21,https://doi.org/10.1016/j.paid.2018.01.001
22,https://doi.org/10.1016/j.paid.2017.09.010
23,https://doi.org/10.1016/j.paid.2018.03.048
24,https://doi.org/10.1016/j.paid.2017.08.030
25,https://doi.org/10.1016/j.paid.2018.06.018
26,https://doi.org/10.1016/j.paid.2018.07.038
27,https://doi.org/10.1016/j.paid.2018.07.034
28,https://doi.org/10.1016/j.paid.2017.08.036
29,https://doi.org/10.1016/j.paid.2018.05.031
30,https://doi.org/10.1016/j.paid.2017.09.038
31,https://doi.org/10.1016/j.paid.2017.04.027
32,https://doi.org/10.1016/j.paid.2016.11.045
33,https://doi.org/10.1016/j.paid.2016.08.002
34,https://doi.org/10.1016/j.paid.2016.01.055
35,https://doi.org/10.1111/pere.12199
36,https://doi.org/10.1016/j.paid.2017.06.044
37,https://doi.org/10.1007/s12144-021-02367-2
38,https://doi.org/10.1016/j.jrp.2019.03.005
39,https://doi.org/10.1007/s12144-017-9653-1
40,https://doi.org/10.1007/s12144-019-00467-8
41,https://doi.org/10.1007/s12144-019-00461-0
42,https://doi.org/10.1002/erv.2698
43,https://doi.org/10.1002/per.2206
44,https://doi.org/10.1007/s12144-021-02367-2
45,https://doi.org/10.1007/s12144-021-01769-6
46,https://doi.org/10.1007/s12144-020-01249-3
47,https://doi.org/10.1177/2396941518787139
48,https://doi.org/10.5604/01.3001.0012.7546
49,https://doi.org/10.1016/j.eupsy.2016.10.007
50,https://doi.org/10.14691/cppj.24.2.279
51,https://doi.org/10.5114/ppn.2018.77209
52,https://doi.org/10.1007/s12144-020-00604-8
