Column1,Unnamed: 0,fullname,assigned,orcid,legit,checked,
0,0,Dominik Kamil Adamek,Kacper,https://orcid.org/0000-0002-6517-5018,FALSE,,
1,1,Rafał Waldemar Albiński,Kacper,https://orcid.org/0000-0003-4808-2108,FALSE,,
2,2,Katarzyna Archanowicz-Kudelska,Kacper,https://orcid.org/0000-0002-9888-2667,TRUE,,
3,3,Aleksandra Izabela Arciszewska-Leszczuk,Kacper,https://orcid.org/0000-0002-8476-7561,TRUE,,
4,4,Karina Atłas,Kacper,http://orcid.org/0000-0002-4363-3583,TRUE,,
5,5,Ewa Bajer,Kacper,https://orcid.org/0000-0001-6199-8458,FALSE,,
6,6,Marlena Banasik,Kacper,https://orcid.org/0000-0002-4589-1375,TRUE,,
7,7,Róża Alicja Banaśkiewicz-Bazińska,Kacper,,FALSE,,
8,8,Anna Aleksandra Banik,Kacper,http://orcid.org/0000-0002-6811-3947,TRUE,,
9,9,Lidia Natalia Baran,Kacper,https://orcid.org/0000-0002-3118-1997,TRUE,,
10,10,Maria Romualda Baran,Kacper,https://orcid.org/0000-0002-3118-1997,FALSE,,
11,11,Wiesław Jerzy Baryła,Kacper,http://orcid.org/0000-0001-9929-1992,FALSE,,
12,12,Dorota Balbina Bednarek,Kacper,https://orcid.org/0000-0003-3903-5529,FALSE,,
13,13,Hanna Krystyna Bednarek,Kacper,https://orcid.org/0000-0001-6470-5120,TRUE,,
14,14,Sylwia Bedyńska,Kacper,https://orcid.org/0000-0001-8255-1946,TRUE,,
15,15,Anna Beres,Kacper,https://orcid.org/0000-0002-4452-1794,TRUE,,
16,16,Tomasz Besta,Kacper,https://orcid.org/0000-0003-3503-3921,FALSE,,
17,17,Wojciech Zygmunt Białaszek,Kacper,https://orcid.org/0000-0002-9704-5453,TRUE,,
18,18,Olga Aleksandra Białobrzeska,Kacper,https://orcid.org/0000-0002-0387-3187,FALSE,,
19,19,Maksymilian Adam Bielecki,Kacper,https://orcid.org/0000-0002-2881-4976,TRUE,,
20,20,Bogusława Agnieszka Błoch,Kacper,,FALSE,,
21,21,Monika Joanna Boberska,Kacper,https://orcid.org/0000-0002-2443-532X,TRUE,,
22,22,Konrad Maksymilian Bocian,Kacper,https://orcid.org/0000-0002-8652-0167,TRUE,,
23,23,Agnieszka Maria Bojanowska,Kacper,https://orcid.org/0000-0002-1624-5518,TRUE,,
24,24,Barbara Janina Bokus,Kacper,https://orcid.org/0000-0002-3048-0055,TRUE,,
25,25,Edyta Ewa Bonk,Kacper,https://orcid.org/0000-0001-5842-5157,FALSE,,
26,26,Maria Borczykowska-Rzepka,Kacper,,FALSE,,
27,27,Paweł Boski,Kacper,https://orcid.org/0000-0003-0984-5686,TRUE,,
28,28,Anna Braniecka,Kacper,http://orcid.org/0000-0001-8328-1386,FALSE,,
29,29,Elwira Brygoła,Kacper,https://orcid.org/0000-0002-6326-7760,TRUE,,
30,30,Aneta Brzezicka,Kacper,https://orcid.org/0000-0003-1950-4180,TRUE,,
31,31,Jacek Marcin Buczny,Kacper,https://orcid.org/0000-0002-4932-196X,FALSE,,
32,32,Krystyna Buszman,Kacper,https://orcid.org/0000-0003-2032-0469,TRUE,,
33,33,Ewa Butowska,Kacper,https://orcid.org/0000-0003-4377-6004,FALSE,,
34,34,Katarzyna Byrka,Kacper,https://orcid.org/0000-0003-4220-4063,TRUE,,
35,35,Katarzyna Cantarero,Kacper,http://orcid.org/0000-0002-1876-3650,TRUE,,
36,36,Maria Chełkowska-Zacharewicz,Kacper,,FALSE,,
37,37,Agnieszka Chrzczonowicz-Stępień,Kacper,https://orcid.org/0000-0001-5236-6387,TRUE,,
38,38,Agata Chudzicka-Czupała,Kacper,https://orcid.org/0000-0002-6517-5018,TRUE,,
39,39,Roman Sławomir Cieślak,Kacper,https://orcid.org/0000-0002-2916-7686,FALSE,,
40,40,Aleksandra Katarzyna Cisłak-Wójcik,Kacper,https://orcid.org/0000-0002-9880-6947,FALSE,,
41,41,Maria Cyniak-Cieciura,Kacper,https://orcid.org/0000-0002-6293-8729,TRUE,,
42,42,Marzena Aneta Cypryańska-Nezlek,Kacper,http://orcid.org/0000-0001-9234-5628,FALSE,,
43,43,Agnieszka Czerw,Kacper,https://orcid.org/0000-0002-0074-3264,TRUE,,
44,44,Agata Dębowska,Kacper,https://orcid.org/0000-0002-8072-3975,FALSE,,
45,45,Dariusz Antoni Doliński,Kacper,https://orcid.org/0000-0001-5457-6396,FALSE,,
46,46,Zofia Dołęga,Kacper,https://orcid.org/0000-0002-2402-3819,TRUE,,
47,47,Aneta Marta Dowgiert,Kacper,https://orcid.org/0000-0001-8466-6851,FALSE,,
48,48,Szymon Emilia Draheim,Kacper,,FALSE,,
49,49,Krystyna Eleonora Drat-Ruszczak,Kacper,,FALSE,,
50,50,Marek Zbigniew Drogosz,Kacper,https://orcid.org/0000-0003-4963-3995,FALSE,,
51,51,Joanna Eulalia Dudek,Kacper,https://orcid.org/0000-0002-5219-6151,TRUE,,
52,52,Karolina Dukała,Kacper,https://orcid.org/0000-0001-9564-3102,TRUE,,
53,53,Anna Ewa Duszyk-Bogorodzka,Kacper,,FALSE,,
