,uni_name
SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,256
Uniwersytet Jagielloński w Krakowie,143
Uniwersytet Warszawski,111
Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,77
Uniwersytet Gdański,70
Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,68
Uniwersytet im. Adama Mickiewicza w Poznaniu,62
Uniwersytet Śląski w Katowicach,56
Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,55
Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,53
Uniwersytet Wrocławski,46
Instytut Psychologii Polskiej Akademii Nauk,43
Uniwersytet Marii Curie-Skłodowskiej w Lublinie,42
Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie,42
Akademia Ignatianum w Krakowie,37
Uniwersytet Szczeciński,36
Uniwersytet Kazimierza Wielkiego w Bydgoszczy,36
Uniwersytet Łódzki,35
Uniwersytet Mikołaja Kopernika w Toruniu,30
Akademia Ekonomiczno-Humanistyczna w Warszawie,30
