file,pattern,snippet
10-1001_jama-2017-9478.pdf,Fund,"ARTICLE INFORMATION
Accepted for Publication: July 5, 2017. Author Affiliations: GAMUT—The Grieg Academy
Music Therapy Research Centre, Uni ResearchHealth, Uni Research, Bergen, Norway (Bieleninik,Geretsegger, Mössler, Assmus, Gold); MelbourneConservatorium of Music, University of Melbourne,Melbourne, Australia (Thompson); Department ofCommunication and Psychology, AalborgUniversity, Aalborg, Denmark (Gattino);Postgraduate Program in Child and AdolescentHealth, Faculty of Medicine, Rio Grande do SulFederal University, Porto Alegre, Brazil (Gattino);School for Creative Arts Therapies, University ofHaifa, Haifa, Israel (Elefant); Music TherapyProgram, David-Yelin College, Jerusalem, Israel(Gottfried); IRCCS Stella Maris Foundation, Pisa,Italy (Igliozzi, Muratori, Suvini); Department ofClinical and Experimental Medicine, University ofPisa, Pisa, Italy (Muratori); Jeonju University,Jeonju, South Korea (Kim); Centre for Psychiatry,Imperial College London, London, United Kingdom(Crawford); Anglia Ruskin University, Cambridge,United Kingdom (Odell-Miller, Oldfield, Casey,Finnemann); Department of Psychiatry, Universityof Cambridge, Cambridge, United Kingdom(Finnemann); Rebecca Center for Music Therapy atMolloy College, Rockville Centre, New York(Carpente); Personal Social Services Research Unit,LSE Health and Social Care, The London School ofEconomics and Political Science, London, UnitedKingdom (Park); Villa Santa Maria Institute,Tavernerio, Italy (Grossi). Author Contributions: Drs Assmus and Gold had
full access to all of the data in the study and takeresponsibility for the integrity of the data and theaccuracy of the data analysis.Concept and design: Geretsegger, Assmus, Gold. Acquisition, analysis, or interpretation of data:Bieleninik, Geretsegger, Mössler, Assmus, Thompson,Gattino, Elefant, Gottfried, Igliozzi, Muratori, Suvini,Kim, Crawford, Odell-Miller, Oldfield, Casey,Finnemann, Carpente, Park, Grossi, Gold.Drafting of the manuscript: Bieleninik, Geretsegger,
Assmus, Gold.Critical revision of the manuscript for importantintellectual content: Geretsegger, Mössler, Assmus,
Thompson, Gattino, Elefant, Gottfried, Igliozzi,Muratori, Suvini, Kim, Crawford, Odell-Miller, Oldfield,Casey, Finnemann, Carpente, Park, Grossi, Gold.Statistical analysis: Assmus, Finnemann, Park,
Grossi, Gold.Obtained funding: Geretsegger, Mössler,
Thompson, Kim, Crawford, Odell-Miller, Gold.Administrative, technical, or material support:Bieleninik, Geretsegger, Mössler, Thompson,Gattino, Kim, Crawford.Supervision: Thompson, Gattino, Igliozzi, Muratori,
Suvini, Kim, Crawford, Odell-Miller, Oldfield,Carpente, Gold. Conflict of Interest Disclosures: All authors have
completed and submitted the ICMJE Form forDisclosure of Potential Conflicts of Interest andnone were reported.Funding/Support: This trial was funded by the
Research Council of Norway (grant 213844, theClinical Research and Mental Health Programmes).Additional funding was provided by the POLYFONKnowledge Cluster for Music Therapy, The GriegAcademy Department of Music, University ofBergen. Funding for the individual countries camefrom the following sources: Australia: Melbourne
Conservatorium of Music, The University ofMelbourne; Austria: Danish Council for
Independent Research/Humanities (FKK), AalborgUniversity, and Faculty of Psychology, University ofVienna; Brazil: Research Incentive Fund (FIPE) of
the Hospital de Clínicas de Porto Alegre (HCPA);Italy: IRCCS Stella Maris Foundation, Pisa, and
University of Pisa; Korea: Research Institute of
Health and Science, Jeonju University; Norway:
Health Authority of Western Norway (Helse Vestgrant 911800), Bergen municipality (Bergen CultureSchool), Fjell municipality (Fjell Culture School);United Kingdom: National Institute for Health
Research (Health Technology AssessmentProgramme, National Institute for Health Researchgrant 12/167/95), Cambridge and PeterboroughFoundation National Health Service Trust, TheEvelyn Trust, Cambridgeshire Music, Anglia RuskinUniversity; United States: Molloy College Faculty
research scholarship and a collaborative researchgrant from the Mid-Atlantic Region of the AmericanMusic Therapy Association. Role of the Funder/Sponsor: The funders of the
study had no role in design and conduct of thestudy; collection, management, analysis, andinterpretation of the data; and preparation, review,or approval of the manuscript or the decision tosubmit for publication. Group Information: TIME-A Study Team:
Australia: Music therapists: Anna-Lee Robertson,
MMusThrp, Jo Rimmer, BMusThrp, GraceThompson, PhD; Clinical assessor: Melina Roberts,MMus; Parent counselor: Grace Thompson, PhD(University of Melbourne). Austria: Music
therapists: Agnes Burghardt-Distl, MMag, MonikaGeretsegger, MMMag, PhD (private practice);Clinical assessors: Sonja Metzler, Mag, CarolinSteidl, Mag (Österreichische Autistenhilfe); Parentcounselor: Monika Geretsegger, MMMag, PhD(private practice). Brazil: Music therapist and parent
counselor: Gustavo Andrade de Araujo, PhD(Universidade Federal do Rio Grande do Sul);Clinical assessors: Renata Rocha Kieling, PhD (SantaCasa Hospital), Gabriela Damasceno Ferreira(clinical psychologist), Barbara Backes, PhD, ReginaZanon, PhD (Universidade Federal do Rio Grandedo Sul); ADI-R supervisor: Cleonice Bosa, PhD(Universidade Federal do Rio Grande do Sul).Rudimar Riesgo, PhD (Universidade Federal do RioGrande do Sul) helped with translating andvalidating the SRS and with obtaining permissionfor using the ADOS, ADI-R, and SRS in Brazil. Israel:
Music therapists and parent counselors: TaliGottfried, PhD (private practice), Rivka Grossbard,MA (University of Haifa); Clinical assessors: EfratEshchar, MA, Edwa Friedlander, MA (University ofHaifa)."
10-1002_ajcp-12404.pdf,Union,"Estecahandy, P. (2014). First results of HF experimentation in
France and next steps. FEANTSA 2014 Policy Conference
Confronting Homelessness in the EU: Seeking out the next gen-
eration of best practices. 24-25 October 2014, Bergamo, Italy.Available from: https://housingfirstguide.eu/website/wp-content/uploads/2016/04/First-results-of-HF-experimentation-in-France-
and-next.pdf [last accessed July 25 2019]. European Commission (2013). Confronting homelessness in the
European Union . Brussels, Belgium: European Commission. Faul, F., Erdfelder, E., Lang, A.-G., & Buchner, A. (2007). G*Power 3: A ﬂexible statistical power analysis program for
the social, behavioral, and biomedical sciences. Behavior
Research Methods ,39, 175 –191."
10-1002_ajhb-22981.pdf,Union,"The aim of this study was to test the general belief of
breast ptosis being related to lower attractiveness ratings and
influencing the perception of a woman ’s age. We hypothe-
size that the more ptotic breasts are perceived as older. Asanalyses of cross-cultural data reveal that male preferences
for female breast size and shape are variable between soci-
eties (Dixson, Grimshaw, Linklater, & Dixson, 2010; Ford &Beach, 1951; Swami & Tov /C19ee, 2005), we tested the hypothe-
ses in two populations —Poland and Papua. 2|METHODS
2.1 |Participants
The study had two parts, conducted on two different popula-
tions (Polish and Papuan), employing similar proceduresadapted to their specific conditions. All participants took partin the study anonymously, on a voluntary basis. Poland is a
country in Central Europe and is part of the European Union. The Polish sample was recruited from two cities in southernPoland (Wroc ław and Gliwice), representative of a modern
and industrialized society. It consisted of 57 women and 51
men, aged 17-78 years ( M533.6; SD 516). The second part of the study was conducted among the
Yali tribe (Papua, Indonesian province previously known asIrian Jaya). The Yali inhabit mountainous areas, east of the
Baliem valley (3.92 S, 138.73 E) from Wamena —central
part of the Baliem valley. The Yali are one of many indige-nous ethnic groups in Papua."
10-1002_cad-20385.pdf,Union,"The affective organization of parenting: Adaptive and maladaptive processes. Psychological Bul-
letin,110(1), 3–25. https://doi.org/10.1037/0033-2909.110.1.3
European Commission/EACEA/Eurydice. (2019). Key data on early childhood education and care in Europe—2019
edition (Eurydice Report). Luxembourg: Publications Ofﬁce of the European Union. Retrieved from https://
eacea.ec.europa.eu/national-policies/eurydice/sites/eurydice/ﬁles/kd_ecec_2019_report_en.pdf
Fowers, B. J., & Olson, D. H. (1993). ENRICH marital satisfaction scale: A brief research and clinical tool. Journal of
Family Psychology ,7, 176–185. https://doi.org/10.1037/0893-3200.7.2.176
Gérain, P ., & Zech, E. (2018). Does informal caregiving lead to parental burnout?"
10-1002_ejsp-2298.pdf,Organiz,"This paper  examines  how dealing with uncertainty by adherence to religion influences 
intergroup attitudes. First, we examine  the relationship between religious beliefs  and the 
tendency to avoid uncertainty. Moreover, we test the assumption that the connection of the 
two can  lead to prejudice towards valu e-violators , but that it can also increase positive 
attitudes towards those groups whose values are consistent with the ingroup’s  values. Finally , 
for the first time , we experimentally test how, in the face of uncertainty , religious belief s 
determine attit udes towards different groups, regarding the perception of values they follow. Intolerance of Ambiguity  and Motivation to Feel Certain  
People vary in their tolerance of ambiguity  and uncertainty . Since the  early  work by 
Frenkel -Brunswik  (1948; 1949 ), the concept s of ambiguity and uncertainty have been 
discussed  in many areas of research including  organiz ational (Robertson & Swan, 2003)  and 
vocational behavior (Xu & Tracey, 2015) , education  (Sher rill, 2001) , clinical  psychology 
(Birrell, Meares, Wilkinson, & Freestone, 2011 ; Gosselin et al., 2008 ), and creativity research 
(Wang, Zhang , & Martocchio, 2011) . Following the initial definition by Frenkel -Brunswik 
(1949) most  researchers conceptualize d the intolerance of ambiguity and uncertainty as a 
personality trait (e.g. Budner , 1962 ; Furnham  & Ribchester , 1995), or at least  a cognitive 
disposition s that may influence the propensity for certain affective, cognitive, and behavioral  
reactions in response to situations that involve novelty, complexity, unfamiliarity, 
unpredictability  (Bhushan & Amal, 1986; Budner, 1962 ; McLain, 1993; McLain, 
Keffallonitis, & Armani, 2015 ). Affective reactions most often include anxiety, discomfort, 
but also dislike or anger. Such emotions in turn lead to cognitive effort  to resolve ambiguity 
and uncertainty and/or a tendency to perceive ambiguous situations in black and white terms. Finally, low tolerance for ambiguity and uncertainty can result in behavioral  consequences  
such as delayed decision making, attributional err ors, and the general avoid ance or rejecti on UNCERTAINTY AND PREJUDICE  
 
This article is protected by copyright."
10-1002_ejsp-2308.pdf,Union,"We assumed that participants high in need  for cognitive closure would  
rely on conspiratorial explanations for an uncer tain (vs . certain) event only when such 
explanations are m ade salient (vs.  not). However, when the non -conspiratorial causes for the 
plane crash are  known and certain , participant s high in need for cognitive closure should RUNINNG HEAD: Need for cognitive closure and conspiracy beliefs                                    
 
This article is protected by copyright. All rights reserved. freeze on them and , thus,  reject  salient  conspiratorial explanation s. Taking into consideration 
that conspiracy theories are often spread through the internet (see HIV denial conspiracy ; 
Smith & Novella,  2007), we prepared our manipulations as imitations of online articles and 
conducted  our ex periments among internet users. Experiment 1  
In Exper iment  1 we tested the hypothesis  that need for cognitive closure would be 
related to  relying on c onspiratorial explanati on for a  major event when  a conspiratorial 
explanation  was made salient . We focused on Poland’s agreement to offer asylum to refugees 
from Syria and Eritrea  as a part of the European Union relocation and resettlement 
programme . This decision likely caused uncertainty among Polish residents . Ethnically , 
Poland is a very homogenous country  which often  result s in negative attitudes toward 
foreigners  who do not share Poli sh traditions . According to  the results of a  survey conducted  
by one of the leading Polish public opinion research institutions, 78% of Poles linked 
refugees arrival to reduced levels of safety, and only 5% declared that Poland should  comply 
with EU directives  and allow ref ugees to settle in Poland  (CBOS, 2015). Also, political 
rhetoric on the refugee crisis strengthened the feelings of  uncertainty  among people living in 
Poland . For example, Jaroslaw Kaczynski, leader of Poland's ruling  Law and Justice  Party, 
claimed that refugees  could bring dangerous  disease and parasites to Poland  (Goclowski, 
Barteczko , & Koper, 2015) ."
10-1002_ejsp-2308.pdf,Union,"Ethnically , 
Poland is a very homogenous country  which often  result s in negative attitudes toward 
foreigners  who do not share Poli sh traditions . According to  the results of a  survey conducted  
by one of the leading Polish public opinion research institutions, 78% of Poles linked 
refugees arrival to reduced levels of safety, and only 5% declared that Poland should  comply 
with EU directives  and allow ref ugees to settle in Poland  (CBOS, 2015). Also, political 
rhetoric on the refugee crisis strengthened the feelings of  uncertainty  among people living in 
Poland . For example, Jaroslaw Kaczynski, leader of Poland's ruling  Law and Justice  Party, 
claimed that refugees  could bring dangerous  disease and parasites to Poland  (Goclowski, 
Barteczko , & Koper, 2015) . Thus, w e believed that in the face of such threats  combined  with 
a fear of the unknown  “other,” individuals high in cognitive closure should be especially 
prone to rely on conspiratorial explanation st anding behind refugees ’ arrival . In the study , we 
manipulated conspiracy salience by  suggesting (or not) that the  European Union  is secretly  
planning hostile actions against Poland to gain power  and control  over it. Method  RUNINNG HEAD: Need for cognitive closure and conspiracy beliefs                                    
 
This article is protected by copyright. All rights reserved. Participants. Experiment  1 was conducted among 245 Polish  internet users. The whole sample 
consisted of 132 women and 112 men (1 person did not specify his/her gender)."
10-1002_ejsp-2308.pdf,Union,"We found a significant positive effect of need for 
cognitive closure, B = 0.64, SE = 0.17, p < .001 , but no significant effect of experimental 
condition, B = 0.09, SE = 0.09, p = .30. The interaction of need for cognitive closure and 
experimental condition was significant, B = 0.34 , SE = 0.17, p = .046 ; for the whole model , 
F(3, 241) = 5.77, p = .001; R2 = .07, ΔR2= .02. Simple slope analysis indicated that need for 
cognitive closure significantly and positively predicted conspiracy beliefs in the conspiracy -
salience condition, B = 0.97, SE = 0.25, p < .001, and positively, albeit non-significantly , in 
the control  conditio n, B = 0.29, SE = 0.2 3, p = .20  (Figure 1) . Experiment 1 confirmed that need for cognitive closure was linked to  the endorsement 
of conspiratorial explanation s behind refugees arrival in Poland . However, this effect was 
stronger when the conspiratorial  explanation was  made salient. People high in need for 
cognitive clos ure who were exposed to  the conspir acy blaming European Union for secret RUNINNG HEAD: Need for cognitive closure and conspiracy beliefs                                    
 
This article is protected by copyright. All rights reserved. actions against Poland, were more likely  to believe that the tragic situation of Syrian and 
Eritrean  refugees was  just a mystification. Apparently, they were ready  to accept a coherent, 
and certain story according to which the European Union s ends refugees  to Poland in order to  
gain power over its e conomy or destroy Polish culture . These results  provided initial 
confirmation of our hypo thesis in the context of reactions to  the influx of foreign ers to one’s 
own country. Experiment 2  
In Experiment 2  we aimed to replicate the pattern of results obtained in Experiment 1 ."
10-1002_ejsp-2308.pdf,Union,"Experiment 1 confirmed that need for cognitive closure was linked to  the endorsement 
of conspiratorial explanation s behind refugees arrival in Poland . However, this effect was 
stronger when the conspiratorial  explanation was  made salient. People high in need for 
cognitive clos ure who were exposed to  the conspir acy blaming European Union for secret RUNINNG HEAD: Need for cognitive closure and conspiracy beliefs                                    
 
This article is protected by copyright. All rights reserved. actions against Poland, were more likely  to believe that the tragic situation of Syrian and 
Eritrean  refugees was  just a mystification. Apparently, they were ready  to accept a coherent, 
and certain story according to which the European Union s ends refugees  to Poland in order to  
gain power over its e conomy or destroy Polish culture . These results  provided initial 
confirmation of our hypo thesis in the context of reactions to  the influx of foreign ers to one’s 
own country. Experiment 2  
In Experiment 2  we aimed to replicate the pattern of results obtained in Experiment 1 . We further examined whether the endorsement of salient conspiracy theories by those high in 
need for cognitive closure w ill depend on whether the event  did or did not have a clear 
official explanation. Individuals high in need for cognitive closure demonstrate a heightened 
susceptibility to the primacy effect in impression formation  and seize  on easily accessible 
information assuring  closure  (Freund, et el. , 1985; Kruglanski & Webster, 1996 ; Webster & 
Kruglanski, 1994 )."
10-1002_ejsp-2332.pdf,religious* group,"18 (1), 65 -83. DOI: 10.1177/1029864913511845  
Becker, J. C., & Tausch, N. (2015). A dynamic model of engagement in normative and non -
 normative collective action: Psychological antecedents, consequences, and barriers. European Review of Social Psychology , 26(1), 43 -92. 
 doi:10.1080/10463283.2015.1094265  
Besta, T., Gómez, Á., & Vázquez, A. (2014). Readiness to deny group’s wrongdoing and  
 willingness to fight for its members: the role of the Poles’ identity fusion with the 
 country and religious group. Current Issues of Personality Psychology , 2(1), 49‒55. doi:10.5114/cipp.2014.43101  
Besta, T., Mattingly, B., & Błażek, M. (2016). When me mbership gives strength to act: 
 Inclusion of the group into the self and feeling of personal agency. The Journal of 
 Social Psychology , 156(1), 56 -73. doi:10.1080/00224545.2015.1053838  
Besta, T., Szulc, M., & Jaśkiewicz , M. (2015). Political extremism, group membership, and 
 personality traits: Who accepts violence?"
