file,pattern,snippet
10-1002_ejsp-2298.pdf,Organiz,"This paper  examines  how dealing with uncertainty by adherence to religion influences 
intergroup attitudes. First, we examine  the relationship between religious beliefs  and the 
tendency to avoid uncertainty. Moreover, we test the assumption that the connection of the 
two can  lead to prejudice towards valu e-violators , but that it can also increase positive 
attitudes towards those groups whose values are consistent with the ingroup’s  values. Finally , 
for the first time , we experimentally test how, in the face of uncertainty , religious belief s 
determine attit udes towards different groups, regarding the perception of values they follow. Intolerance of Ambiguity  and Motivation to Feel Certain  
People vary in their tolerance of ambiguity  and uncertainty . Since the  early  work by 
Frenkel -Brunswik  (1948; 1949 ), the concept s of ambiguity and uncertainty have been 
discussed  in many areas of research including  organiz ational (Robertson & Swan, 2003)  and 
vocational behavior (Xu & Tracey, 2015) , education  (Sher rill, 2001) , clinical  psychology 
(Birrell, Meares, Wilkinson, & Freestone, 2011 ; Gosselin et al., 2008 ), and creativity research 
(Wang, Zhang , & Martocchio, 2011) . Following the initial definition by Frenkel -Brunswik 
(1949) most  researchers conceptualize d the intolerance of ambiguity and uncertainty as a 
personality trait (e.g. Budner , 1962 ; Furnham  & Ribchester , 1995), or at least  a cognitive 
disposition s that may influence the propensity for certain affective, cognitive, and behavioral  
reactions in response to situations that involve novelty, complexity, unfamiliarity, 
unpredictability  (Bhushan & Amal, 1986; Budner, 1962 ; McLain, 1993; McLain, 
Keffallonitis, & Armani, 2015 ). Affective reactions most often include anxiety, discomfort, 
but also dislike or anger. Such emotions in turn lead to cognitive effort  to resolve ambiguity 
and uncertainty and/or a tendency to perceive ambiguous situations in black and white terms. Finally, low tolerance for ambiguity and uncertainty can result in behavioral  consequences  
such as delayed decision making, attributional err ors, and the general avoid ance or rejecti on UNCERTAINTY AND PREJUDICE  
 
This article is protected by copyright."
10-1002_hbm-24208.pdf,NGO,"Higher accuracy
in multiple object tracking (Green & Bavelier, 2006ab; Sungur, & Bod-
uroglu, 2012) and enhanced visual search (Castel, Pratt, & Drummond,2005), spatial resolution of vision (Green, & Bavelier, 2007), detecting
salient changes in the direction of object movement (West et al., 2008)
and mental rotation (Basak, Boot, Voss, & Kramer, 2008) were also
observed after video game experience. Moreover, video game playing
has also been associated with a reduced sensitivity to backward mask-ing, indicating faster integration of visual processing (Li, Polat, Scalzo, &
Bavelier, 2010). More basic aspects of perception like a general
Hum Brain Mapp .2 0 1 8 ; 1 –17. wileyonlinelibrary.com/journal/hbm VC2018 Wiley Periodicals, Inc. |1Received: 21 August 2017 |Revised: 28 March 2018 |Accepted: 29 April 2018
DOI: 10.1002/hbm.24208
shortening of perceptual reaction times (Dye et al., 2009aa; Dye et al.,
2009ab) and enhanced contrast sensitivity were also shown to be
affected by video game training (Li, Polat, Makous, & Bavelier, 2009). Itis important to point out that improvements in visual information proc-
essing were observed not only in normal-vision subjects but also in
patients with vision problems. For example, Li, Ngo, Nguyen, & Levi(2011) showed that patients with amblyopia substantially improved in awide range of fundamental vision functions, such as visual acuity and
spatial attention, after a short video game training. Furthermore, in a
study that was both empirical and conceptual, Bejjanki and others(2014) described that video games improved performance on an orien-
tation identification task under varying levels of external noise and pro-
posed a model where improvement in the task was accompanied byreweighting of connectivity between the visual areas of the brain. On the other hand, not all studies on video game experience have
yielded positive results (Boot, Blakely, & Simons, 2011; Gobet et al.,
2014), and a number of authors have discussed the methodologicalshortcomings that are present in the field (Boot et al., 2011; Boot, &Simons, 2012; Kristj /C19ansson, 2013; Bisoglio, Michaels, Mervis, & Ashin-
off, 2014). Some research has shown only little or no improvement incognitive performance (Boot et al., 2011; Irons, Remington, & McLean,2011). However, it should be noted that most of those studies did notcontrol for the genres of video games played by participants, and all
genres were usually put into one category of “action ”video games. This category is usually comprised of first- and third-person shootergenres, but there are studies with “action ”video game player samples
that also include other genres (e.g., Green, & Bavelier, 2003; Castelet al., 2005; Sungur et al., 2012), and studies that concentrated on spe-cific genres (e.g., Tanaka et al., 2013; Dobrowolski et al., 2015; Kimet al., 2015; Dale & Green, 2017ab)."
10-1002_hbm-24208.pdf,NGO,"Enhancing the con-
trast sensitivity function through action video game training. Nature
Neuroscience ,12(5), 549 –551. Li, R., Polat, U., Scalzo, F., & Bavelier, D. (2010). Reducing backward
masking through action game training. Journal of Vision ,10(14), 33 –
13. Li, R. W., Ngo, C., Nguyen, J., & Levi, D. M. (2011). Video-game play
induces plasticity in the visual system of adults with amblyopia. PLoS
Biology ,9(8), e1001135. Mangun, G. R., Buonocore, M. H., Girelli, M., & Jha, A. P. (1998). ERP
and fMRI measures of visual spatial selective attention. Human Brain
Mapping ,6(5–6), 383 –389.Maris, E., & Oostenveld, R. (2007)."
10-1016_j-chb-2020-106502.pdf,NGO,"1 We thank the anonymous reviewer for this suggestion. M. Morelli et al. Computers in Human Behavior 113 (2020) 106502
8measure. For instance, findings from the present study showed that 
young people from the USA are more likely to send and post own sexts 
than participants from other countries, while previous studies reported 
higher prevalence of sexting among Italian participants (Klettke et al., 
2014 ; Morelli et al., 2016a ). Meanwhile, Irish youth reported more risky sexting (i.e., sexting 
under substance use and sexting with strangers met online) than 
American youth, but this result could be due to the fact that the Irish 
sample was predominantly composed of boys, who are more likely to 
engage in risky sexual behaviors than girls (Bongers, Koot, Van der Ende, 
& Verhulst, 2003 ; Romer & Hennessy, 2007 ). Young Ugandans reported 
more non-consensual sexting than American youth, a result that aligns 
with widespread risky sexual behavior in Africa (Pinchoff, Boyer, 
Mutombo, Chowdhuri, & Ngo, 2017 ), which is leading to the imple -
mentation of sex education programs in schools, especially in Uganda 
(Kemigisha et al., 2019 ). Finally, Turkish and Czech youth, as compared 
to American youth, reported receiving more pressure from peers and 
partners to send sexts. This suggests that coercive and aggressive dy-
namics within dating partners may be more common and/or socially 
acceptable in these countries (Pik�alkov �a, 2012 ; Terzioglu et al., 2018 ; 
Toplu-Demirtas ¸, Hatipo �glu-Sümer, & Murray, 2018 ). Regarding socio-demographic variables, findings aligned well with 
previous research. Specifically, boys were more likely to be involved in 
risky and aggravated sexting than girls, in line with previous studies on 
biological sex differences in sexting (Gregg, Somers, Pernice, Hillman, & 
Kernsmith, 2018 ) and risky sexual behaviors (Romer & Hennessy, 
2007 ). Experimental sexting and risky sexting increased with age."
10-1016_j-chb-2020-106502.pdf,NGO,"Journal of Adolescent 
Health, 66(2), 140–143. https://doi.org/10.1016/j.jadohealth.2019.10.010 . Pik�alkov �a, S. (2012). Violence against women in intimate partnerships: First findings of 
follow-up research to IVAWS 2003. Acta Universitatis Carolinae - Philosophica et 
Historica, 18(2), 85–100. Pinchoff, J., Boyer, C. B., Mutombo, N., Chowdhuri, R. N., & Ngo, T. D. (2017). Why 
don’t urban youth in Zambia use condoms? The influence of gender and marriage on 
non-use of male condoms among young adults. PloS One, 12(3). https://doi.org/ 
10.1371/journal.pone.0172062 . Pistella, J., Ioverno, S., & Russell, S. T. (2019)."
10-1080_02681102-2018-1508402.pdf,Organiz,"This typology divides OCB into only two groups: OCBI oriented towards
people, e.g. helping, altruism, courtesy and OCBO oriented towards an organization, e.g. civic
virtue ( Table 1 ). These theoretical assumptions were con ﬁrmed by Williams and Anderson ( 1991 )
who used a hierarchical regression analysis to distinguish the existence of the two behavioral
types: OCBI and OCBO. A common feature of all of the typologies is that they de ﬁne OCB as a group of behaviors, which
depend on the individual decisions of employees, and are not subject to the formal system of rewardsand do not fall into the set of regulated behaviors typical for a given position. A few authors have investigated OCB in a very wide range of di ﬀerent industries, such as: ﬁnancial
services, banking, insurance, education, services, retail, the food service industry non-pro ﬁt organiz-
ations, governments, military organizations, manufacturing, pharmaceuticals, biotechnology, health-
care and entertainment (Podsako ﬀ, Podsako ﬀ, Mackenzie, Maynes, & Spoelma, 2014 ). However, the
research included no samples from the IT sector. This is one of the main reasons why we wanted
to study and investigate the organizational behavior of a group of IT professionals. Most OCB research has been conducted internationally, with the majority of the samples being
from the US (61%), in addition to Australia, Canada, China, Germany, Hong Kong, Korea, Mexico, Por-tugal, Singapore, Spain, Taiwan, UK and Venezuela. To the best of our knowledge, there is little or no
research concerning the OCB of IT professionals from Poland. Furthermore, there were no examples of articles or reports from research on OCB in Poland, in con-
trast to studies of OCB in psychology and management in developed economies (Kowal & Keplinger,2015 )."
10-1080_02681102-2018-1508402.pdf,Organiz,"We assumed that OCB and gender are relevant to the level of eﬃciency
of actions. 2.2. Gender
There is a need to update knowledge about the situation of female and male IT professionals in the
labor market; this naturally includes the IT industry. This need is con ﬁrmed by other authors, e.g. Robbins and Judge ( 2007 ). Our research is in response to this research gap regarding the organiz-
ational and individual aspects of behavior in the context of work and gender (Roztocki & Weistro ﬀer,
2015 ,2016 ). Other scholars have also pointed out the socially important role of gender. For example,
Mason ( 2000 ) emphasized that governments and societies should seek to eliminate gender inequal-
ities in order to promote social development. Gender di ﬀerences are important factors in the functioning of an organization. Such di ﬀerences
may be relevant in a variety of issues, including ethics and OCB and are likely to be important
factors in building organizational climate, job satisfaction and quality of life (Kowal & Roztocki,
2015 ). Gender inequalities are important issues that must be addressed in order to shape leadership
in an organization, its structure, strategy, culture, organizational climate, as well as personnel policy
(Stamarski & Hing, 2015 )."
10-1080_02681102-2018-1508402.pdf,Organiz,"Other scholars have also pointed out the socially important role of gender. For example,
Mason ( 2000 ) emphasized that governments and societies should seek to eliminate gender inequal-
ities in order to promote social development. Gender di ﬀerences are important factors in the functioning of an organization. Such di ﬀerences
may be relevant in a variety of issues, including ethics and OCB and are likely to be important
factors in building organizational climate, job satisfaction and quality of life (Kowal & Roztocki,
2015 ). Gender inequalities are important issues that must be addressed in order to shape leadership
in an organization, its structure, strategy, culture, organizational climate, as well as personnel policy
(Stamarski & Hing, 2015 ). The Gender Policy ( 2016 ) in the European Union expects the following goals: (1) stating an organ-
ization ’s commitment towards gender, (2) integrating gender concerns eﬀ ectively into an organiz-
ation ’s agenda and policy, (3) creating equal opportunities and a conducive environment for
women and men in a workplace, and (4) promoting the equal representation and participation ofwomen in decision making at professional and administrative levels. Naturally, this policy providesfurther impetus for the study of gender issues. Equal opportunities for both genders have been changing at an undesirable pace. The Global
Gender Gap Index 2015 ranks 145 economies according to how well they are leveraging theirfemale talent pool, based on economic, educational, health-based and political indicators
(Schwab et al., 2015 ). According to the GGG 2015 report, Poland is in the 51st position,
while Germany ranked much better in the 11th position. Moreover, the report indicated that
the German economy displayed much better performance in comparison to Poland."
10-1080_08870446-2017-1385785.pdf,NGO,"Full Terms & Conditions of access and use can be found at
http://www.tandfonline.com/action/journalInformation?journalCode=gpsh20
Download by:  [Gothenburg University Library] Date:  11 October 2017, At: 09:05
Psychology & Health
ISSN: 0887-0446 (Print) 1476-8321 (Online) Journal homepage: http://www.tandfonline.com/loi/gpsh20
Dietary planning, self-efficacy, and outcome
expectancies play a role in an online intervention
on fruit and vegetable consumption
Ralf Schwarzer, Lisa M. Warner, Lena Fleig, Maryam Gholami, Lluis Serra-
Majem, Joy Ngo, Luisella Cianferotti, Maria Kritikou, Piergiorgio Mossi,
Evangelia Ntzani & Maria L. Brandi
To cite this article:  Ralf Schwarzer, Lisa M. Warner, Lena Fleig, Maryam Gholami, Lluis
Serra-Majem, Joy Ngo, Luisella Cianferotti, Maria Kritikou, Piergiorgio Mossi, Evangelia Ntzani
& Maria L. Brandi (2017): Dietary planning, self-efficacy, and outcome expectancies play a
role in an online intervention on fruit and vegetable consumption, Psychology & Health, DOI:
10.1080/08870446.2017.1385785
To link to this article:  http://dx.doi.org/10.1080/08870446.2017.1385785
Published online: 09 Oct 2017. Submit your article to this journal 
Article views: 3
View related articles 
View Crossmark data
Dietary planning, self-ef ﬁcacy, and outcome expectancies play a role
in an online intervention on fruit and vegetable consumption
Ralf Schwarzera*, Lisa M. Warnera, Lena Fleiga, Maryam Gholamia,
Lluis Serra-Majemb, Joy Ngob, Luisella Cianferottic, Maria Kritikoud,
Piergiorgio Mossie, Evangelia Ntzanif,gand Maria L. Brandih
aDepartment of Psychology, Freie Universität Berlin, Berlin, Germany;bNutrition Research
Foundation, University of Barcelona Science Park, Barcelona, Spain;cDepartment of Surgery and
Translational Medicine, University of Florence, Florence, Italy;dHellenic Health Foundation,
Athens, Greece;eDepartment of Psychology, Istituto Scienti ﬁco Biomedico Euro Mediterraneo,
Mesagne, Italy;fDepartment of Hygiene and Epidemiology, University of Ioannina School of
Medicine, Ioannina, Greece;gCenter for Evidence-Based Medicine, Department of Health
Services, Policy and Practice, School of Public Health, Brown University, Providence, RI, USA;
hDepartment of Surgery and Translational Medicine, University of Florence, Florence, Italy
(Received 5 April 2017; accepted 18 September 2017 )
Objective :An online intervention to improve fruit and vegetable (FV) intake
examines the role of planning, outcome expectancies, self-ef ﬁcacy and gender. Women are not only expected to eat more FV than men, but they are alsoexpected to be more responsive to nutritional advice and bene ﬁt more from
treatment. Method :A two-arm digital intervention with 269 men and 395 women
(M
age= 41.2, SD age= 11.45; range: 19 –66 years) was conducted in Italy,
Spain and Greece, followed up at three and six months, comparing a staticwith a dynamic, feedback-intensive platform. Results :Linear mixed models yielded an increase in FV consumption in both
the dynamic and the static intervention arms. In men, outcome expectancieswere positively related to follow-up FV intake."
10-1080_08870446-2017-1385785.pdf,NGO,"106 –122). New York, NY: Guilford Press. Schwarzer, R. ( 2008 ). Modeling health behavior change: How to predict and modify the adoption
and maintenance of health behaviors. Applied Psychology, 57 (1), 1 –29. doi: 10.1111/j.1464-
0597.2007.00325.x
Schwarzer, R., Fleig, L., Warner, L. M., Gholami, M., Serra-Majem, L., Ngo, J., & Brandi, M. L.
(2016 ). Who bene ﬁts from a dietary online intervention? Evidence from Italy, Spain and
Greece. Public Health Nutrition, 20 , 938 –947. doi: 10.1017/S1368980016002913
Schwarzer, R., & Luszczynska, A. ( 2015 )."
