fullname,orcid,assigned
Rafał Waldemar Albiński,https://orcid.org/0000-0003-4808-2108,Kacper
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-8476-7561,Kacper
Marlena Banasik,https://orcid.org/0000-0002-4589-1375,Kacper
Róża Alicja Banaśkiewicz-Bazińska,,Kacper
Anna Aleksandra Banik,http://orcid.org/0000-0002-6811-3947,Kacper
Maria Romualda Baran,https://orcid.org/0000-0002-3118-1997,Kacper
Wiesław Jerzy Baryła,http://orcid.org/0000-0001-9929-1992,Kacper
Dorota Balbina Bednarek,https://orcid.org/0000-0003-3903-5529,Kacper
Hanna Krystyna Bednarek,https://orcid.org/0000-0001-6470-5120,Kacper
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,Kacper
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-9704-5453,Kacper
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,Kacper
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,Kacper
Monika Joanna Boberska,https://orcid.org/0000-0002-2443-532X,Kacper
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,Kacper
Agnieszka Maria Bojanowska,https://orcid.org/0000-0002-1624-5518,Kacper
Edyta Ewa Bonk,https://orcid.org/0000-0001-5842-5157,Kacper
Paweł Boski,https://orcid.org/0000-0003-0984-5686,Kacper
Anna Braniecka,http://orcid.org/0000-0001-8328-1386,Kacper
Elwira Brygoła,https://orcid.org/0000-0002-6326-7760,Kacper
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Kacper
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Kacper
Ewa Butowska,https://orcid.org/0000-0003-4377-6004,Kacper
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,Kacper
Katarzyna Cantarero,http://orcid.org/0000-0002-1876-3650,Kacper
Agnieszka Chrzczonowicz-Stępień,https://orcid.org/0000-0001-5236-6387,Kacper
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,Kacper
Roman Sławomir Cieślak,https://orcid.org/0000-0002-2916-7686,Kacper
Aleksandra Katarzyna Cisłak-Wójcik,https://orcid.org/0000-0002-9880-6947,Kacper
Maria Cyniak-Cieciura,https://orcid.org/0000-0002-6293-8729,Kacper
Marzena Aneta Cypryańska-Nezlek,http://orcid.org/0000-0001-9234-5628,Kacper
Agnieszka Czerw,https://orcid.org/0000-0002-0074-3264,Kacper
Agata Dębowska,https://orcid.org/0000-0002-8072-3975,Kacper
Dariusz Antoni Doliński,https://orcid.org/0000-0001-5457-6396,Kacper
Zofia Dołęga,https://orcid.org/0000-0002-2402-3819,Kacper
Aneta Marta Dowgiert,https://orcid.org/0000-0001-8466-6851,Kacper
Szymon Emilia Draheim,,Kacper
Krystyna Eleonora Drat-Ruszczak,,Kacper
Marek Zbigniew Drogosz,https://orcid.org/0000-0003-4963-3995,Kacper
Joanna Eulalia Dudek,https://orcid.org/0000-0002-5219-6151,Kacper
Karolina Dukała,https://orcid.org/0000-0001-9564-3102,Kacper
Anna Ewa Duszyk-Bogorodzka,,Kacper
Maciej Andrzej Dymkowski,https://orcid.org/0000-0002-2101-9451,Kacper
Irena Dzwonkowska,https://orcid.org/0000-0002-9177-6044,Kacper
Jolanta Enko,https://orcid.org/0000-0002-1982-2798,Kacper
