name,orcid,link,date,journal,id
Rafał Aleksandrowicz,http://orcid.org/0000-0003-4895-5415,A practical approach to individualisation of the learning process,2020-04,Hejnał Oświatowy,Rafał_Aleksandrowicz_1
Rafał Aleksandrowicz,http://orcid.org/0000-0003-4895-5415, Book review: Scientific writing of students. ,2020-02,Hejnał Oświatowy,Rafał_Aleksandrowicz_2
Rafał Aleksandrowicz,http://orcid.org/0000-0003-4895-5415,https://doi.org/10.14632/nis.2019.69.35,2019-11-07,Nauczyciel i Szkoła,Rafał_Aleksandrowicz_3
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1177/0084672421994199,2021-07-05,Archive for the Psychology of Religion,Adam_Anczyk_1
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.4467/25444972smpp.20.017.12333,2020,Studia Migracyjne – Przegląd Polonijny,Adam_Anczyk_2
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1177/0084672420926259,2020-11-07,Archive for the Psychology of Religion,Adam_Anczyk_3
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1080/0048721x.2019.1681078,2020-01-02,Religion,Adam_Anczyk_4
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1080/10508619.2019.1687197,2019-10-02,The International Journal for the Psychology of Religion,Adam_Anczyk_5
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.5604/01.3001.0013.2969,2019-06-30,Psychologia wychowawcza,Adam_Anczyk_6
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.5604/01.3001.0013.2968,2019-06-30,Psychologia wychowawcza,Adam_Anczyk_7
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.4467/20843860pk.18.015.9193,2018,Przegląd kulturoznawczy,Adam_Anczyk_8
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1080/01416200.2016.1209457,2018,British Journal of Religious Education,Adam_Anczyk_9
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,Pluralism of methods in religious studies: A swot analysis,2017,Anthropos,Adam_Anczyk_10
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,The Sacred Texts Experiment : images of religious Others and their role in forming attitudes towards accepting Muslim refugees in Poland ,2017,Studia Migracyjne - Przegląd Polonijny,Adam_Anczyk_11
Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1558/pome.33300,2017,Pomegranate,Adam_Anczyk_12
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.35765/rfi.2021.2702.15,2021-12-30,Rocznik Filozoficzny Ignatianum,Jacek_Bielas_1
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1177/0033294119900348,2021-02-14,Psychological Reports,Jacek_Bielas_2
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1111/ejn.14773,2020-09-22,European Journal of Neuroscience,Jacek_Bielas_3
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1177/0959354319834672,2019-12-21,Theory & Psychology,Jacek_Bielas_4
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1007/s00221-019-05537-8,2019-07,Experimental Brain Research,Jacek_Bielas_5
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,https://doi.org/10.1016/j.neulet.2017.11.035,2018-02,Neuroscience Letters,Jacek_Bielas_6
Jacek Bielas,https://orcid.org/0000-0001-9771-4162,The view from within the brain: Does neurofeedback close the gap? ,2017,Journal of Consciousness Studies,Jacek_Bielas_7
Stefan Frydrychowicz,https://orcid.org/0000-0001-8318-6880,https://doi.org/10.14746/cis.2020.50.2,2020-12-15,Człowiek i Społeczeństwo,Stefan_Frydrychowicz_1
Tomasz Grzegorek,https://orcid.org/0000-0002-8317-4158,Czy jest jakiś pożytek ze studenckiej ankiety do ewaluacji zajęć?,2021-02,Nauka,Tomasz_Grzegorek_1
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.4467/25444972smpp.20.017.12333,2020,Studia Migracyjne – Przegląd Polonijny,Halina_Grzymała-Moszczyńska_1
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.1177/0084672420926259,2020-11-07,Archive for the Psychology of Religion,Halina_Grzymała-Moszczyńska_2
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.1080/0048721x.2019.1681078,2020-01-02,Religion,Halina_Grzymała-Moszczyńska_3
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,https://doi.org/10.1080/10508619.2019.1687197,2019-10-02,The International Journal for the Psychology of Religion,Halina_Grzymała-Moszczyńska_4
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,Pluralism of Methods in Religious Studies,2017,Anthropos,Halina_Grzymała-Moszczyńska_5
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,Psychological and educational counseling centers in the face of children and adolescents immigrating back to Poland,2017,Psychologia Wychowawcza,Halina_Grzymała-Moszczyńska_6
Halina Grzymała-Moszczyńska,https://orcid.org/0000-0003-2751-3204,The sacred text experiment : images of religious others and their role in forming attitudes towards accepting Muslim refugees in Poland,2017,Przegląd Migracyjny,Halina_Grzymała-Moszczyńska_7
Ewa Jaglarz,https://orcid.org/0000-0001-8754-8770,Aspiracje i plany życiowe młodzieży gimnazjum integracyjnego,2018,Niepełnosprawność i Rehabilitacja. nr 4,Ewa_Jaglarz_1
Ewa Jaglarz,https://orcid.org/0000-0001-8754-8770,Jakościowa charakterystyka stylu zarządzania miejscem pracy ze względu na warunki sprzyjające zatrudnianiu osób z niepełnosprawnością,2018,Niepełnosprawność. Dyskursy pedagogiki specjalnej,Ewa_Jaglarz_2
