name,orcid,link,date,journal,id
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.3390/ijerph18157730,2021-07,International Journal of Environmental Research and Public Health,Łukasz_Baka_1
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/mp.5893.01115,2021-07-01,Medycyna Pracy,Łukasz_Baka_2
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/ijomeh.1896.01745,2021-05-27,International Journal of Occupational Medicine and Environmental Health,Łukasz_Baka_3
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.24425/ppb.2019.126022,2019,Polish Psychological Bulletin,Łukasz_Baka_4
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/ijomeh.1896.01425,2019,International Journal of Occupational Medicine and Environmental Health,Łukasz_Baka_5
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.5604/01.3001.0013.2411,2019,Bezpieczeństwo Pracy. Nauka i Praktyka,Łukasz_Baka_6
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/ijomeh.1896.00.01187,2018,International Journal of Occupational Medicine and Environmental Health,Łukasz_Baka_7
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/ijomeh.1896.01187,2018,International Journal of Occupational Medicine and Environmental Health,Łukasz_Baka_8
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.14691/cppj.24.3.481,2018,Czasopismo Psychologiczne -Pychological Journal,Łukasz_Baka_9
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.5604/01.3001.0010.8528,2018,Bezpieczeństwo Pracy. Nauka i Praktyka,Łukasz_Baka_10
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.1080/09585192.2018.1443962,2018,International Journal of Human Resource Management,Łukasz_Baka_11
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.1080/10803548.2018.1463670,2018,International Journal of Occupational Safety and Ergonomics,Łukasz_Baka_12
Łukasz Baka,https://orcid.org/0000-0003-1173-9874,https://doi.org/10.13075/mp.5893.00569,2017,Medycyna Pracy,Łukasz_Baka_13
Natalia Elżbieta Banasik-Jemielniak,https://orcid.org/0000-0003-4568-3231,https://doi.org/10.1017/s0272263119000408,2020-03-06,Studies in Second Language Acquisition,Natalia_Elżbieta_Banasik-Jemielniak_1
Natalia Elżbieta Banasik-Jemielniak,https://orcid.org/0000-0003-4568-3231,https://doi.org/10.1371/journal.pone.0228538,2020-02-21,PLOS ONE,Natalia_Elżbieta_Banasik-Jemielniak_2
Natalia Elżbieta Banasik-Jemielniak,https://orcid.org/0000-0003-4568-3231,https://doi.org/10.1007/s10936-019-09654-x,2019-10,Journal of Psycholinguistic Research,Natalia_Elżbieta_Banasik-Jemielniak_3
Natalia Elżbieta Banasik-Jemielniak,https://orcid.org/0000-0003-4568-3231,https://doi.org/10.1080/02699206.2019.1637458,2019-07-10,Clinical Linguistics & Phonetics,Natalia_Elżbieta_Banasik-Jemielniak_4
Anna Maria Batory-Ginda,https://orcid.org/0000-0002-5308-3538,https://doi.org/10.1016/j.paid.2021.110988,2021-10,Personality and Individual Differences,Anna_Maria_Batory-Ginda_1
Katarzyna Chotkowska,https://orcid.org/0000-0002-4006-9446,https://doi.org/10.1002/capr.12292,2020-06-11,Counselling and Psychotherapy Research,Katarzyna_Chotkowska_1
Katarzyna Chotkowska,https://orcid.org/0000-0002-4006-9446,https://doi.org/10.15503/onis2019.56.62,2019-08-14,Ogrody Nauk i Sztuk,Katarzyna_Chotkowska_2
