name,orcid,link,date,journal,id
Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1016/j.neuroimage.2019.116084,2019-11,NeuroImage,Łukasz_Bola_1
Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.3389/fnhum.2018.00393,2018-10-02,Frontiers in Human Neuroscience,Łukasz_Bola_2
Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.3389/fpsyg.2017.00514,2017,Frontiers in Psychology,Łukasz_Bola_3
Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1038/s41598-017-17738-8,2017-12,Scientific reports,Łukasz_Bola_4
Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1073/pnas.1710492114,2017-07,Proceedings of the National Academy of Sciences of the United States of America,Łukasz_Bola_5
Łukasz Bola,https://orcid.org/0000-0003-3774-8664,https://doi.org/10.1073/pnas.1609000114,2017-01,Proceedings of the National Academy of Sciences of the United States of America,Łukasz_Bola_6
Anna Magdalena Chrzanowska,https://orcid.org/0000-0002-2412-4169,https://doi.org/10.1038/s41598-021-89289-y,2021-12,Scientific Reports,Anna_Magdalena_Chrzanowska_1
Anna Magdalena Chrzanowska,https://orcid.org/0000-0002-2412-4169,https://doi.org/10.3390/ani11041068,2021-04,Animals,Anna_Magdalena_Chrzanowska_2
Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.1080/09515089.2019.1647410,2019-09-26,Philosophical Psychology,Amadeusz_Dawid_Citlak_1
Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.1177/0084672421990754,2019-09-25,Archive for the Psychology of Religion,Amadeusz_Dawid_Citlak_2
Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.1037/hop0000029,2019-08,History of Psychology,Amadeusz_Dawid_Citlak_3
Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.1007/s10943-021-01241-6,2019-07-15,Journal of Religion and Health,Amadeusz_Dawid_Citlak_4
Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.18290/rpsych20232-1,2019-07-08,Annals of Psychology / Roczniki Psychologiczne,Amadeusz_Dawid_Citlak_5
Amadeusz Dawid Citlak,https://orcid.org/0000-0001-6550-1891 ,https://doi.org/10.7366/1896180020163904,2019-07-05,Psychologia Społeczna,Amadeusz_Dawid_Citlak_6
