name,orcid,link,date,journal,id
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1038/s41467-021-25207-0,2021-12,Nature Communications,Rafał_Piotr_Bartczuk_1
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1007/s10899-021-10015-4,2021-12-10,Journal of Gambling Studies,Rafał_Piotr_Bartczuk_2
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.13075/ijomeh.1896.01700,2021-05-27,International Journal of Occupational Medicine and Environmental Health,Rafał_Piotr_Bartczuk_3
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1016/j.chb.2020.106592,2021-02,Computers in Human Behavior,Rafał_Piotr_Bartczuk_4
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.17951/j.2020.33.3.123-144,2020-10-30,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia",Rafał_Piotr_Bartczuk_5
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych20231-1,2020-09-10,Roczniki Psychologiczne,Rafał_Piotr_Bartczuk_6
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych20231-2,2020-09-10,Roczniki Psychologiczne,Rafał_Piotr_Bartczuk_7
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1080/13674676.2019.1586861,2020-07-02,"Mental Health, Religion & Culture",Rafał_Piotr_Bartczuk_8
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1080/13674676.2019.1623766,2020-07-02,"Mental Health, Religion & Culture",Rafał_Piotr_Bartczuk_9
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.1177/0004865819890379,2020-06-05,Australian & New Zealand Journal of Criminology,Rafał_Piotr_Bartczuk_10
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.3390/rel11020064,2020-01-29,Religions,Rafał_Piotr_Bartczuk_11
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.3390/ijerph17020404,2020-01-08,International Journal of Environmental Research and Public Health,Rafał_Piotr_Bartczuk_12
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,Analiza strukturalna zasobów u osób zagrożonych marginalizacją społeczną – Kwestionariusz Zachowania Zasobów Hobfolla,2019,Przegląd Psychologiczny,Rafał_Piotr_Bartczuk_13
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.26325/genpr.2019.1.1,2019,General and Professional Education,Rafał_Piotr_Bartczuk_14
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,Psychometric validation of the Adolescence Deconversion Scale,2019,Przegląd Psychologiczny,Rafał_Piotr_Bartczuk_15
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,Structural analysis of resources  in those at risk of social marginalization – Hobfoll’s Conservation of Resources Evaluation,2019,Przegląd Psychologiczny,Rafał_Piotr_Bartczuk_16
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,Walidacja psychometryczna Skali Dekonwersji Młodzieży,2019,Przegląd Psychologiczny,Rafał_Piotr_Bartczuk_17
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych.2017.20.1-5en,2017,Roczniki Psychologiczne,Rafał_Piotr_Bartczuk_18
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych.2017.20.1-5pl,2017,Roczniki Psychologiczne,Rafał_Piotr_Bartczuk_19
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych.2017.20.1-1pl,2017,Roczniki Psychologiczne,Rafał_Piotr_Bartczuk_20
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,https://doi.org/10.18290/rpsych.2017.20.1-1en,2017,Roczniki Psychologiczne,Rafał_Piotr_Bartczuk_21
Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,Tożsamość religijna a gotowość do wejścia w dialog międzyreligijny,2017,Przegląd Religioznawczy,Rafał_Piotr_Bartczuk_22
Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.1017/s0144686x21001689,2021-11-15,Ageing and Society,Wacław_Jan_Bąk_1
Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.5114/cipp.2021.104801,2021-04-10,Current Issues in Personality Psychology,Wacław_Jan_Bąk_2
Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.18290/rpsych20234-1,2021-03-19,Roczniki Psychologiczne,Wacław_Jan_Bąk_3
Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.1016/j.paid.2021.110815,2021-03-10,Personality and Individual Differences,Wacław_Jan_Bąk_4
Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.24425/ppb.2020.134725,2020-12-08,Polish Psychological Bulletin,Wacław_Jan_Bąk_5
Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,https://doi.org/10.1016/j.paid.2019.01.034,2019,Personality and Individual Differences,Wacław_Jan_Bąk_6
Wacław Jan Bąk,https://orcid.org/0000-0001-8629-6292,Emocjonalne konsekwencje rozbieżności w systemie Ja - moderująca rola poczucia humoru,2018,Przegląd Naukowo-Metodyczny Edukacja dla bezpieczeństwa,Wacław_Jan_Bąk_7
Agata Patrycja Błachnio,https://orcid.org/0000-0002-2384-2396,https://doi.org/10.1002/ijop.12790,2021-12,International Journal of Psychology,Agata_Patrycja_Błachnio_1
Agata Patrycja Błachnio,https://orcid.org/0000-0002-2384-2396,https://doi.org/10.1080/07420528.2020.1851703,2021-02-01,Chronobiology International,Agata_Patrycja_Błachnio_2
Agata Patrycja Błachnio,https://orcid.org/0000-0002-2384-2396,https://doi.org/10.1007/s12144-021-01374-7,2021-01-26,Current Psychology,Agata_Patrycja_Błachnio_3
Agata Patrycja Błachnio,https://orcid.org/0000-0002-2384-2396,https://doi.org/10.1111/sjop.12534,2019-06,Scandinavian Journal of Psychology,Agata_Patrycja_Błachnio_4
Agata Patrycja Błachnio,https://orcid.org/0000-0002-2384-2396,https://doi.org/10.1016/j.psychres.2017.11.012,2018,Psychiatry Research,Agata_Patrycja_Błachnio_5
