name,orcid,link,date,journal
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1080/17522439.2021.1945664,2021-07-05,Psychosis
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/115554,2020-06-30,Psychiatria Polska
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1093/schbul/sbaa030.377,2020-05-18,Schizophrenia Bulletin
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1111/eip.12829,2019-05,Early intervention in psychiatry
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.jad.2019.05.008,2019-05,Journal of affective disorders
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/91915,2019-02,Psychiatria polska
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.psychres.2019.01.044,2019-01,Psychiatry research
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.12740/pp/onlinefirst/79835,2018-10,Psychiatria polska
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1080/07420528.2018.1463236,2018-05,Chronobiology international
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.1016/j.jad.2018.02.017,2018-02,Journal of affective disorders
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,Profiles of empathic sensitivity in students of the last year of medicine.,2018-01,Folia medica Cracoviensia
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,"Attitudes of croatian and polish elementary school teachers towards inclusive education of children with disabilities,Stavovi hrvatskih i poljskih učitelja primarnog obrazovanja prema inkluzivnom obrazovanju djece s teškoćAMA",2017,Hrvatska Revija Za Rehabilitacijska Istrazivanja
Aleksandra Izabela Arciszewska-Leszczuk,https://orcid.org/0000-0002-1762-3963,https://doi.org/10.24869/psyd.2017.322,2017-09,Psychiatria Danubina
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,Warning behaviours and risk factors preceding acts of individual terrorism,2019,Problems of Forensic Sciences / Z Zagadnień Nauk Sądowych
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,https://doi.org/10.5604/01.3001.0014.1249,2019,Studies in Sport Humanities
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,"Formulation in forensic psychiatry: Problems, challenges and the usefulness of psycho-criminological concepts,Konceptualizacja przypadku w psychiatrii sądowej – Problemy, wyzwania, użyteczność koncepcji psychokryminologicznych",2018,Z Zagadnien Nauk Sadowych
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,https://doi.org/10.12740/pp/73973,2017,Psychiatria Polska
Marlena Banasik,https://orcid.org/0000-0002-5329-4984,"Protective factors: Theoretical assumptions, measurement tools and diagnostic efficacy of the construct in risk assessment of violence in youth,Czynniki ochronne - Założenia teoretyczne, narzȩdzia pomiarowe i użyteczność diagnostyczna konstruktu w ocenie ryzyka przemocy u młodzieży",2017,Z Zagadnien Nauk Sadowych
RÃ³Å¼a Alicja BanaÅ›kiewicz-BaziÅ„ska,https://orcid.org/0000-0001-8354-5521,https://doi.org/10.3389/fpsyg.2020.506085,2021,Frontiers in Psychology
RÃ³Å¼a Alicja BanaÅ›kiewicz-BaziÅ„ska,https://orcid.org/0000-0001-8354-5521,https://doi.org/10.1016/j.paid.2020.110060,2020,Personality and Individual Differences
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1080/08870446.2020.1784419,2021,Psychology and Health
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1111/aphw.12225,2021,Applied Psychology: Health and Well-Being
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1093/abm/kaab004,2021-11-18,Annals of Behavioral Medicine
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1016/j.socscimed.2021.114336,2021-10,Social Science & Medicine
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1016/j.bbi.2020.04.013,2020,"Brain, Behavior, and Immunity"
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,DOES A FORMATION OF PHYSICAL ACTIVITY PLANS DECREASE THE TIME SPENT ON SEDENTARY BEHAVIOR? PRELIMINARY FINDINGS,2020,Annals of Behavioral Medicine
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,"MY PLANS HELP YOU PLAN YOUR PHYSICAL ACTIVITY: ASSOCIATION BETWEEN INDIVIDUAL, DYADIC AND COLLABORATIVE PLANS IN ADULT DYADS",2020,Annals of Behavioral Medicine
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.3389/fpsyg.2020.00161,2020,Frontiers in Psychology
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,POSITIVE AND NEGATIVE SOCIAL CONTROL AND PHYSICAL ACTIVITY IN PATIENT-PARTNER DYADS,2020,Annals of Behavioral Medicine
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,RECIPROCAL ASSOCIATIONS BETWEEN PHYSICAL ACTIVITY AND DEPRESSION. LONGITUDINAL RESEARCH IN PATIENT-PARTNER DYADS,2020,Annals of Behavioral Medicine
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,RECIPROCAL RELATIONSHIPS BETWEEN SELF-EFFICACY AND SOCIAL SUPPORT EXPLAIN PHYSICAL ACTIVITY IN ADULTS - A LONGITUDINAL STUDY,2020,Annals of Behavioral Medicine
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.3390/nu12072149,2020-07,Nutrients
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1186/s12889-019-6715-3,2019-12,BMC Public Health
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1037/rep0000281,2019-05-30,Rehabilitation Psychology
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1037/rep0000199,2018,Rehabilitation Psychology
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1007/s12160-016-9821-9,2017,Annals of Behavioral Medicine
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1080/17437199.2017.1327325,2017,Health Psychology Review
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.1186/s12955-017-0645-5,2017,Health and Quality of Life Outcomes
Anna Aleksandra Banik,https://orcid.org/0000-0002-8674-9981,https://doi.org/10.5114/cipp.2015.52085,unrecovered,
WiesÅ‚aw Jerzy BaryÅ‚a,http://orcid.org/0000-0001-9929-1992,https://doi.org/10.1111/desc.13038,2021-03,Developmental Science
WiesÅ‚aw Jerzy BaryÅ‚a,http://orcid.org/0000-0001-9929-1992,https://doi.org/10.1111/spc3.12572,2020-12-24,Social and Personality Psychology Compass
WiesÅ‚aw Jerzy BaryÅ‚a,http://orcid.org/0000-0001-9929-1992,https://doi.org/10.1016/j.paid.2019.02.025,2019-07,Personality and Individual Differences
WiesÅ‚aw Jerzy BaryÅ‚a,http://orcid.org/0000-0001-9929-1992,https://doi.org/10.1016/j.jesp.2018.06.007,2018-11,Journal of Experimental Social Psychology
Dorota Balbina Bednarek,https://orcid.org/0000-0003-4777-2588,https://doi.org/10.36145/doc2020.19,2020,Dyskursy o kulturze Discourses on Culture
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.3389/fpsyg.2021.553964,2021,Frontiers in Psychology
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.31648/pp.7838,2021-12-21,Przegląd Psychologiczny
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.3389/fpsyg.2020.01241,2020,Frontiers in Psychology
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1002/pits.22413,2020-09-05,Psychology in the Schools
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1007/s11218-020-09557-z,2020-04-25,Social Psychology of Education
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1007/s11218-019-09478-6,2019-04-19,Social Psychology of Education
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1097/jom.0000000000001226,2018,Journal of occupational and environmental medicine
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.3389/fpsyg.2018.00428,2018,Frontiers in psychology
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.2478/v1067-010-0159-2,2017,Studia Psychologiczne
Sylwia BedyÅ„ska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1177/1359105317727842,2017,Journal of health psychology
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1186/s12905-021-01174-y,2021-12,BMC Women's Health
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1186/s12992-021-00782-5,2021-12,Globalization and Health
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.3389/fpsyg.2021.656960,2021-06-29,Frontiers in Psychology
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.3389/fpsyg.2021.647975,2021-05-17,Frontiers in Psychology
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1007/s12144-018-0092-4,2021-04-13,Current Psychology
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1371/journal.pone.0233337,2020-05-22,PLOS ONE
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1007/s40732-019-00340-x,2019-09-22,The Psychological Record
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1038/s41598-019-45376-9,2019-06-19,Scientific Reports
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1080/13548506.2018.1459750,2018-04-03,"Psychology, Health & Medicine"
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1007/s40732-017-0244-1,2017,Psychological Record
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1515/ppb-2017-0060,2017,Polish Psychological Bulletin
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1515/ppb-2017-0051,2017,Polish Psychological Bulletin
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1515/ppb-2017-0052,2017,Polish Psychological Bulletin
Wojciech Zygmunt BiaÅ‚aszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1371/journal.pone.0182353,2017,PLoS ONE
Olga Aleksandra BiaÅ‚obrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.32872/spb.4683,2020-12-23,Social Psychological Bulletin
Olga Aleksandra BiaÅ‚obrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1016/j.paid.2019.02.025,2019-07,Personality and Individual Differences
Olga Aleksandra BiaÅ‚obrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1371/journal.pone.0213183,2019-02-28,PLOS ONE
Olga Aleksandra BiaÅ‚obrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1016/j.lindif.2018.04.011,2019-01,Learning and Individual Differences
Olga Aleksandra BiaÅ‚obrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1177/2515245918810225,2018-12-24,Advances in Methods and Practices in Psychological Science.
Olga Aleksandra BiaÅ‚obrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1016/j.paid.2018.01.018,2018-05,Personality and Individual Differences
Olga Aleksandra BiaÅ‚obrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1177/1745691618755704,2018-02,Perspectives on psychological science : a journal of the Association for Psychological Science
Olga Aleksandra BiaÅ‚obrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1515/ppb-2017-0048,2017-09,Polish Psychological Bulletin
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3390/brainsci11020178,2021-02,Brain Sciences
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.1080/09540121.2019.1699641,2020,AIDS Care
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.26444/aaem/131119,2020,Annals of Agricultural and Environmental Medicine
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.1038/s41598-020-63296-x,2020,Scientific Reports
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.12740/pp/onlinefirst/121980,2020-11,Psychiatria Polska
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5114/aic.2019.81438,2019,Advances in Interventional Cardiology
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5114/wiitm.2019.84678,2019,Wideochirurgia I Inne Techniki Maloinwazyjne
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5114/ceh.2019.89148,2019,Clinical and Experimental Hepatology
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3389/fpsyg.2019.01757,2019,Frontiers in Psychology
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5603/cj.a2017.0059,2018,Cardiology Journal
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.1111/anec.12564,2018,Annals of Noninvasive Electrocardiology
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.1002/hbm.24208,2018,Human brain mapping
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,RELATIONSHIP OF EMOTIONAL DISTRESS AND PHYSICAL CONCERNS WITH FATIGUE SEVERITY IN SARCOIDOSIS,2018,Sarcoidosis Vasculitis and Diffuse Lung Diseases
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3389/fpsyg.2017.01614,2017,Frontiers in Psychology
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3389/fnhum.2017.00285,2017,Frontiers in Human Neuroscience
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3389/fpsyg.2017.01365,2017,Frontiers in Psychology
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.18388/abp.2016_1436,2017,Acta Biochimica Polonica
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5603/fc.2019.0008,unrecovered,Folia Cardiologica
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.3390/nu12072149,2020-07-19,Nutrients
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.3389/fpsyg.2020.00161,2020-02-07,Frontiers in Psychology
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1007/s10865-020-00138-1,2020-01-31,Journal of Behavioral Medicine
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1037/hea0000799,2019-12,Health Psychology
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1111/bjhp.12385,2019-11,British Journal of Health Psychology
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1007/s12529-019-09780-9,2019-06,International Journal of Behavioral Medicine
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1111/bjhp.12354,2019-05,British Journal of Health Psychology
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1016/j.mhpa.2019.03.002,2019-03,Mental Health and Physical Activity
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1080/17437199.2017.1396191,2018,Health Psychology Review
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1016/j.psychsport.2017.09.007,2018,Psychology of Sport and Exercise
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1080/08870446.2018.1489049,2018-10-03,Psychology & Health
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1515/hukin-2017-0149,2017,Journal of Human Kinetics
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1186/s12955-017-0645-5,2017,Health and Quality of Life Outcomes
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1177/01461672211013272,2021-05-28,Personality and Social Psychology Bulletin
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1016/j.jesp.2020.104098,2020-12-30,
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1371/journal.pone.0244429,2020-12-30,PLoS ONE
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1111/desc.13038,2020-10,Developmental Science
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1111/spc3.12572,2020-10-24,Social and Personality Psychology Compass
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1111/sode.12480,2020-09,Social Development
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1002/ejsp.2694,2020-06-04,European Journal of Social Psychology
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1177/2515245918810225,2018,Advances in Methods and Practices in Psychological Science
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1016/j.jesp.2018.06.007,2018-11,Journal of Experimental Social Psychology
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.5964/spb.v13i2.26062,2018-05,Social Psychological Bulletin
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1515/ppb-2017-0048,2017-09,Polish Psychological Bulletin
Edyta Ewa Bonk,https://orcid.org/0000-0001-7663-5262,https://doi.org/10.1080/03601277.2017.1283931,2017,Educational Gerontology
Anna Braniecka,https://orcid.org/0000-0003-1862-3284,https://doi.org/10.1002/brb3.1213,2019-02-21,Brain and Behavior
Elwira BrygoÅ‚a,https://orcid.org/0000-0002-6326-7760,https://doi.org/10.4467/20843879pr.19.004.10595,2019,Psychologia Rozwojowa
Elwira BrygoÅ‚a,https://orcid.org/0000-0002-6326-7760,Personality traits and subjective well-being with regard to problem of infertility: The mediating role of implicit self-theories and life-engagement,2018-04-07,Polish Psychological Bulletin
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,https://doi.org/10.3390/nu13082504,2021-07-22,Nutrients
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,https://doi.org/10.7554/elife.60595,2021-05-26,eLife
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,https://doi.org/10.1016/j.heliyon.2021.e06724,2021-04,Heliyon
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Ambiguous at the second sight: Mixed facial expressions trigger late electrophysiological responses linked to lower social impressions,2020,"Cognitive, Affective, & Behavioral Neuroscience"
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Combined phase-rate coding by persistently active neurons as a mechanism for maintaining multiple items in working memory in humans,2020,Neuron
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Gry wideo a zmiany strukturalne mózgu,2020,Kosmos
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Lenticular nucleus volume predicts performance in real-time strategy game-cross-sectional and training approach using voxel-based morphometry,2020,bioRxiv
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Lenticular nucleus volume predicts performance in real-time strategy game: cross-sectional and training approach using voxel-based morphometry,2020,Annals of the New York Academy of Sciences
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Three times NO: no relationship between frontal alpha asymmetry and depressive disorders in a multiverse analysis of three studies.,2020,BioRxiv
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Working Memory Training for Older Participants: A Control Group Training Regimen and Initial Intellectual Functioning Assessment.,2020,Journal of Visualized Experiments: Jove
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Wpływ marihuany na aktywnósć elektryczną mózgu,2020,Kosmos
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Wpływ mikrobiomu jelitowego na mózg i psychikę,2020,Kosmos
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Coupling between brain structures during visual and auditory working memory tasks,2019,International journal of neural systems
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,P27-T Common pattern of information transfer in the brain for different modalities during a reasoning task,2019,Clinical Neurophysiology
