name,orcid,link,date,journal,id
Krystyna Elżbieta Adamska,https://orcid.org/0000-0002-3605-3919,https://doi.org/10.5114/cipp.2017.68335,2017,Current Issues in Personality Psychology,Krystyna_Elżbieta_Adamska_1
Krystyna Elżbieta Adamska,https://orcid.org/0000-0002-3605-3919,https://doi.org/10.7366/1896180020174307,2017,Psychologia Społeczna,Krystyna_Elżbieta_Adamska_2
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.1016/j.psyneuen.2021.105294,2021-09,Psychoneuroendocrinology,Paulina_Anikiej_-_Wiczenbach_1
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.3390/ijerph18094815,2021-04-30,International Journal of Environmental Research and Public Health,Paulina_Anikiej_-_Wiczenbach_2
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,Validation of the Parental Responsiveness Scale,2021-04-10,Current Issues in Personality Psychology,Paulina_Anikiej_-_Wiczenbach_3
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,"Diagnosis of children with sanfilippo disease – psychological, social and motor assessment",2020,Acta Neuropsychologica,Paulina_Anikiej_-_Wiczenbach_4
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.3390/ijerph17218050,2020,International Journal of Environmental Research and Public Health,Paulina_Anikiej_-_Wiczenbach_5
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,Dystrofia mięśniowa Duchenne'a - funkcjonowanie poznawcze,2020,,Paulina_Anikiej_-_Wiczenbach_6
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.1002/mgg3.1356,2020-09,Molecular Genetics & Genomic Medicine,Paulina_Anikiej_-_Wiczenbach_7
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.1080/03004430.2020.1753719,2020-05-13,Early Child Development and Care,Paulina_Anikiej_-_Wiczenbach_8
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,Wybrane aspekty poznawczego funkcjonowania dorosłego rodzeństwa z galaktozemią klasyczną,2019,Psychiatria,Paulina_Anikiej_-_Wiczenbach_9
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,Aktualizacja-siebie rodziców dzieci z dystrofią mięśniową Duchenne’a,2018,"Niepełnosprawność - Zagadnienia, Problemy, Rozwiązania",Paulina_Anikiej_-_Wiczenbach_10
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,https://doi.org/10.5604/01.3001.0011.8321,2018,Acta Neuropsychologica,Paulina_Anikiej_-_Wiczenbach_11
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,Dysmorfie twarzy w zwierciadle społecznych ustosunkowań,2018,,Paulina_Anikiej_-_Wiczenbach_12
Paulina Anikiej - Wiczenbach,https://orcid.org/0000-0002-7090-211X,Empathic parenting - dimensions of empathy and attachment as predictors of the responsiveness of mothers and fathers towards toddlers/infants ,unrecovered,Przegląd Psychologiczny,Paulina_Anikiej_-_Wiczenbach_13
Paweł Andrzej Atroszko,https://orcid.org/0000-0001-5707-3882,https://doi.org/10.1007/s12144-021-01554-5,2021,Current Psychology,Paweł_Andrzej_Atroszko_1
