name,orcid,link,date,journal,id
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.3389/fpsyt.2021.648386,2021,Frontiers in Psychiatry,Jan_Cieciuch_1
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.24425/ppb.2021.137887,2021,Polish Psychological Bulletin,Jan_Cieciuch_2
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.24425/ppb.2021.137886,2021,Polish Psychological Bulletin,Jan_Cieciuch_3
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.3389/fpsyg.2021.711323,2021,Frontiers in Psychology,Jan_Cieciuch_4
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.31648/przegldpsychologiczny.7786,2021-12-22,Przegląd Psychologiczny,Jan_Cieciuch_5
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1016/j.paid.2021.111052,2021-10,Personality and Individual Differences,Jan_Cieciuch_6
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1007/s12144-021-02367-2,2021-10-12,Current Psychology,Jan_Cieciuch_7
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1111/jopy.12627,2021-10-08,Journal of Personality,Jan_Cieciuch_8
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1111/jopy.12616,2021-08-09,Journal of Personality,Jan_Cieciuch_9
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.21697/sp.2021.21.1.01,2021-08-04,Studia Psychologica,Jan_Cieciuch_10
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1007/s12144-019-00291-0,2021-07,Current Psychology,Jan_Cieciuch_11
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1016/j.paid.2020.110544,2021-03,Personality and Individual Differences,Jan_Cieciuch_12
Jan Cieciuch,https://orcid.org/0000-0002-2291-8301,https://doi.org/10.1037/pas0000901,2021-03-22,Psychological Assessment,Jan_Cieciuch_13
