name,orcid,link,date,journal,id
ADRIANNA WERONIKA BOBER,https://orcid.org/0000-0003-2242-2311,https://doi.org/10.3390/ijerph19010230,2021-12-26,International Journal of Environmental Research and Public Health,ADRIANNA_WERONIKA_BOBER_1
ADRIANNA WERONIKA BOBER,https://orcid.org/0000-0003-2242-2311,https://doi.org/10.3390/jcm10184199,2021-09-16,Journal of Clinical Medicine,ADRIANNA_WERONIKA_BOBER_2
ADRIANNA WERONIKA BOBER,https://orcid.org/0000-0003-2242-2311,https://doi.org/10.3390/jcm10143158,2021-07,Journal of Clinical Medicine,ADRIANNA_WERONIKA_BOBER_3
MAGDALENA MIROSŁAWA CHĘĆ,https://orcid.org/0000-0001-8666-4905,https://doi.org/10.12740/app/109628,2019-09-07,Archives of Psychiatry and Psychotherapy,MAGDALENA_MIROSŁAWA_CHĘĆ_1
MAGDALENA MIROSŁAWA CHĘĆ,https://orcid.org/0000-0001-8666-4905,https://doi.org/10.1080/00220671.2016.1157783,2017,Journal of Educational Research,MAGDALENA_MIROSŁAWA_CHĘĆ_2
ADAM PAWEŁ FALEWICZ,https://orcid.org/0000-0002-0412-7602,https://doi.org/10.34766/fetr.v48i4.989,2021-12-30,Kwartalnik Naukowy Fides et Ratio,ADAM_PAWEŁ_FALEWICZ_1
ADAM PAWEŁ FALEWICZ,https://orcid.org/0000-0002-0412-7602,https://doi.org/10.3390/rel12121049,2021-11,Religions,ADAM_PAWEŁ_FALEWICZ_2
ADAM PAWEŁ FALEWICZ,https://orcid.org/0000-0002-0412-7602,Psychological theories of stress and coping,2017,Studia Paradyskie,ADAM_PAWEŁ_FALEWICZ_3
KAROLINA KALISZEWSKA,https://orcid.org/0000-0002-3925-8397,https://doi.org/10.14746/ikps.2017.17.05,2018-09-09,Interdyscyplinarne Konteksty Pedagogiki Specjalnej,KAROLINA_KALISZEWSKA_1
KAROL MARCIN KARASIEWICZ,https://orcid.org/0000-0002-5890-6118,https://doi.org/10.3390/jcm10184199,2021-09-16,Journal of Clinical Medicine,KAROL_MARCIN_KARASIEWICZ_1
KAROL MARCIN KARASIEWICZ,https://orcid.org/0000-0002-5890-6118,https://doi.org/10.1007/s11332-020-00722-7,2021-03-03,Sport Sciences for Health,KAROL_MARCIN_KARASIEWICZ_2
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.3390/brainsci11111420,2021-10-27,Brain Sciences,MAGDALENA_TERESA_KERESTEY_1
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.3390/jcm10143158,2021-07-17,Journal of Clinical Medicine,MAGDALENA_TERESA_KERESTEY_2
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.3390/jcm10132782,2021-06-24,Journal of Clinical Medicine,MAGDALENA_TERESA_KERESTEY_3
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.1016/j.pnpbp.2020.109955,2020-08,Progress in Neuro-Psychopharmacology and Biological Psychiatry,MAGDALENA_TERESA_KERESTEY_4
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.18290/rpsych.2018.21.3-5,2018,Roczniki Psychologiczne,MAGDALENA_TERESA_KERESTEY_5
KRYSTIAN MICHAŁ KONIECZNY,https://orcid.org/0000-0002-9779-0947,https://doi.org/10.12740/app/143999,2021-11-21,Archives of Psychiatry and Psychotherapy,KRYSTIAN_MICHAŁ_KONIECZNY_1
KRYSTIAN MICHAŁ KONIECZNY,https://orcid.org/0000-0002-9779-0947,https://doi.org/10.12740/pp/100373,2019-08-31,Psychiatria Polska,KRYSTIAN_MICHAŁ_KONIECZNY_2
ZDZISŁAW STANISŁAW KROPLEWSKI,https://orcid.org/0000-0003-4842-661X,https://doi.org/10.3390/rel12121049,2021-11,Religions,ZDZISŁAW_STANISŁAW_KROPLEWSKI_1
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.12740/pp/82028,2019,Psychiatria Polska,MARIA_ANTONINA_LIGOCKA_1
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.37096/shdisj-19-1.1-0003,2019-12-15,Socialization & Human Development: International Scientific Journal,MARIA_ANTONINA_LIGOCKA_2
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.1016/j.paid.2017.12.008,2018,Personality and Individual Differences,MARIA_ANTONINA_LIGOCKA_3
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.21164/pomjlifesci.493,2018-12-20,Pomeranian Journal of Life Sciences,MARIA_ANTONINA_LIGOCKA_4
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.1016/j.physbeh.2017.08.018,2017,Physiology and Behavior,MARIA_ANTONINA_LIGOCKA_5
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.29359/bjhpa.09.4.14,2017-12-31,Baltic journal of Health and Physical Activity,MARIA_ANTONINA_LIGOCKA_6
SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,https://doi.org/10.3390/jcm10112225,2021-05,Journal of Clinical Medicine,SYLWIA_NATALIA_MICHAŁOWSKA_1
SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,Psychosocial context of the decision-making process and the consequences of preventive procedures in a patient with BRCA1 genetic mutation,2020,Archives of Psychiatry and Psychotherapy,SYLWIA_NATALIA_MICHAŁOWSKA_2
SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,https://doi.org/10.12740/app/112143,2019-12-18,Archives of Psychiatry and Psychotherapy,SYLWIA_NATALIA_MICHAŁOWSKA_3
SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,Styles of coping with stress and the level of anxiety in patients with cancer,2019-06,Archives of Psychiatry and Psychotherapy,SYLWIA_NATALIA_MICHAŁOWSKA_4
