name,orcid,link,date,journal,id
Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.1016/j.concog.2019.102798,2019-10,Consciousness and Cognition,Anna_Anzulewicz_1
Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.1136/bmjopen-2018-026226,2019-07,BMJ open,Anna_Anzulewicz_2
Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.3758/s13414-019-01781-w,2019-06-05,"Attention, Perception, & Psychophysics",Anna_Anzulewicz_3
Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.1111/cogs.12578,2018-01,Cognitive science,Anna_Anzulewicz_4
Anna Anzulewicz,https://orcid.org/0000-0002-3065-2136,https://doi.org/10.1038/s41598-017-14209-y,2017-10,Scientific Reports,Anna_Anzulewicz_5
Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1016/j.jocn.2020.11.027,2021,Journal of Clinical Neuroscience,Aleksandra_Bala_1
Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1371/journal.pone.0257678,2021-09-30,PLOS ONE,Aleksandra_Bala_2
Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.3389/fneur.2021.727055,2021-08-26,Frontiers in Neurology,Aleksandra_Bala_3
Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1007/s10143-021-01602-5,2021-07-22,Neurosurgical Review,Aleksandra_Bala_4
Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1109/jsen.2020.3012404,2020,IEEE Sensors Journal,Aleksandra_Bala_5
Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1038/s41598-018-36031-w,2019,Scientific Reports,Aleksandra_Bala_6
Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1176/appi.neuropsych.17080153,2018,Journal of Neuropsychiatry and Clinical Neurosciences,Aleksandra_Bala_7
Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1016/j.yebeh.2017.04.016,2017,Epilepsy and Behavior,Aleksandra_Bala_8
Aleksandra Bala,https://orcid.org/0000-0001-6239-7232,https://doi.org/10.1038/s41598-017-00565-2,2017,Scientific Reports,Aleksandra_Bala_9
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1111/jopy.12636,2021,JOURNAL OF PERSONALITY,Tomasz_Jerzy_Baran_1
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1037/rel0000273,2021,Psychology of Religion and Spirituality,Tomasz_Jerzy_Baran_2
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1177/1948550620963655,2020,Social Psychological and Personality Science,Tomasz_Jerzy_Baran_3
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1037/pspp0000260,2020,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,Tomasz_Jerzy_Baran_4
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1037/sgd0000446,2020,Psychology of Sexual Orientation and Gender Diversity,Tomasz_Jerzy_Baran_5
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.3390/ijerph17124565,2020,International Journal of Environmental Research and Public Health,Tomasz_Jerzy_Baran_6
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1002/ijop.12487,2019,INTERNATIONAL JOURNAL OF PSYCHOLOGY,Tomasz_Jerzy_Baran_7
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.1002/per.2206,2019,EUROPEAN JOURNAL OF PERSONALITY,Tomasz_Jerzy_Baran_8
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.19195/2083-7763.9.17,2019-04-17,Forum Socjologiczne,Tomasz_Jerzy_Baran_9
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,Fear of missing out a korzystanie z urządzeń umożliwiających dostęp do mediów społecznościowych na podstawie badań polskich internautów,2018,Forum Socjologiczne,Tomasz_Jerzy_Baran_10
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,Fear of missing out a korzystanie z urządzeń umożliwiających dostęp do mediów społecznościowych na podstawie badań polskich internautów,2018,Forum Socjologiczne,Tomasz_Jerzy_Baran_11
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,Fear of Missing Out a korzystanie z urządzeń umożliwiających dostęp do mediów społecznościowych – w oparciu o badania polskich internautów,2018,Forum Socjologiczne,Tomasz_Jerzy_Baran_12
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,Corruption and Sexual Scandal: The Importance of Politician Gender,2017,Anales de Psicologia,Tomasz_Jerzy_Baran_13
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.6018/analesps.32.3.229171,2017,Anales de Psicologia,Tomasz_Jerzy_Baran_14
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,Roszczeniowość psychologiczna a metoda jej pomiaru: Polska adaptacja Skali roszczeniowości psychologicznej (PES),2017,SOCIAL PSYCHOLOGICAL BULLETIN (PSYCHOLOGIA SPOLECZNA),Tomasz_Jerzy_Baran_15
Tomasz Jerzy Baran,https://orcid.org/0000-0003-2922-7551,https://doi.org/10.7366/1896180020163809,2017,PSYCHOLOGIA SPOLECZNA,Tomasz_Jerzy_Baran_16
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.1007/s11211-021-00373-0,2021-07-21,Social Justice Research,Kamilla_Bargiel-Matusiewicz_1
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.1007/s12144-020-01249-3,2021-02-06,Current Psychology,Kamilla_Bargiel-Matusiewicz_2
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.1002/jclp.23011,2020-12-27,Journal of Clinical Psychology,Kamilla_Bargiel-Matusiewicz_3
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3390/rel11030132,2020-03-16,Religions,Kamilla_Bargiel-Matusiewicz_4
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3389/fpsyg.2019.01526,2019,Frontiers in Psychology,Kamilla_Bargiel-Matusiewicz_5
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.1177/0391398818823765,2019,International Journal of Artificial Organs,Kamilla_Bargiel-Matusiewicz_6
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.1080/13548506.2019.1619789,2019,"Psychology, Health and Medicine",Kamilla_Bargiel-Matusiewicz_7
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3389/fpsyg.2019.02011,2019-09-04,Frontiers in Psychology,Kamilla_Bargiel-Matusiewicz_8
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3389/fpsyg.2018.02316,2018,Frontiers in Psychology,Kamilla_Bargiel-Matusiewicz_9
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,Hormonal contraception use in social and psychological context,2017,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",Kamilla_Bargiel-Matusiewicz_10
Kamilla Bargiel-Matusiewicz,https://orcid.org/0000-0002-9467-2267,https://doi.org/10.3389/fpsyg.2017.01245,2017,Frontiers in Psychology,Kamilla_Bargiel-Matusiewicz_11
Julia Izabela Barlińska,https://orcid.org/0000-0001-6014-9390,https://doi.org/10.14746/ikps.2018.20.05,2018-10-22,Interdyscyplinarne Konteksty Pedagogiki Specjalnej,Julia_Izabela_Barlińska_1
Julia Izabela Barlińska,https://orcid.org/0000-0001-6014-9390,https://doi.org/10.3389/fpsyg.2018.00799,2018-05,Frontiers in Psychology,Julia_Izabela_Barlińska_2
Michał Kamil Bilewicz,https://orcid.org/0000-0001-5027-1691,https://doi.org/10.1080/00918369.2016.1179029,2017,Journal of Homosexuality,Michał_Kamil_Bilewicz_1
Michał Kamil Bilewicz,https://orcid.org/0000-0001-5027-1691,https://doi.org/10.1016/j.paid.2016.09.058,2017,Personality and Individual Differences,Michał_Kamil_Bilewicz_2
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.1007/s10936-019-09654-x,2019,Journal of Psycholinguistic Research,Barbara_Janina_Bokus_1
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.5604/01.3001.0013.2960,2019,Psychologia Wychowawcza,Barbara_Janina_Bokus_2
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,"Разбиране от деца и юноши на метафори, описващи хора",2018,Ezik i literatura,Barbara_Janina_Bokus_3
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.1515/plc-2017-0018,2017,Psychology of Language and Communication,Barbara_Janina_Bokus_4
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.1515/plc-2017-0005,2017,Psychology of Language and Communication,Barbara_Janina_Bokus_5
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.3389/fpsyg.2017.02215,2017,Frontiers in Psychology,Barbara_Janina_Bokus_6
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.3390/su131911119,2021-10-08,Sustainability,Magdalena_Daria_Budziszewska_1
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1177/0022167821993243,2021-02-10,Journal of Humanistic Psychology,Magdalena_Daria_Budziszewska_2
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1007/s10508-020-01800-0,2020,Archives of Sexual Behavior,Magdalena_Daria_Budziszewska_3
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.3389/fpsyg.2020.570928,2020,Frontiers in Psychology,Magdalena_Daria_Budziszewska_4
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1177/0743558419845870,2020-09-29,Journal of Adolescent Research,Magdalena_Daria_Budziszewska_5
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1177/0143034319867745,2019,SCHOOL PSYCHOLOGY INTERNATIONAL,Magdalena_Daria_Budziszewska_6
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.5114/fn.2018.76612,2018,Folia Neuropathologica,Magdalena_Daria_Budziszewska_7
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.2478/plc-2018-0013,2018-08,Psychology of Language and Communication,Magdalena_Daria_Budziszewska_8
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.21909/sp.2017.04.744,2017,Studia Psychologica,Magdalena_Daria_Budziszewska_9
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.1007/s12559-021-09834-9,2021,Cognitive Computation,Izabela_Maria_Chojnicka_1
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.1371/journal.pone.0229985,2020-03,PloS one,Izabela_Maria_Chojnicka_2
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.1097/md.0000000000017689,2019-11,Medicine,Izabela_Maria_Chojnicka_3
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.1007/s10578-018-00865-2,2019-08,Child psychiatry and human development,Izabela_Maria_Chojnicka_4
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.3389/fpsyg.2017.01916,2017,Frontiers in psychology,Izabela_Maria_Chojnicka_5
Anna Cierpka,https://orcid.org/0000-0003-2846-3413,https://doi.org/10.4467/20843879pr.21.012.15135,2021-09,Psychologia Rozwojowa,Anna_Cierpka_1
