name,orcid,link,date,journal,id
Olga Bąk,https://orcid.org/0000-0002-8347-031X,https://doi.org/10.4467/20843879pr.21.013.15136,2021-09,Psychologia Rozwojowa,Olga_Bąk_1
Olga Bąk,https://orcid.org/0000-0002-8347-031X,https://doi.org/10.1080/01443410.2020.1778642,2020-11-25,Educational Psychology,Olga_Bąk_2
Olga Bąk,https://orcid.org/0000-0002-8347-031X,https://doi.org/10.1016/j.psychres.2018.05.054,2018,Psychiatry Research,Olga_Bąk_3
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.18778/2450-4491.12.14,2021-06-14,Nauki o Wychowaniu. Studia Interdyscyplinarne,Danuta_Bogumiła_Borecka-Biernat_1
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.5604/01.3001.0014.9041,2021-04-30,Psychologia Wychowawcza,Danuta_Bogumiła_Borecka-Biernat_2
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.4467/20843879pr.20.002.11999,2020,Psychologia Rozwojowa,Danuta_Bogumiła_Borecka-Biernat_3
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.14656/pfp20200201,2020,Polskie Forum Psychologiczne,Danuta_Bogumiła_Borecka-Biernat_4
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.16926/p.2020.29.10,2020,Pedagogika. Studia i Rozprawy,Danuta_Bogumiła_Borecka-Biernat_5
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.12775/pbe.2020.019,2020-12-30,Przegląd Badań Edukacyjnych,Danuta_Bogumiła_Borecka-Biernat_6
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.17951/j.2020.33.2.179-206,2020-06-29,"Annales Universitatis Mariae Curie-Skłodowska, sectio J – Paedagogia-Psychologia",Danuta_Bogumiła_Borecka-Biernat_7
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.34862/fo.2019.1.3,2019,Forum Oświatowe,Danuta_Bogumiła_Borecka-Biernat_8
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,Ocena poznawcza jako czynnik determinujący strategie agresji w radzeniu sobie gimnazjalistów w sytuacji konfliktu społecznego,2019,Chowanna,Danuta_Bogumiła_Borecka-Biernat_9
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,"Strategia agresywnego radzenia sobie młodzieży gimnazjalnej w sytuacji konfliktu społecznego w kontekście poczucia kontroli nad sytuacją, oceny poznawczej konfliktu i reakcji emocjonalnych",2019,"Teraźniejszość, Człowiek, Edukacja",Danuta_Bogumiła_Borecka-Biernat_10
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.35923/jes.2018.2.05,2018,Journal of Educational Sciences,Danuta_Bogumiła_Borecka-Biernat_11
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.5604/01.3001.0012.8282,2018,Psychologia Wychowawcza,Danuta_Bogumiła_Borecka-Biernat_12
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.13165/sd-18-16-1-04,2018,Social Work,Danuta_Bogumiła_Borecka-Biernat_13
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.4467/20843879pr.18.020.9949,2018,Psychologia Rozwojowa,Danuta_Bogumiła_Borecka-Biernat_14
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.5114/cipp.2018.75709,2018,Current Issues in Personality Psychology,Danuta_Bogumiła_Borecka-Biernat_15
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.12775/pbe.2018.014,2018-11-29,Przegląd Badań Edukacyjnych,Danuta_Bogumiła_Borecka-Biernat_16
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.15804/tner.2017.49.3.04,2017,The New Educational Review,Danuta_Bogumiła_Borecka-Biernat_17
Danuta Bogumiła Borecka-Biernat,https://orcid.org/0000-0003-1401-9821,https://doi.org/10.14656/pfp20170405,2017,Polskie Forum Psychologiczne,Danuta_Bogumiła_Borecka-Biernat_18
Anna Marta Brytek-Matera,https://orcid.org/0000-0001-5178-371X,https://doi.org/10.3390/su132413704,2021-12,Sustainability,Anna_Marta_Brytek-Matera_1
