name,orcid,link,date,journal,id
Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.3390/ijerph18116003,2021-06-03,International Journal of Environmental Research and Public Health,Eleonora_Maria_Bielawska-Batorowicz_1
Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.1080/02646838.2019.1665172,2020-10-19,Journal of Reproductive and Infant Psychology,Eleonora_Maria_Bielawska-Batorowicz_2
Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.3390/ijerph17082675,2020-04-14,International Journal of Environmental Research and Public Health,Eleonora_Maria_Bielawska-Batorowicz_3
Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.1080/02646838.2018.1543943,2019-05-27,Journal of Reproductive and Infant Psychology,Eleonora_Maria_Bielawska-Batorowicz_4
Eleonora Maria Bielawska-Batorowicz,https://orcid.org/0000-0002-3177-6026,https://doi.org/10.5114/hpr.2017.62522,2017,Health Psychology Report,Eleonora_Maria_Bielawska-Batorowicz_5
Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/jcm10245892,2021-12,Journal of Clinical Medicine,Jan_Chodkiewicz_1
Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/ijerph18073423,2021-03,International Journal of Environmental Research and Public Health,Jan_Chodkiewicz_2
Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/ijerph17197015,2020-09,International Journal of Environmental Research and Public Health,Jan_Chodkiewicz_3
Jan Chodkiewicz,https://orcid.org/0000-0002-5613-3473,https://doi.org/10.3390/ijerph17134677,2020-06,International Journal of Environmental Research and Public Health,Jan_Chodkiewicz_4
Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,https://doi.org/10.3390/ijerph18168517,2021-08-12,International Journal of Environmental Research and Public Health,Mariusz_Cieślak_1
Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,https://doi.org/10.3390/ijerph18115542,2021-05-22,International Journal of Environmental Research and Public Health,Mariusz_Cieślak_2
Mariusz Cieślak,https://orcid.org/0000-0001-8307-7262,Mental health and the perceived consequences of the SARS-CoV-2,2021-03,"Polskie Forum Psychologiczne, 1, 73-96",Mariusz_Cieślak_3
