name,orcid,link,date,journal,id
Dominik Kamil Adamek,https://orcid.org/0000-0002-0210-1353,"Kto bywa cyniczny w pracy? Zaangażowanie w pracę, przywiązanie do organizacji i etyka pracy a cynizm organizacyjny",2017,ZARZĄDZANIE ZASOBAMI LUDZKIMI,Dominik_Kamil_Adamek_1
Karina Atłas,https://orcid.org/0000-0002-4363-3583,https://doi.org/10.1007/s12144-021-02543-4,2021-11-26,Current Psychology,Karina_Atłas_1
Karina Atłas,https://orcid.org/0000-0002-4363-3583,Ciemniejsza strona bohaterstwa,2019,Psychologia w praktyce,Karina_Atłas_2
Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1016/j.paid.2021.110844,2021,Personality and Individual Differences,Lidia_Natalia_Baran_1
Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1177/1747016120980562,2021-07-18,Research Ethics,Lidia_Natalia_Baran_2
Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1016/j.paid.2020.110265,2020-12,Personality and Individual Differences,Lidia_Natalia_Baran_3
Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1371/journal.pone.0238141,2020-08-31,PLOS ONE,Lidia_Natalia_Baran_4
Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,Terapia akceptacji i zaangażowania (ACT) w zaburzeniach lękowych.,2019,Psychiatria po Dyplomie,Lidia_Natalia_Baran_5
Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,https://doi.org/10.1016/j.jrp.2018.04.005,2018,Journal of Research in Personality,Lidia_Natalia_Baran_6
Lidia Natalia Baran, https://orcid.org/0000-0002-3118-1997 ,Między myślą a czynem – o pomiarze utajonych  konstruktów psychicznych za pomocą Implicit Relational Assessment Procedure.,2017,Czasopismo Psychologiczne,Lidia_Natalia_Baran_7
Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1016/j.psyneuen.2021.105325,2021-09,Psychoneuroendocrinology,Mateusz_Blukacz_1
Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1371/journal.pone.0255386,2021-08-03,PLOS ONE,Mateusz_Blukacz_2
Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1007/s11523-021-00822-5,2021-06-10,Targeted Oncology,Mateusz_Blukacz_3
Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1016/j.jsxm.2021.02.013,2021-05-01,The journal of sexual medicine,Mateusz_Blukacz_4
Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1002/ajpa.24295,2021-04-30,American journal of physical anthropology,Mateusz_Blukacz_5
Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.3389/fpsyg.2020.01997,2020-08,Frontiers in Psychology,Mateusz_Blukacz_6
Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.1155/2019/9791281,2019,BioMed Research International,Mateusz_Blukacz_7
Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,https://doi.org/10.13075/ijomeh.1896.01323,2019-03-08,International Journal of Occupational Medicine and Environmental Health,Mateusz_Blukacz_8
Mateusz Blukacz,https://orcid.org/0000-0002-4689-5650,Impact of pre-operative glycated haemoglobin A1C level on 1-year outcomes of endovascular treatment in patients with critical limb ischemia in the course of diabetes mellitus.,2019-01,Folia medica Cracoviensia,Mateusz_Blukacz_9
Magdalena Justyna Bolek-Kochanowska,https://orcid.org/0000-0002-4575-8152,https://doi.org/10.1016/j.jrp.2018.04.005,2018,Journal of Research in Personality,Magdalena_Justyna_Bolek-Kochanowska_1
Maciej Bożek,https://orcid.org/0000-0002-2701-7107,https://doi.org/10.53024/3.3.43.2021,2021-10-07,Kwartalnik Krajowej Szkoły Sądownictwa i Prokuratury,Maciej_Bożek_1
Maciej Bożek,https://orcid.org/0000-0002-2701-7107,https://doi.org/10.1016/j.jrp.2018.04.005,2018,Journal of Research in Personality,Maciej_Bożek_2
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.1038/s41598-021-85445-6,2021,Scientific Reports,Anna_Aleksandra_Brandt-Salmeri_1
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.1016/j.midw.2021.102940,2021,Midwifery,Anna_Aleksandra_Brandt-Salmeri_2
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.1016/j.paid.2020.110098,2020,Personality and Individual Differences,Anna_Aleksandra_Brandt-Salmeri_3
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.1016/j.midw.2020.102731,2020,Midwifery,Anna_Aleksandra_Brandt-Salmeri_4
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.29119/1641-3466.2019.141.9,2019,Scientific Papers of Silesian University of Technology. Organization and Management Series,Anna_Aleksandra_Brandt-Salmeri_5
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.29119/1641-3466.2019.141.1,2019,Scientific Papers of Silesian University of Technology. Organization and Management Series,Anna_Aleksandra_Brandt-Salmeri_6
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.5114/hpr.2019.84213,2019,Health Psychology Report,Anna_Aleksandra_Brandt-Salmeri_7
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,Depression and marital satisfaction: the mediating role of sexual satisfaction and perceived partner acceptance in women after mastectomy.,2019,Health Psychology Report,Anna_Aleksandra_Brandt-Salmeri_8
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,https://doi.org/10.29119/1641-3466.2019.141.14,2019,Scientific Papers of Silesian University of Technology. Organization and Management Series,Anna_Aleksandra_Brandt-Salmeri_9
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,Obraz ciała a samoocena kobiet z rakiem piersi – rola akceptacji ciała.,2018,Psychoonkologia,Anna_Aleksandra_Brandt-Salmeri_10
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,Ricorso ai termini psychiatrii nel linguaggio della rete. Rispecchio della realta’ o prestiti poco felici? ,2017,,Anna_Aleksandra_Brandt-Salmeri_11
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,Skala Satysfakcji Seksualnej Kobiet Cindy Meston i Paula Trapnella – właściwości psychometryczne polskiej wersji narzędzia,2017,Polskie Forum Psychologiczne,Anna_Aleksandra_Brandt-Salmeri_12
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,„Rak piersi – kryzys egzystencjalny czy estetyczny? Decyzja o rekonstrukcji piersi – analiza jakościowa”,2017,"Journal of Health, Education and Sport",Anna_Aleksandra_Brandt-Salmeri_13
Anna Aleksandra Brandt-Salmeri,https://orcid.org/0000-0002-9432-3016,"Za gruba, za chuda, nieładna – problem społecznej stygmatyzacji osób o ciele „nieidealnym” ",unrecovered,,Anna_Aleksandra_Brandt-Salmeri_14
Michał Henryk Brol,https://orcid.org/0000-0002-5486-4571,https://doi.org/10.24917/20837275.9.2.9,2018-03-22,Annales Universitatis Paedagogicae Cracoviensis | Studia de Cultura,Michał_Henryk_Brol_1
Michał Henryk Brol,https://orcid.org/0000-0002-5486-4571,System mediacji jako przykład współpracy na rzecz zapobiegania i rozwiązywania konfliktów wewnątrzorganizacyjnych,2017,Humanum,Michał_Henryk_Brol_2
Michał Henryk Brol,https://orcid.org/0000-0002-5486-4571,System mediacji jako przykład współpracy na rzecz zapobiegania i rozwiązywania konfliktów wewnątrzorganizacyjnych,2017,Humanum,Michał_Henryk_Brol_3
Edyta Charzyńska,https://orcid.org/0000-0001-9375-1433,https://doi.org/10.3390/rel12090781,2021-09,Religions,Edyta_Charzyńska_1
Edyta Charzyńska,https://orcid.org/0000-0001-9375-1433,https://doi.org/10.1016/j.addbeh.2021.106941,2021-08,Addictive Behaviors,Edyta_Charzyńska_2
Edyta Charzyńska,https://orcid.org/0000-0001-9375-1433,https://doi.org/10.3390/ijerph18168590,2021-08-14,International Journal of Environmental Research and Public Health,Edyta_Charzyńska_3
Edyta Charzyńska,https://orcid.org/0000-0001-9375-1433,https://doi.org/10.1007/s10943-021-01188-8,2021-06,Journal of Religion and Health,Edyta_Charzyńska_4
Edyta Charzyńska,https://orcid.org/0000-0001-9375-1433,https://doi.org/10.3390/rel12050355,2021-05-18,Religions,Edyta_Charzyńska_5
